"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Economic Development","Plant Production And Plant Primary Products","Other Plant Production and Plant Primary Products","Forest Product Traceability and Quality Assurance","829901"
"Economic Development","Plant Production And Plant Primary Products","Other Plant Production and Plant Primary Products","Plant Product, Traceability and Quality Assurance (excl. Forest Products)","829902"
"Economic Development","Plant Production And Plant Primary Products","Other Plant Production and Plant Primary Products","Plant Production and Plant Primary Products not elsewhere classified","829999"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Aquaculture Crustaceans (excl. Rock Lobster and Prawns)","830101"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Aquaculture Fin Fish (excl. Tuna)","830102"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Aquaculture Molluscs (excl. Oysters)","830103"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Aquaculture Oysters","830104"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Aquaculture Prawns","830105"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Aquaculture Rock Lobster","830106"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Aquaculture Tuna","830107"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Aquaculture","Fisheries - Aquaculture not elsewhere classified","830199"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Fisheries - Recreational","830201"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Wild Caught Crustaceans (excl. Rock Lobster and Prawns)","830202"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Wild Caught Edible Molluscs","830203"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Wild Caught Fin Fish (excl. Tuna)","830204"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Wild Caught Rock Lobster","830205"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Wild Caught Prawns","830206"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Wild Caught Tuna","830207"
"Economic Development","Animal Production And Animal Primary Products","Fisheries - Wild Caught","Fisheries - Wild Caught not elsewhere classified","830299"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Beef Cattle","830301"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Dairy Cattle","830302"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Deer","830303"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Goats","830304"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)","830305"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Horses","830306"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)","830307"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Pigs","830308"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Poultry","830309"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Sheep - Meat","830310"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Sheep - Wool","830311"
"Economic Development","Animal Production And Animal Primary Products","Livestock Raising","Livestock Raising not elsewhere classified","830399"
"Economic Development","Animal Production And Animal Primary Products","Pasture, Browse and Fodder Crops","Browse Crops","830401"
"Economic Development","Animal Production And Animal Primary Products","Pasture, Browse and Fodder Crops","Lucerne","830402"
"Economic Development","Animal Production And Animal Primary Products","Pasture, Browse and Fodder Crops","Native and Residual Pastures","830403"
"Economic Development","Animal Production And Animal Primary Products","Pasture, Browse and Fodder Crops","Non-Cereal Crops for Hay","830404"
"Economic Development","Animal Production And Animal Primary Products","Pasture, Browse and Fodder Crops","Non-Cereal Crops for Silage/Green Feed","830405"
"Economic Development","Animal Production And Animal Primary Products","Pasture, Browse and Fodder Crops","Sown Pastures (excl. Lucerne)","830406"
"Economic Development","Animal Production And Animal Primary Products","Pasture, Browse and Fodder Crops","Pasture, Browse and Fodder Crops not elsewhere classified","830499"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Eggs","830501"
"Economic Development","Animal Production And Animal Primary Products","Primary Animal Products","Honey","830502"
