"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Organic Industrial Chemicals (excl. Resins, Rubber and Plastics)","860604"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Paints","860605"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Plastics in Primary Forms","860606"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Plastic Products (incl. Construction Materials)","860607"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Rubber and Synthetic Resins","860608"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Soaps and Cosmetics","860609"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Industrial Chemicals and Related Products not elsewhere classified","860699"
"Economic Development","Manufacturing","Agricultural Chemicals","Animal Protection Chemicals","860701"
"Economic Development","Manufacturing","Agricultural Chemicals","Chemical Fertilisers","860702"
"Economic Development","Manufacturing","Agricultural Chemicals","Crop Protection Chemicals","860703"
"Economic Development","Manufacturing","Agricultural Chemicals","Agricultural Chemicals not elsewhere classified","860799"
"Economic Development","Manufacturing","Human Pharmaceutical Products","Human Biological Preventatives (e.g. Vaccines)","860801"
"Economic Development","Manufacturing","Human Pharmaceutical Products","Human Diagnostics","860802"
"Economic Development","Manufacturing","Human Pharmaceutical Products","Human Pharmaceutical Treatments (e.g. Antibiotics)","860803"
"Economic Development","Manufacturing","Human Pharmaceutical Products","Human Pharmaceutical Products not elsewhere classified","860899"
"Economic Development","Manufacturing","Veterinary Pharmaceutical Products","Veterinary Biological Preventatives (e.g. Vaccines)","860901"
"Economic Development","Manufacturing","Veterinary Pharmaceutical Products","Veterinary Diagnostics","860902"
"Economic Development","Manufacturing","Veterinary Pharmaceutical Products","Veterinary Pharmaceutical Treatments (e.g. Antibiotics)","860903"
"Economic Development","Manufacturing","Veterinary Pharmaceutical Products","Veterinary Pharmaceutical Products not elsewhere classified","860999"
"Economic Development","Manufacturing","Ceramics, Glass and Industrial Mineral Products","Cement and Concrete Materials","861001"
"Economic Development","Manufacturing","Ceramics, Glass and Industrial Mineral Products","Ceramics","861002"
"Economic Development","Manufacturing","Ceramics, Glass and Industrial Mineral Products","Clay Products","861003"
"Economic Development","Manufacturing","Ceramics, Glass and Industrial Mineral Products","Plaster and Plaster Products","861004"
"Economic Development","Manufacturing","Ceramics, Glass and Industrial Mineral Products","Structural Glass and Glass Products","861005"
"Economic Development","Manufacturing","Ceramics, Glass and Industrial Mineral Products","Ceramics, Glass and Industrial Mineral Products not elsewhere classified","861099"
"Economic Development","Manufacturing","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding)","Basic Aluminium Products","861101"
"Economic Development","Manufacturing","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding)","Basic Copper Products","861102"
"Economic Development","Manufacturing","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding)","Basic Iron and Steel Products","861103"
"Economic Development","Manufacturing","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding)","Basic Precious Metal Products","861104"
"Economic Development","Manufacturing","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding)","Basic Zinc Products","861105"
"Economic Development","Manufacturing","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding)","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding) not elsewhere classified","861199"
"Economic Development","Manufacturing","Fabricated Metal Products","Coated Metal and Metal-Coated Products","861201"
"Economic Development","Manufacturing","Fabricated Metal Products","Machined Metal Products","861202"
"Economic Development","Manufacturing","Fabricated Metal Products","Metal Castings","861203"
"Economic Development","Manufacturing","Fabricated Metal Products","Semi-Finished Metal Products","861204"
"Economic Development","Manufacturing","Fabricated Metal Products","Sheet Metal Products","861205"
"Economic Development","Manufacturing","Fabricated Metal Products","Structural Metal Products","861206"
"Economic Development","Manufacturing","Fabricated Metal Products","Fabricated Metal Products not elsewhere classified","861299"
"Economic Development","Manufacturing","Transport Equipment","Aerospace Equipment","861301"
"Economic Development","Manufacturing","Transport Equipment","Automotive Equipment","861302"
"Economic Development","Manufacturing","Transport Equipment","Nautical Equipment (excl. Yachts)","861303"
"Economic Development","Manufacturing","Transport Equipment","Rail Equipment","861304"
"Economic Development","Manufacturing","Transport Equipment","Yachts","861305"
"Economic Development","Manufacturing","Transport Equipment","Transport Equipment not elsewhere classified","861399"
"Economic Development","Manufacturing","Machinery and Equipment","Agricultural Machinery and Equipment","861401"
"Economic Development","Manufacturing","Machinery and Equipment","Appliances and Electrical Machinery and Equipment","861402"
"Economic Development","Manufacturing","Machinery and Equipment","Industrial Machinery and Equipment","861403"
"Economic Development","Manufacturing","Machinery and Equipment","Mining Machinery and Equipment","861404"
"Economic Development","Manufacturing","Machinery and Equipment","Machinery and Equipment not elsewhere classified","861499"
"Economic Development","Manufacturing","Instrumentation","Industrial Instruments","861501"
"Economic Development","Manufacturing","Instrumentation","Medical Instruments","861502"
"Economic Development","Manufacturing","Instrumentation","Scientific Instruments","861503"
"Economic Development","Manufacturing","Instrumentation","Instrumentation not elsewhere classified","861599"
"Economic Development","Manufacturing","Computer Hardware and Electronic Equipment","Computer and Electronic Office Equipment","861601"
"Economic Development","Manufacturing","Computer Hardware and Electronic Equipment","Consumer Electronic Equipment (excl. Communication Equipment)","861602"
"Economic Development","Manufacturing","Computer Hardware and Electronic Equipment","Integrated Circuits and Devices","861603"
"Economic Development","Manufacturing","Computer Hardware and Electronic Equipment","Integrated Systems","861604"
"Economic Development","Manufacturing","Computer Hardware and Electronic Equipment","Processor Modules","861605"
"Economic Development","Manufacturing","Computer Hardware and Electronic Equipment","Satellite Navigation Equipment","861606"
"Economic Development","Manufacturing","Computer Hardware and Electronic Equipment","Computer Hardware and Electronic Equipment not elsewhere classified","861699"
"Economic Development","Manufacturing","Communication Equipment","Network Infrastructure Equipment","861701"
"Economic Development","Manufacturing","Communication Equipment","Telemetry Equipment","861702"
"Economic Development","Manufacturing","Communication Equipment","Voice and Data Equipment","861703"
"Economic Development","Manufacturing","Communication Equipment","Communication Equipment not elsewhere classified","861799"
"Economic Development","Manufacturing","Environmentally Sustainable Manufacturing","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","869801"
"Economic Development","Manufacturing","Environmentally Sustainable Manufacturing","Management of Greenhouse Gas Emissions from Manufacturing Activities","869802"
"Economic Development","Manufacturing","Environmentally Sustainable Manufacturing","Management of Liquid Waste from Manufacturing Activities (excl. Water)","869803"
"Economic Development","Manufacturing","Environmentally Sustainable Manufacturing","Management of Solid Waste from Manufacturing Activities","869804"
"Economic Development","Manufacturing","Environmentally Sustainable Manufacturing","Management of Water Consumption by Manufacturing Activities","869805"
"Economic Development","Manufacturing","Environmentally Sustainable Manufacturing","Environmentally Sustainable Manufacturing not elsewhere classified","869899"
"Economic Development","Manufacturing","Other Manufacturing","Furniture","869901"
"Economic Development","Manufacturing","Other Manufacturing","Manufacturing not elsewhere classified","869999"
"Economic Development","Construction","Construction Planning","Civil Construction Planning","870101"
"Economic Development","Construction","Construction Planning","Commercial Construction Planning","870102"
"Economic Development","Construction","Construction Planning","Regional Planning","870103"
"Economic Development","Construction","Construction Planning","Residential Construction Planning","870104"
"Economic Development","Construction","Construction Planning","Urban Planning","870105"
"Economic Development","Construction","Construction Planning","Construction Planning not elsewhere classified","870199"
"Economic Development","Construction","Construction Design","Civil Construction Design","870201"
"Economic Development","Construction","Construction Design","Commercial Construction Design","870202"
"Economic Development","Construction","Construction Design","Industrial Construction Design","870203"
"Economic Development","Construction","Construction Design","Residential Construction Design","870204"
"Economic Development","Construction","Construction Design","Construction Design not elsewhere classified","870299"
"Economic Development","Construction","Construction Materials Performance and Processes","Cement and Concrete Materials","870301"
"Economic Development","Construction","Construction Materials Performance and Processes","Metals (e.g. Composites, Coatings, Bonding)","870302"
"Economic Development","Construction","Construction Materials Performance and Processes","Polymeric Materials (e.g. Paints)","870303"
"Economic Development","Construction","Construction Materials Performance and Processes","Stone, Ceramics and Clay Materials","870304"
"Economic Development","Construction","Construction Materials Performance and Processes","Timber Materials","870305"
"Economic Development","Construction","Construction Materials Performance and Processes","Construction Materials Performance and Processes not elsewhere classified","870399"
"Economic Development","Construction","Construction Processes","Civil Construction Processes","870401"
"Economic Development","Construction","Construction Processes","Commercial Construction Processes","870402"
"Economic Development","Construction","Construction Processes","Industrial Construction Processes","870403"
"Economic Development","Construction","Construction Processes","Residential Construction Processes","870404"
"Economic Development","Construction","Construction Processes","Construction Processes not elsewhere classified","870499"
"Economic Development","Construction","Building Management and Services","Civil Building Management and Services","870501"
"Economic Development","Construction","Building Management and Services","Commercial Building Management and Services","870502"
"Economic Development","Construction","Building Management and Services","Residential Building Management and Services","870503"
"Economic Development","Construction","Building Management and Services","Building Management and Services not elsewhere classified","870599"
"Economic Development","Construction","Environmentally Sustainable Construction","Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases)","879801"
"Economic Development","Construction","Environmentally Sustainable Construction","Management of Greenhouse Gas Emissions from Construction Activities","879802"
"Economic Development","Construction","Environmentally Sustainable Construction","Management of Liquid Waste from Construction Activities (excl. Water)","879803"
"Economic Development","Construction","Environmentally Sustainable Construction","Management of Solid Waste from Construction Activities","879804"
"Economic Development","Construction","Environmentally Sustainable Construction","Management of Water Consumption by Construction Activities","879805"
"Economic Development","Construction","Environmentally Sustainable Construction","Environmentally Sustainable Construction not elsewhere classified","879899"
"Economic Development","Construction","Other Construction","Construction not elsewhere classified","879999"
"Economic Development","Transport","Ground Transport","Rail Freight","880101"
"Economic Development","Transport","Ground Transport","Rail Infrastructure and Networks","880102"
"Economic Development","Transport","Ground Transport","Rail Passenger Movements","880103"
"Economic Development","Transport","Ground Transport","Rail Safety","880104"
"Economic Development","Transport","Ground Transport","Road Freight","880105"
"Economic Development","Transport","Ground Transport","Road Infrastructure and Networks","880106"
"Economic Development","Transport","Ground Transport","Road Passenger Movements (excl. Public Transport)","880107"
"Economic Development","Transport","Ground Transport","Road Public Transport","880108"
"Economic Development","Transport","Ground Transport","Road Safety","880109"
"Economic Development","Transport","Ground Transport","Ground Transport not elsewhere classified","880199"
"Economic Development","Transport","Water Transport","Coastal Sea Freight Transport","880201"
"Economic Development","Transport","Water Transport","International Sea Freight Transport (excl. Live Animal Transport)","880202"
"Economic Development","Transport","Water Transport","International Sea Transport of Live Animals","880203"
"Economic Development","Transport","Water Transport","Passenger Water Transport","880204"
"Economic Development","Transport","Water Transport","Port Infrastructure and Management","880205"
"Economic Development","Transport","Water Transport","Water Safety","880206"
"Economic Development","Transport","Water Transport","Water Transport not elsewhere classified","880299"
"Economic Development","Transport","Aerospace Transport","Air Freight","880301"
"Economic Development","Transport","Aerospace Transport","Air Passenger Transport","880302"
"Economic Development","Transport","Aerospace Transport","Air Safety","880303"
"Economic Development","Transport","Aerospace Transport","Air Terminal Infrastructure and Management","880304"
"Economic Development","Transport","Aerospace Transport","Space Transport","880305"
"Economic Development","Transport","Aerospace Transport","Aerospace Transport not elsewhere classified","880399"
"Economic Development","Transport","Environmentally Sustainable Transport","Management of Gaseous Waste from Transport Activities (excl. Greenhouse Gases)","889801"
"Economic Development","Transport","Environmentally Sustainable Transport","Management of Greenhouse Gas Emissions from Transport Activities","889802"
"Economic Development","Transport","Environmentally Sustainable Transport","Management of Liquid Waste from Transport Activities (excl. Water)","889803"
"Economic Development","Transport","Environmentally Sustainable Transport","Management of Noise and Vibration from Transport Activities","889804"
"Economic Development","Transport","Environmentally Sustainable Transport","Management of Solid Waste from Transport Activities","889805"
"Economic Development","Transport","Environmentally Sustainable Transport","Management of Water Consumption by Transport Activities","889806"
"Economic Development","Transport","Environmentally Sustainable Transport","Environmentally Sustainable Transport not elsewhere classified","889899"
"Economic Development","Transport","Other Transport","Intermodal Materials Handling","889901"
"Economic Development","Transport","Other Transport","Multimodal Transport","889902"
"Economic Development","Transport","Other Transport","Pipeline Transport","889903"
"Economic Development","Transport","Other Transport","Postal and Package Services (incl. Courier Services)","889904"
"Economic Development","Transport","Other Transport","Transport not elsewhere classified","889999"
"Economic Development","Information And Communication Services","Communication Networks and Services","Fixed Line Data Networks and Services","890101"
"Economic Development","Information And Communication Services","Communication Networks and Services","Fixed Line Telephone Networks and Services","890102"
"Economic Development","Information And Communication Services","Communication Networks and Services","Mobile Data Networks and Services","890103"
"Economic Development","Information And Communication Services","Communication Networks and Services","Mobile Telephone Networks and Services","890104"
"Economic Development","Information And Communication Services","Communication Networks and Services","Satellite Communication Networks and Services","890105"
"Economic Development","Information And Communication Services","Communication Networks and Services","Videoconference Services","890106"
"Economic Development","Information And Communication Services","Communication Networks and Services","Communication Networks and Services not elsewhere classified","890199"
"Economic Development","Information And Communication Services","Computer Software and Services","Application Software Packages (excl. Computer Games)","890201"
"Economic Development","Information And Communication Services","Computer Software and Services","Application Tools and System Utilities","890202"
"Economic Development","Information And Communication Services","Computer Software and Services","Computer Gaming Software","890203"
"Economic Development","Information And Communication Services","Computer Software and Services","Computer Time Leasing, Sharing and Renting Services","890204"
"Economic Development","Information And Communication Services","Computer Software and Services","Information Processing Services (incl. Data Entry and Capture)","890205"
"Economic Development","Information And Communication Services","Computer Software and Services","Internet Hosting Services (incl. Application Hosting Services)","890206"
"Economic Development","Information And Communication Services","Computer Software and Services","Computer Software and Services not elsewhere classified","890299"
"Economic Development","Information And Communication Services","Information Services","Electronic Information Storage and Retrieval Services","890301"
"Economic Development","Information And Communication Services","Information Services","Library and Archival Services","890302"
"Economic Development","Information And Communication Services","Information Services","News Collection Services","890303"
"Economic Development","Information And Communication Services","Information Services","Information Services not elsewhere classified","890399"
"Economic Development","Information And Communication Services","Media Services","Animation and Computer Generated Imagery Services","890401"
"Economic Development","Information And Communication Services","Media Services","Film and Video Services (excl. Animation and Computer Generated Imagery)","890402"
"Economic Development","Information And Communication Services","Media Services","Internet Broadcasting","890403"
"Economic Development","Information And Communication Services","Media Services","Publishing and Print Services (incl. Internet Publishing)","890404"
"Economic Development","Information And Communication Services","Media Services","Radio and Television Broadcasting","890405"
"Economic Development","Information And Communication Services","Media Services","Media Services not elsewhere classified","890499"
"Economic Development","Information And Communication Services","Environmentally Sustainable Information and Communication Services","Management of Greenhouse Gas Emissions from Information and Communication Services","899801"
"Economic Development","Information And Communication Services","Environmentally Sustainable Information and Communication Services","Management of Solid Waste from Information and Communication Services","899802"
"Economic Development","Information And Communication Services","Environmentally Sustainable Information and Communication Services","Management of Water Consumption by Information and Communication Services","899803"
"Economic Development","Information And Communication Services","Environmentally Sustainable Information and Communication Services","Environmentally Sustainable Information and Communication Services not elsewhere classified","899899"
"Economic Development","Information And Communication Services","Other Information and Communication Services","Information and Communication Services not elsewhere classified","899999"
"Economic Development","Commercial Services And Tourism","Financial Services","Finance Services","900101"
"Economic Development","Commercial Services And Tourism","Financial Services","Investment Services (excl. Superannuation)","900102"
"Economic Development","Commercial Services And Tourism","Financial Services","Superannuation and Insurance Services","900103"
"Economic Development","Commercial Services And Tourism","Financial Services","Financial Services not elsewhere classified","900199"
"Economic Development","Commercial Services And Tourism","Property, Business Support Services and Trade","Administration and Business Support Services","900201"
"Economic Development","Commercial Services And Tourism","Property, Business Support Services and Trade","Professional, Scientific and Technical Services","900202"
"Economic Development","Commercial Services And Tourism","Property, Business Support Services and Trade","Property Services (incl. Security)","900203"
"Economic Development","Commercial Services And Tourism","Property, Business Support Services and Trade","Wholesale and Retail Trade","900204"
"Economic Development","Commercial Services And Tourism","Property, Business Support Services and Trade","Property, Business Support Services and Trade not elsewhere classified","900299"
"Economic Development","Commercial Services And Tourism","Tourism","Economic Issues in Tourism","900301"
"Economic Development","Commercial Services And Tourism","Tourism","Socio-Cultural Issues in Tourism","900302"
"Economic Development","Commercial Services And Tourism","Tourism","Tourism Infrastructure Development","900303"
"Economic Development","Commercial Services And Tourism","Tourism","Tourism not elsewhere classified","900399"
"Economic Development","Commercial Services And Tourism","Water and Waste Services","Waste Management Services","900401"
"Economic Development","Commercial Services And Tourism","Water and Waste Services","Waste Recycling Services","900402"
"Economic Development","Commercial Services And Tourism","Water and Waste Services","Water Recycling Services (incl. Sewage and Greywater)","900403"
"Economic Development","Commercial Services And Tourism","Water and Waste Services","Water Services and Utilities","900404"
"Economic Development","Commercial Services And Tourism","Water and Waste Services","Water and Waste Services not elsewhere classified","900499"
"Economic Development","Commercial Services And Tourism","Environmentally Sustainable Commercial Services and Tourism","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)","909801"
"Economic Development","Commercial Services And Tourism","Environmentally Sustainable Commercial Services and Tourism","Management of Greenhouse Gas Emissions from Commercial Services and Tourism","909802"
"Economic Development","Commercial Services And Tourism","Environmentally Sustainable Commercial Services and Tourism","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)","909803"
"Economic Development","Commercial Services And Tourism","Environmentally Sustainable Commercial Services and Tourism","Management of Solid Waste from Commercial Services and Tourism","909804"
"Economic Development","Commercial Services And Tourism","Environmentally Sustainable Commercial Services and Tourism","Management of Water Consumption by Commercial Services and Tourism","909805"
"Economic Development","Commercial Services And Tourism","Environmentally Sustainable Commercial Services and Tourism","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified","909899"
"Economic Development","Commercial Services And Tourism","Other Commercial Services and Tourism","Hospitality Services","909901"
"Economic Development","Commercial Services And Tourism","Other Commercial Services and Tourism","Recreational Services","909902"
"Economic Development","Commercial Services And Tourism","Other Commercial Services and Tourism","Commercial Services and Tourism not elsewhere classified","909999"
"Economic Development","Economic Framework","Macroeconomics","Balance of Payments","910101"
"Economic Development","Economic Framework","Macroeconomics","Demography","910102"
"Economic Development","Economic Framework","Macroeconomics","Economic Growth","910103"
"Economic Development","Economic Framework","Macroeconomics","Exchange Rates","910104"
"Economic Development","Economic Framework","Macroeconomics","Fiscal Policy","910105"
"Economic Development","Economic Framework","Macroeconomics","Income Distribution","910106"
"Economic Development","Economic Framework","Macroeconomics","Macro Labour Market Issues","910107"
"Economic Development","Economic Framework","Macroeconomics","Monetary Policy","910108"
"Economic Development","Economic Framework","Macroeconomics","Savings and Investments","910109"
"Economic Development","Economic Framework","Macroeconomics","Taxation","910110"
"Economic Development","Economic Framework","Macroeconomics","Macroeconomics not elsewhere classified","910199"
"Economic Development","Economic Framework","Microeconomics","Consumption","910201"
"Economic Development","Economic Framework","Microeconomics","Human Capital Issues","910202"
"Economic Development","Economic Framework","Microeconomics","Industrial Organisations","910203"
"Economic Development","Economic Framework","Microeconomics","Industry Costs and Structure","910204"
"Economic Development","Economic Framework","Microeconomics","Industry Policy","910205"
"Economic Development","Economic Framework","Microeconomics","Market-Based Mechanisms","910206"
"Economic Development","Economic Framework","Microeconomics","Microeconomic Effects of Taxation","910207"
"Economic Development","Economic Framework","Microeconomics","Micro Labour Market Issues","910208"
"Economic Development","Economic Framework","Microeconomics","Preference, Behaviour and Welfare","910209"
"Economic Development","Economic Framework","Microeconomics","Production","910210"
"Economic Development","Economic Framework","Microeconomics","Supply and Demand","910211"
"Economic Development","Economic Framework","Microeconomics","Microeconomics not elsewhere classified","910299"
"Economic Development","Economic Framework","International Trade","International Agreements on Trade","910301"
"Economic Development","Economic Framework","International Trade","Trade Assistance and Protection","910302"
"Economic Development","Economic Framework","International Trade","Trade Policy","910303"
"Economic Development","Economic Framework","International Trade","International Trade not elsewhere classified","910399"
"Economic Development","Economic Framework","Management and Productivity","Industrial Relations","910401"
"Economic Development","Economic Framework","Management and Productivity","Management","910402"
"Economic Development","Economic Framework","Management and Productivity","Marketing","910403"
"Economic Development","Economic Framework","Management and Productivity","Productivity (excl. Public Sector)","910404"
"Economic Development","Economic Framework","Management and Productivity","Public Sector Productivity","910405"
"Economic Development","Economic Framework","Management and Productivity","Technological and Organisational Innovation","910406"
"Economic Development","Economic Framework","Management and Productivity","Management and Productivity not elsewhere classified","910499"
"Economic Development","Economic Framework","Measurement Standards and Calibration Services","Agricultural and Environmental Standards","910501"
"Economic Development","Economic Framework","Measurement Standards and Calibration Services","Defence Standards and Calibrations","910502"
"Economic Development","Economic Framework","Measurement Standards and Calibration Services","Manufacturing Standards and Calibrations","910503"
"Economic Development","Economic Framework","Measurement Standards and Calibration Services","Service Industries Standards and Calibrations","910504"
"Economic Development","Economic Framework","Measurement Standards and Calibration Services","Measurement Standards and Calibration Services not elsewhere classified","910599"
"Economic Development","Economic Framework","Other Economic Framework","Carbon and Emissions Trading","919901"
"Economic Development","Economic Framework","Other Economic Framework","Ecological Economics","919902"
"Economic Development","Economic Framework","Other Economic Framework","Economic Framework not elsewhere classified","919999"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Blood Disorders","920101"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Cancer and Related Disorders","920102"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Cardiovascular System and Diseases","920103"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Diabetes","920104"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Digestive System Disorders","920105"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Endocrine Organs and Diseases (excl. Diabetes)","920106"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Hearing, Vision, Speech and Their Disorders","920107"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Immune System and Allergy","920108"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Infectious Diseases","920109"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Inherited Diseases (incl. Gene Therapy)","920110"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Nervous System and Disorders","920111"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Neurodegenerative Disorders Related to Ageing","920112"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Oro-Dental Disorders","920113"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Reproductive System and Disorders","920114"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Respiratory System and Diseases (incl. Asthma)","920115"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Skeletal System and Disorders (incl. Arthritis)","920116"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Skin and Related Disorders","920117"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Surgical Methods and Procedures","920118"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Urogenital System and Disorders","920119"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Zoonoses","920120"
"Society","Health","Clinical Health (Organs, Diseases and Abnormal Conditions)","Clinical Health (Organs, Diseases and Abnormal Conditions) not elsewhere classified","920199"
"Society","Health","Health and Support Services","Allied Health Therapies (excl. Mental Health Services)","920201"
"Society","Health","Health and Support Services","Carer Health","920202"
"Society","Health","Health and Support Services","Diagnostic Methods","920203"
"Society","Health","Health and Support Services","Evaluation of Health Outcomes","920204"
"Society","Health","Health and Support Services","Health Education and Promotion","920205"
"Society","Health","Health and Support Services","Health Inequalities","920206"
"Society","Health","Health and Support Services","Health Policy Economic Outcomes","920207"
"Society","Health","Health and Support Services","Health Policy Evaluation","920208"
"Society","Health","Health and Support Services","Mental Health Services","920209"
"Society","Health","Health and Support Services","Nursing","920210"
"Society","Health","Health and Support Services","Palliative Care","920211"
"Society","Health","Health and Support Services","Health and Support Services not elsewhere classified","920299"
"Society","Health","Indigenous Health","Aboriginal and Torres Strait Islander Health - Determinants of Health","920301"
"Society","Health","Indigenous Health","Aboriginal and Torres Strait Islander Health - Health Status and Outcomes","920302"
"Society","Health","Indigenous Health","Aboriginal and Torres Strait Islander Health - Health System Performance (incl. Effectiveness of Interventions)","920303"
"Society","Health","Indigenous Health","Maori Health - Determinants of Health","920304"
"Society","Health","Indigenous Health","Maori Health - Health Status and Outcomes","920305"
"Society","Health","Indigenous Health","Maori Health - Health System Performance (incl. Effectiveness of Interventions)","920306"
"Society","Health","Indigenous Health","Pacific Peoples Health - Health Status and Outcomes","920307"
"Society","Health","Indigenous Health","Pacific Peoples Health - Determinants of Health","920308"
"Society","Health","Indigenous Health","Pacific Peoples Health - Health System Performance (incl. Effectiveness of Interventions)","920309"
"Society","Health","Indigenous Health","Indigenous Health not elsewhere classified","920399"
"Society","Health","Public Health (excl. Specific Population Health)","Behaviour and Health","920401"
"Society","Health","Public Health (excl. Specific Population Health)","Dental Health","920402"
"Society","Health","Public Health (excl. Specific Population Health)","Disability and Functional Capacity","920403"
"Society","Health","Public Health (excl. Specific Population Health)","Disease Distribution and Transmission (incl. Surveillance and Response)","920404"
"Society","Health","Public Health (excl. Specific Population Health)","Environmental Health","920405"
"Society","Health","Public Health (excl. Specific Population Health)","Food Safety","920406"
"Society","Health","Public Health (excl. Specific Population Health)","Health Protection and/or Disaster Response","920407"
"Society","Health","Public Health (excl. Specific Population Health)","Health Status (e.g. Indicators of Well-Being)","920408"
"Society","Health","Public Health (excl. Specific Population Health)","Injury Control","920409"
"Society","Health","Public Health (excl. Specific Population Health)","Mental Health","920410"
"Society","Health","Public Health (excl. Specific Population Health)","Nutrition","920411"
"Society","Health","Public Health (excl. Specific Population Health)","Preventive Medicine","920412"
"Society","Health","Public Health (excl. Specific Population Health)","Social Structure and Health","920413"
"Society","Health","Public Health (excl. Specific Population Health)","Substance Abuse","920414"
"Society","Health","Public Health (excl. Specific Population Health)","Public Health (excl. Specific Population Health) not elsewhere classified","920499"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Child Health","920501"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Health Related to Ageing","920502"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Health Related to Specific Ethnic Groups","920503"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Men's Health","920504"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Occupational Health","920505"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Rural Health","920506"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Women's Health","920507"
"Society","Health","Specific Population Health (excl. Indigenous Health)","Specific Population Health (excl. Indigenous Health) not elsewhere classified","920599"
"Society","Health","Other Health","Health not elsewhere classified","929999"
"Society","Education And Training","Learner and Learning","Learner and Learning Achievement","930101"
"Society","Education And Training","Learner and Learning","Learner and Learning Processes","930102"
"Society","Education And Training","Learner and Learning","Learner Development","930103"
"Society","Education And Training","Learner and Learning","Moral and Social Development (incl. Affect)","930104"
"Society","Education And Training","Learner and Learning","Learner and Learning not elsewhere classified","930199"
"Society","Education And Training","Teaching and Instruction","Pedagogy","930201"
"Society","Education And Training","Teaching and Instruction","Teacher and Instructor Development","930202"
"Society","Education And Training","Teaching and Instruction","Teaching and Instruction Technologies","930203"
"Society","Education And Training","Teaching and Instruction","Teaching and Instruction not elsewhere classified","930299"
"Society","Education And Training","Curriculum","Assessment and Evaluation of Curriculum","930301"
"Society","Education And Training","Curriculum","Syllabus and Curriculum Development","930302"
"Society","Education And Training","Curriculum","Curriculum not elsewhere classified","930399"
"Society","Education And Training","School/Institution","Management and Leadership of Schools/Institutions","930401"
"Society","Education And Training","School/Institution","School/Institution Community and Environment","930402"
"Society","Education And Training","School/Institution","School/Institution Policies and Development","930403"
"Society","Education And Training","School/Institution","School/Institution not elsewhere classified","930499"
"Society","Education And Training","Education and Training Systems","Education and Training Systems Policies and Development","930501"
"Society","Education And Training","Education and Training Systems","Management of Education and Training Systems","930502"
"Society","Education And Training","Education and Training Systems","Resourcing of Education and Training Systems","930503"
"Society","Education And Training","Education and Training Systems","Education and Training Systems not elsewhere classified","930599"
