,"Australian Bureau of Statistics Statistics New Zealand",,
620208,"Vegetables","820215","Vegetables"
620209,"Ornamentals, Australian Natives and Nursery Plants","820209p","Ornamentals, Natives, Flowers and Nursery Plants"
620299,"Horticultural Crops not elsewhere classified","820204","Hops"
620299,"Horticultural Crops not elsewhere classified","820207","Mushrooms and Truffles"
620299,"Horticultural Crops not elsewhere classified","820208","Olives"
620299,"Horticultural Crops not elsewhere classified","820209p","Ornamentals, Natives, Flowers and Nursery Plants"
620299,"Horticultural Crops not elsewhere classified","820299","Horticultural Crops not elsewhere classified"
620299,"Horticultural Crops not elsewhere classified","829902p","Plant Product Traceability and Quality Assurance (excl. Forest Products)"
620299,"Horticultural Crops not elsewhere classified","829999p","Plant Production and Plant Primary Products not elsewhere classified"
620301,"Native Forests","820104","Native Forests"
620302,"Softwood Plantations","820105","Softwood Plantations"
620303,"Hardwood Plantations","820101","Hardwood Plantations"
620304,"Harvesting and Transport of Forest Products","820102","Harvesting and Transport of Forest Products"
620305,"Integration of Farm and Forestry","820103","Integration of Farm and Forestry"
620399,"Forestry not elsewhere classified","820199","Forestry not elsewhere classified"
620399,"Forestry not elsewhere classified","829901p","Forest Product Traceability and Quality Assurance"
620399,"Forestry not elsewhere classified","829999p","Plant Production and Plant Primary Products not elsewhere classified"
620401,"Fresh Fruit and Vegetables (Post Harvest)","820602","Fresh Fruits and Vegetables (Post Harvest)"
620402,"Unprocessed Cereals","820605","Unprocessed Grains"
620402,"Unprocessed Cereals","820607","Unprocessed Oilseeds"
620403,"Tobacco Leaf","820604","Tobacco Leaf"
620404,"Cotton Lint and Cotton Seed","820601","Cotton Lint and Cotton Seed"
620499,"Primary Plant Products not elsewhere classified","820603","Sugar Cane (Cut for Crushing)"
620499,"Primary Plant Products not elsewhere classified","820606","Unprocessed Industrial Crops (excl. Sugar, Tobacco and Cotton)"
620499,"Primary Plant Products not elsewhere classified","820699","Harvesting and Packing of Plant Products not elsewhere classified"
620499,"Primary Plant Products not elsewhere classified","829901p","Forest Product Traceability and Quality Assurance"
620499,"Primary Plant Products not elsewhere classified","829902p","Plant Product Traceability and Quality Assurance (excl. Forest Products)"
620499,"Primary Plant Products not elsewhere classified","829999p","Plant Production and Plant Primary Products not elsewhere classified"
620501,"Field Crops","829801p","Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)"
620501,"Field Crops","829802p","Management of Greenhouse Gas Emissions from Plant Production"
620501,"Field Crops","829803p","Management of Liquid Waste from Plant Production (excl. Water)"
620501,"Field Crops","829804p","Management of Solid Waste from Plant Production"
620501,"Field Crops","829805p","Management of Water Consumption by Plant Production"
620501,"Field Crops","829899p","Environmentally Sustainable Plant Production not elsewhere classified"
620501,"Field Crops","960403p","Control of Animal Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
620501,"Field Crops","960413p","Control of Plant Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
620501,"Field Crops","961402p","Farmland, Arable Cropland and Permanent Cropland Soils"
620502,"Horticultural Crops","829801p","Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)"
620502,"Horticultural Crops","829802p","Management of Greenhouse Gas Emissions from Plant Production"
620502,"Horticultural Crops","829803p","Management of Liquid Waste from Plant Production (excl. Water)"
620502,"Horticultural Crops","829804p","Management of Solid Waste from Plant Production"
620502,"Horticultural Crops","829805p","Management of Water Consumption by Plant Production"
620502,"Horticultural Crops","829899p","Environmentally Sustainable Plant Production not elsewhere classified"
620502,"Horticultural Crops","960403p","Control of Animal Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
620502,"Horticultural Crops","960413p","Control of Plant Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
620502,"Horticultural Crops","961402p","Farmland, Arable Cropland and Permanent Cropland Soils"
620503,"Forestry","829801p","Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)"
620503,"Forestry","829802p","Management of Greenhouse Gas Emissions from Plant Production"
620503,"Forestry","829803p","Management of Liquid Waste from Plant Production (excl. Water)"
620503,"Forestry","829804p","Management of Solid Waste from Plant Production"
620503,"Forestry","829805p","Management of Water Consumption by Plant Production"
620503,"Forestry","829899p","Environmentally Sustainable Plant Production not elsewhere classified"
620503,"Forestry","960404p","Control of Animal Pests, Diseases and Exotic Species in Forest and Woodlands Environments"
620503,"Forestry","960414p","Control of Plant Pests, Diseases and Exotic Species in Forest and Woodlands Environments"
620503,"Forestry","961403p","Forest and Woodlands Soils"
620504,"Primary Products from Plants","829801p","Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)"
620504,"Primary Products from Plants","829802p","Management of Greenhouse Gas Emissions from Plant Production"
620504,"Primary Products from Plants","829803p","Management of Liquid Waste from Plant Production (excl. Water)"
620504,"Primary Products from Plants","829804p","Management of Solid Waste from Plant Production"
620504,"Primary Products from Plants","829805p","Management of Water Consumption by Plant Production"
620504,"Primary Products from Plants","829899p","Environmentally Sustainable Plant Production not elsewhere classified"
630101,"Sheep - Meat","830310","Sheep - Meat"
630102,"Sheep - Wool","830311","Sheep - Wool"
630103,"Beef Cattle","830301","Beef Cattle"
630104,"Dairy Cattle","830302","Dairy Cattle"
630105,"Pigs","830308","Pigs"
630106,"Poultry","830309","Poultry"
630107,"Minor Livestock (e.g. Horses, Goats, Deer)","830303","Deer"
630107,"Minor Livestock (e.g. Horses, Goats, Deer)","830304","Goats"
630107,"Minor Livestock (e.g. Horses, Goats, Deer)","830305p","Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)"
630107,"Minor Livestock (e.g. Horses, Goats, Deer)","830306","Horses"
630107,"Minor Livestock (e.g. Horses, Goats, Deer)","830307","Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)"
630199,"Livestock not elsewhere classified","830305p","Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)"
630199,"Livestock not elsewhere classified","830399","Livestock Raising not elsewhere classified"
630199,"Livestock not elsewhere classified","839901p","Animal Welfare"
630199,"Livestock not elsewhere classified","839903p","Livestock Product Traceability and Quality Assurance"
630199,"Livestock not elsewhere classified","839999p","Animal Production and Animal Primary Products not elsewhere classified"
630201,"Sown Legumes","830402","Lucerne"
630201,"Sown Legumes","830499p","Pasture, Browse and Fodder Crops not elsewhere classified"
630202,"Sown Grasses","830406","Sown Pastures (excl. Lucerne)"
630203,"Browse Crops","830401","Browse Crops"
630204,"Fodder Crops","830404","Non-Cereal Crops for Hay"
630204,"Fodder Crops","830405","Non-Cereal Crops for Silage/Green Feed"
630205,"Native Vegetation","830403","Native and Residual Pastures"
630205,"Native Vegetation","830499p","Pasture, Browse and Fodder Crops not elsewhere classified"
630299,"Other","830499p","Pasture, Browse and Fodder Crops not elsewhere classified"
630299,"Other","839999p","Animal Production and Animal Primary Products not elsewhere classified"
630301,"Fisheries - Commercial","830202","Wild Caught Crustaceans (excl. Rock Lobster and Prawns)"
630301,"Fisheries - Commercial","830203","Wild Caught Edible Molluscs"
630301,"Fisheries - Commercial","830204","Wild Caught Fin Fish (excl. Tuna)"
630301,"Fisheries - Commercial","830205","Wild Caught Rock Lobster"
630301,"Fisheries - Commercial","830206","Wild Caught Prawns"
630301,"Fisheries - Commercial","830207","Wild Caught Tuna"
630301,"Fisheries - Commercial","830299p","Fisheries - Wild Caught not elsewhere classified"
630302,"Fisheries - Recreational","830201","Fisheries - Recreational"
630303,"Aquaculture","830101","Aquaculture Crustaceans (excl. Rock Lobster and Prawns)"
630303,"Aquaculture","830102","Aquaculture Fin Fish (excl. Tuna)"
630303,"Aquaculture","830103","Aquaculture Molluscs (excl. Oysters)"
630303,"Aquaculture","830104","Aquaculture Oysters"
630303,"Aquaculture","830105","Aquaculture Prawns"
630303,"Aquaculture","830106","Aquaculture Rock Lobster"
630303,"Aquaculture","830107","Aquaculture Tuna"
630303,"Aquaculture","830199","Fisheries - Aquaculture not elsewhere classified"
630399,"Fish not elsewhere classified","830299p","Fisheries - Wild Caught not elsewhere classified"
630399,"Fish not elsewhere classified","839901p","Animal Welfare"
630399,"Fish not elsewhere classified","839902p","Fish Product Traceability and Quality Assurance"
630399,"Fish not elsewhere classified","839999p","Animal Production and Animal Primary Products not elsewhere classified"
630401,"Minimally Processed Fish","830506p","Unprocessed or Minimally Processed Fish"
630402,"Minimally Processed Milk","830507p","Unprocessed or Minimally Processed Milk"
630403,"Raw Wool","830505","Raw Wool"
630404,"Hides and skins","830599p","Primary Animal Products not elsewhere classified"
630499,"Primary Animal Products not elsewhere classified","830501","Eggs"
630499,"Primary Animal Products not elsewhere classified","830502","Honey"
630499,"Primary Animal Products not elsewhere classified","830503","Live Animals"
630499,"Primary Animal Products not elsewhere classified","830504","Pearls"
630499,"Primary Animal Products not elsewhere classified","830506p","Unprocessed or Minimally Processed Fish"
630499,"Primary Animal Products not elsewhere classified","830507p","Unprocessed or Minimally Processed Milk"
630499,"Primary Animal Products not elsewhere classified","830599p","Primary Animal Products not elsewhere classified"
630499,"Primary Animal Products not elsewhere classified","839901p","Animal Welfare"
630499,"Primary Animal Products not elsewhere classified","839902p","Fish Product Traceability and Quality Assurance"
630499,"Primary Animal Products not elsewhere classified","839903p","Livestock Product Traceability and Quality Assurance"
630499,"Primary Animal Products not elsewhere classified","839999p","Animal Production and Animal Primary Products not elsewhere classified"
630501,"Livestock","839801p","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)"
630501,"Livestock","839802p","Management of Greenhouse Gas Emissions from Animal Production"
630501,"Livestock","839803p","Management of Liquid Waste from Animal Production (excl. Water)"
630501,"Livestock","839804p","Management of Solid Waste from Animal Production"
630501,"Livestock","839805p","Management of Water Consumption by Animal Production"
630501,"Livestock","839899p","Environmentally Sustainable Animal Production not elsewhere classified"
630501,"Livestock","960403p","Control of Animal Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
630501,"Livestock","960410p","Control of Pests, Diseases and Exotic Species in Sparseland, Permanent Grassland and Arid Zone Environments"
630501,"Livestock","960413p","Control of Plant Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
630502,"Pasture, Browse and Fodder Crops","839801p","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)"
630502,"Pasture, Browse and Fodder Crops","839802p","Management of Greenhouse Gas Emissions from Animal Production"
630502,"Pasture, Browse and Fodder Crops","839803p","Management of Liquid Waste from Animal Production (excl. Water)"
630502,"Pasture, Browse and Fodder Crops","839804p","Management of Solid Waste from Animal Production"
630502,"Pasture, Browse and Fodder Crops","839805p","Management of Water Consumption by Animal Production"
630502,"Pasture, Browse and Fodder Crops","839899p","Environmentally Sustainable Animal Production not elsewhere classified"
630502,"Pasture, Browse and Fodder Crops","960403p","Control of Animal Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
630502,"Pasture, Browse and Fodder Crops","960410p","Control of Pests, Diseases and Exotic Species in Sparseland, Permanent Grassland and Arid Zone Environments"
630502,"Pasture, Browse and Fodder Crops","960413p","Control of Plant Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
630503,"Fish","839801p","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)"
630503,"Fish","839802p","Management of Greenhouse Gas Emissions from Animal Production"
630503,"Fish","839803p","Management of Liquid Waste from Animal Production (excl. Water)"
630503,"Fish","839804p","Management of Solid Waste from Animal Production"
630503,"Fish","839805p","Management of Water Consumption by Animal Production"
630503,"Fish","839899p","Environmentally Sustainable Animal Production not elsewhere classified"
630503,"Fish","960402p","Control of Animal Pests, Diseases and Exotic Species in Coastal and Estuarine Environments"
630503,"Fish","960407p","Control of Pests, Diseases and Exotic Species in Marine Environments"
630503,"Fish","960412p","Control of Plant Pests, Diseases and Exotic Species in Coastal and Estuarine Environments"
630504,"Primary Products from Animals","839801p","Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)"
630504,"Primary Products from Animals","839802p","Management of Greenhouse Gas Emissions from Animal Production"
630504,"Primary Products from Animals","839803p","Management of Liquid Waste from Animal Production (excl. Water)"
630504,"Primary Products from Animals","839804p","Management of Solid Waste from Animal Production"
630504,"Primary Products from Animals","839805p","Management of Water Consumption by Animal Production"
630504,"Primary Products from Animals","839899p","Environmentally Sustainable Animal Production not elsewhere classified"
640101,"Iron Ores (i.e. Ferrous Ores)","840104","Iron Ore Exploration"
640102,"Aluminium Ores","840101","Aluminium Ore Exploration"
640103,"Precious (Noble) Metal Ores","840105","Precious (Noble) Metal Ore Exploration"
640104,"Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)","840107","Titanium Minerals, Zircon, and Rare Earth Metal Ore (e.g. Monazite) Exploration"
640105,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","840102","Copper Ore Exploration"
640105,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","840108","Zinc Ore Exploration"
640105,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","840199p","Mineral Exploration not elsewhere classified"
640105,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","849999p","Mineral Resources (excl. Energy Resources) not elsewhere classified"
640106,"Stone and Clay","840106","Stone and Clay Exploration"
640199,"Other Non-Metallic Minerals (incl. Diamonds)","840103","Diamond Exploration"
640199,"Other Non-Metallic Minerals (incl. Diamonds)","840199p","Mineral Exploration not elsewhere classified"
640199,"Other Non-Metallic Minerals (incl. Diamonds)","849999p","Mineral Resources (excl. Energy Resources) not elsewhere classified"
640201,"Iron Ores (i.e. Ferrous Ores)","840204","Mining and Extraction of Iron Ores"
640202,"Aluminium Ores","840201","Mining and Extraction of Aluminium Ores"
640203,"Precious (Noble) Metal Ores","840205","Mining and Extraction of Precious (Noble) Metal Ores "
640204,"Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)","840207","Mining and Extraction of Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)"
640205,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","840202","Mining and Extraction of Copper Ores"
640205,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","840208","Mining and Extraction of Zinc Ores"
640205,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","840299p","Primary Mining and Extraction of Mineral Resources not elsewhere classified"
640205,"Other Non-Ferrous Ores (e.g. Copper, Zinc)","849999p","Mineral Resources (excl. Energy Resources) not elsewhere classified"
640206,"Stone and Clay","840206","Mining and Extraction of Stone and Clay"
640299,"Other Non-Metallic Minerals (incl. Diamonds)","840203","Mining and Extraction of Diamonds"
640299,"Other Non-Metallic Minerals (incl. Diamonds)","840299p","Primary Mining and Extraction of Mineral Resources not elsewhere classified"
640299,"Other Non-Metallic Minerals (incl. Diamonds)","849999p","Mineral Resources (excl. Energy Resources) not elsewhere classified"
640301,"Beneficiation or Dressing of Iron Ores","840303","Beneficiation or Dressing of Iron Ores"
640302,"Alumina Production","840301","Alumina Production"
640303,"Other Beneficiation of Bauxite and Aluminium Ores","840302","Beneficiation of Bauxite and Aluminium Ores (excl. Alumina Production)"
640304,"Concentrating Processes of Other Base Metal Ores","840305","Concentrating Processes of Base Metal Ores (excl. Aluminium and Iron Ores)"
640305,"Production of Unrefined Precious Metal Ingots and Concentrates","840306","Production of Unrefined Precious Metal Ingots and Concentrates"
640306,"Beneficiation or Dressing of Non-Metallic Minerals (incl. Diamonds)","840304","Beneficiation or Dressing of Non-Metallic Minerals (incl. Diamonds)"
640399,"Other","840399","First Stage Treatment of Ores and Minerals not elsewhere classified"
640399,"Other","849999p","Mineral Resources (excl. Energy Resources) not elsewhere classified"
640401,"Exploration","849801p","Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases)"
640401,"Exploration","849802p","Management of Greenhouse Gas Emissions from Mineral Resource Activities"
640401,"Exploration","849803p","Management of Liquid Waste from Mineral Resource Activities (excl. Water)"
640401,"Exploration","849804p","Management of Solid Waste from Mineral Resource Activities"
640401,"Exploration","849805p","Management of Water Consumption by Mineral Resource Activities"
640401,"Exploration","849899p","Environmentally Sustainable Mineral Resource Activities not elsewhere classified"
640402,"Primary Mining and Extraction Processes","849801p","Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases)"
640402,"Primary Mining and Extraction Processes","849802p","Management of Greenhouse Gas Emissions from Mineral Resource Activities"
640402,"Primary Mining and Extraction Processes","849803p","Management of Liquid Waste from Mineral Resource Activities (excl. Water)"
640402,"Primary Mining and Extraction Processes","849804p","Management of Solid Waste from Mineral Resource Activities"
640402,"Primary Mining and Extraction Processes","849805p","Management of Water Consumption by Mineral Resource Activities"
640402,"Primary Mining and Extraction Processes","849899p","Environmentally Sustainable Mineral Resource Activities not elsewhere classified"
640403,"First Stage Treatment of Ores and Minerals","849801p","Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases)"
640403,"First Stage Treatment of Ores and Minerals","849802p","Management of Greenhouse Gas Emissions from Mineral Resource Activities"
640403,"First Stage Treatment of Ores and Minerals","849803p","Management of Liquid Waste from Mineral Resource Activities (excl. Water)"
640403,"First Stage Treatment of Ores and Minerals","849804p","Management of Solid Waste from Mineral Resource Activities"
640403,"First Stage Treatment of Ores and Minerals","849805p","Management of Water Consumption by Mineral Resource Activities"
640403,"First Stage Treatment of Ores and Minerals","849899p","Environmentally Sustainable Mineral Resource Activities not elsewhere classified"
650101,"Uranium","850105","Uranium Exploration"
650102,"Coal","850101","Coal Exploration"
650103,"Oil and Gas","850103","Oil and Gas Exploration"
650104,"Oil Shale and Tar Sands","850104","Oil Shale and Tar Sands Exploration"
650199,"Other","850102","Geothermal Exploration"
650199,"Other","850199","Energy Exploration not elsewhere classified"
650201,"Uranium","850205","Uranium Mining and Extraction"
650202,"Coal","850201","Coal Mining and Extraction"
650203,"Oil and Gas","850203","Oil and Gas Extraction"
650204,"Oil Shale and Tar Sands","850204","Oil Shale and Tar Sands Mining and Extraction"
650299,"Other","850202","Geothermal Energy Extraction"
650299,"Other","850299","Mining and Extraction of Energy Resources not elsewhere classified"
650301,"Uranium","850308","Preparation of Uranium"
650302,"Coal","850305","Preparation of Black Coal"
650302,"Coal","850306","Preparation of Brown Coal (Lignite)"
650303,"Oil and Gas","850304p","Oil and Gas Refining"
650304,"Oil Shale and Tar Sands","850307","Preparation of Oil Shale and Tar Sands"
650399,"Energy Minerals not elsewhere classified","850399","Preparation and Production of Energy Sources not elsewhere classified"
650401,"Exploration","859801p","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)"
650401,"Exploration","859803p","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)"
650401,"Exploration","859804p","Management of Liquid Waste from Energy Activities (excl. Water)"
650401,"Exploration","859805p","Management of Solid Waste from Energy Activities"
650401,"Exploration","859806p","Management of Water Consumption by Energy Activities"
650401,"Exploration","859899p","Environmentally Sustainable Energy Activities not elsewhere classified"
650402,"Mining and Extraction","859801p","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)"
650402,"Mining and Extraction","859803p","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)"
650402,"Mining and Extraction","859804p","Management of Liquid Waste from Energy Activities (excl. Water)"
650402,"Mining and Extraction","859805p","Management of Solid Waste from Energy Activities"
650402,"Mining and Extraction","859806p","Management of Water Consumption by Energy Activities"
650402,"Mining and Extraction","859899p","Environmentally Sustainable Energy Activities not elsewhere classified"
650403,"Preparation and Supply of Energy Source Minerals","859801p","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)"
650403,"Preparation and Supply of Energy Source Minerals","859803p","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)"
650403,"Preparation and Supply of Energy Source Minerals","859804p","Management of Liquid Waste from Energy Activities (excl. Water)"
650403,"Preparation and Supply of Energy Source Minerals","859805p","Management of Solid Waste from Energy Activities"
650403,"Preparation and Supply of Energy Source Minerals","859806p","Management of Water Consumption by Energy Activities"
650403,"Preparation and Supply of Energy Source Minerals","859899p","Environmentally Sustainable Energy Activities not elsewhere classified"
659999,"Other (e.g. Safety)","850301","Hydrogen Production from Fossil Fuels"
659999,"Other (e.g. Safety)","850302","Hydrogen Production from Nuclear Energy"
659999,"Other (e.g. Safety)","850303","Hydrogen Production from Renewable Energy"
659999,"Other (e.g. Safety)","850309","Production of Biofuels (Biomass)"
659999,"Other (e.g. Safety)","859999p","Energy not elsewhere classified"
660101,"Coal - Electricity","850405","Transformation of Black Coal into Electricity"
660101,"Coal - Electricity","850406","Transformation of Brown Coal (Lignite) into Electricity"
660102,"Coal - Conversion to Liquids","850408","Transformation of Coal into Liquid Fuels"
660103,"Coal - Other Purposes","850407","Transformation of Coal into Gaseous Fuels"
660103,"Coal - Other Purposes","850499p","Energy Transformation not elsewhere classified"
660104,"Nuclear","850403","Nuclear Energy"
660105,"Refined Oil and Gas","850304p","Oil and Gas Refining"
660105,"Refined Oil and Gas","850409","Transformation of Gas into Electricity"
660106,"Gas - Conversion to Liquid Fuels","850410","Transformation of Gas into Liquid Fuels"
660107,"Oil Shale and Tar Sands - Conversion to Liquid Fuels","850499p","Energy Transformation not elsewhere classified"
660199,"Energy Transformation not elsewhere classified","850401","Fuel Cells (excl. Solid Oxide)"
660199,"Energy Transformation not elsewhere classified","850402","Hydrogen-based Energy Systems (incl. Internal Hydrogen Combustion Engines)"
660199,"Energy Transformation not elsewhere classified","850404","Solid Oxide Fuel Cells"
660199,"Energy Transformation not elsewhere classified","850499p","Energy Transformation not elsewhere classified"
660201,"Hydro-Electric","850503","Hydro-Electric Energy"
660202,"Wind","850509","Wind Energy"
660203,"Ocean","850507","Tidal Energy"
660203,"Ocean","850508","Wave Energy"
660204,"Solar-Thermal","850506","Solar-Thermal Energy"
660205,"Solar-Photoelectric","850504","Solar-Photovoltaic Energy"
660206,"Solar-Thermal Electric","850505","Solar-Thermal Electric Energy"
660299,"Renewable Energy not elsewhere classified (e.g. Geothermal)","850501","Biofuel (Biomass) Energy"
660299,"Renewable Energy not elsewhere classified (e.g. Geothermal)","850502","Geothermal Energy"
660299,"Renewable Energy not elsewhere classified (e.g. Geothermal)","850599","Renewable Energy not elsewhere classified"
660301,"Electricity Transmission","850604p","Energy Transmission and Distribution (excl. Hydrogen)"
660302,"Gas Distribution","850604p","Energy Transmission and Distribution (excl. Hydrogen)"
660303,"Energy Storage","850602","Energy Storage (excl. Hydrogen)"
660303,"Energy Storage","850606","Hydrogen Storage"
660304,"Energy Systems Analysis","850603","Energy Systems Analysis"
660399,"Energy Distribution not elsewhere classified","850605","Hydrogen Distribution"
660399,"Energy Distribution not elsewhere classified","850699","Energy Storage, Distribution and Supply not elsewhere classified"
660401,"Industry","850703","Industrial Energy Conservation and Efficiency"
660402,"Residential and Commercial","850701","Commercial Energy Conservation and Efficiency"
660402,"Residential and Commercial","850704","Residential Energy Conservation and Efficiency"
660403,"Transport","850702","Energy Conservation and Efficiency in Transport"
660499,"Other ","850799","Energy Conservation and Efficiency not elsewhere classified"
660501,"Energy Transformation","859801p","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)"
660501,"Energy Transformation","859802p","Management of Greenhouse Gas Emissions from Electricity Generation"
660501,"Energy Transformation","859804p","Management of Liquid Waste from Energy Activities (excl. Water)"
660501,"Energy Transformation","859805p","Management of Solid Waste from Energy Activities"
660501,"Energy Transformation","859806p","Management of Water Consumption by Energy Activities"
660501,"Energy Transformation","859899p","Environmentally Sustainable Energy Activities not elsewhere classified"
660502,"Renewable Energy","859801p","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)"
660502,"Renewable Energy","859802p","Management of Greenhouse Gas Emissions from Electricity Generation"
660502,"Renewable Energy","859804p","Management of Liquid Waste from Energy Activities (excl. Water)"
660502,"Renewable Energy","859805p","Management of Solid Waste from Energy Activities"
660502,"Renewable Energy","859806p","Management of Water Consumption by Energy Activities"
660502,"Renewable Energy","859899p","Environmentally Sustainable Energy Activities not elsewhere classified"
660503,"Energy Storage and Distribution","859801p","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)"
660503,"Energy Storage and Distribution","859803p","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)"
660503,"Energy Storage and Distribution","859804p","Management of Liquid Waste from Energy Activities (excl. Water)"
660503,"Energy Storage and Distribution","859805p","Management of Solid Waste from Energy Activities"
