,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"Table 3: SEO 1998 - SEO 2008",,,
"SEO 1998 Code","SEO 1998 Name","SEO 2008 Code","SEO 2008 Name"
610101,"Navy","810103p","Command, Control and Communications"
610101,"Navy","810105p","Intelligence"
610101,"Navy","810106p","Logistics"
610101,"Navy","810108","Navy"
610101,"Navy","810109p","Personnel"
610102,"Army","810102","Army"
610102,"Army","810103p","Command, Control and Communications"
610102,"Army","810105p","Intelligence"
610102,"Army","810106p","Logistics"
610102,"Army","810109p","Personnel"
610103,"Air Force","810101","Air Force"
610103,"Air Force","810103p","Command, Control and Communications"
610103,"Air Force","810105p","Intelligence"
610103,"Air Force","810106p","Logistics"
610103,"Air Force","810109p","Personnel"
610104,"Combined Operations","810103p","Command, Control and Communications"
610104,"Combined Operations","810104p","Emerging Defence Technologies"
610104,"Combined Operations","810105p","Intelligence"
610104,"Combined Operations","810106p","Logistics"
610104,"Combined Operations","810107p","National Security"
610104,"Combined Operations","810109p","Personnel"
610199,"Other","810103p","Command, Control and Communications"
610199,"Other","810104p","Emerging Defence Technologies"
610199,"Other","810105p","Intelligence"
610199,"Other","810106p","Logistics"
610199,"Other","810107p","National Security"
610199,"Other","810109p","Personnel"
610199,"Other","810199","Defence not elsewhere classified"
620101,"Wheat","820507","Wheat"
620102,"Barley","820501","Barley"
620103,"Rice","820402","Rice"
620104,"Other Cereals","820401","Maize"
620104,"Other Cereals","820404","Sorghum"
620104,"Other Cereals","820506","Oats"
620105,"Oilseeds","820403","Safflower Seed"
620105,"Oilseeds","820405","Soybeans"
620105,"Oilseeds","820502","Canola"
620105,"Oilseeds","820504","Linseed"
620106,"Sugar","820304","Sugar"
620107,"Cotton","820301","Cotton"
620108,"Grain Legumes","820503","Grain Legumes"
620199,"Field Crops not elsewhere classified","820302","Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)"
620199,"Field Crops not elsewhere classified","820303","Plant Extract Crops (e.g. Pyrethrum, Jojoba)"
620199,"Field Crops not elsewhere classified","820305","Tobacco"
620199,"Field Crops not elsewhere classified","820399","Industrial Crops not elsewhere classified"
620199,"Field Crops not elsewhere classified","820499","Summer Grains and Oilseeds not elsewhere classified"
620199,"Field Crops not elsewhere classified","820505","Lupins"
620199,"Field Crops not elsewhere classified","820599","Winter Grains and Oilseeds not elsewhere classified"
620199,"Field Crops not elsewhere classified","829902p","Plant Product Traceability and Quality Assurance (excl. Forest Products)"
620199,"Field Crops not elsewhere classified","829999p","Plant Production and Plant Primary Products not elsewhere classified"
620201,"Stone Fruit","820211","Stone Fruit"
620202,"Pome Fruit","820210","Pome Fruit, Pip Fruit"
620203,"Citrus","820203","Citrus Fruit"
620204,"Grapes","820212","Table Grapes"
620204,"Grapes","820306","Wine Grapes"
620205,"Tropical Fruit","820214","Tropical Fruit"
620206,"Berry Fruit","820202","Berry Fruit (excl. Kiwifruit)"
620206,"Berry Fruit","820205","Kiwifruit"
620207,"Tree Nuts","820201","Almonds"
620207,"Tree Nuts","820206","Macadamias"
620207,"Tree Nuts","820213","Tree Nuts (excl. Almonds and Macadamias)"
