Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
Information And Computing Sciences,Artificial Intelligence And Image Processing,Virtual Reality and Related Simulation,080111
Information And Computing Sciences,Artificial Intelligence And Image Processing,Artificial Intelligence and Image Processing not elsewhere classified,080199
Information And Computing Sciences,Computation Theory And Mathematics,Analysis of Algorithms and Complexity,080201
Information And Computing Sciences,Computation Theory And Mathematics,Applied Discrete Mathematics,080202
Information And Computing Sciences,Computation Theory And Mathematics,Computational Logic and Formal Languages,080203
Information And Computing Sciences,Computation Theory And Mathematics,Mathematical Software,080204
Information And Computing Sciences,Computation Theory And Mathematics,Numerical Computation,080205
Information And Computing Sciences,Computation Theory And Mathematics,Computation Theory and Mathematics not elsewhere classified,080299
Information And Computing Sciences,Computer Software,Bioinformatics Software,080301
Information And Computing Sciences,Computer Software,Computer System Architecture,080302
Information And Computing Sciences,Computer Software,Computer System Security,080303
Information And Computing Sciences,Computer Software,Concurrent Programming,080304
Information And Computing Sciences,Computer Software,Multimedia Programming,080305
Information And Computing Sciences,Computer Software,Open Software,080306
Information And Computing Sciences,Computer Software,Operating Systems,080307
Information And Computing Sciences,Computer Software,Programming Languages,080308
Information And Computing Sciences,Computer Software,Software Engineering,080309
Information And Computing Sciences,Computer Software,Computer Software not elsewhere classified,080399
Information And Computing Sciences,Data Format,Coding and Information Theory,080401
Information And Computing Sciences,Data Format,Data Encryption,080402
Information And Computing Sciences,Data Format,Data Structures,080403
Information And Computing Sciences,Data Format,Markup Languages,080404
Information And Computing Sciences,Data Format,Data Format not elsewhere classified,080499
Information And Computing Sciences,Distributed Computing,Distributed and Grid Systems,080501
Information And Computing Sciences,Distributed Computing,Mobile Technologies,080502
Information And Computing Sciences,Distributed Computing,Networking and Communications,080503
Information And Computing Sciences,Distributed Computing,Ubiquitous Computing,080504
Information And Computing Sciences,Distributed Computing,Web Technologies (excl. Web Search),080505
Information And Computing Sciences,Distributed Computing,Distributed Computing not elsewhere classified,080599
Information And Computing Sciences,Information Systems,Aboriginal and Torres Strait Islander Information and Knowledge Systems,080601
Information And Computing Sciences,Information Systems,Computer-Human Interaction,080602
Information And Computing Sciences,Information Systems,Conceptual Modelling,080603
Information And Computing Sciences,Information Systems,Database Management,080604
Information And Computing Sciences,Information Systems,Decision Support and Group Support Systems,080605
Information And Computing Sciences,Information Systems,Global Information Systems,080606
Information And Computing Sciences,Information Systems,Information Engineering and Theory,080607
Information And Computing Sciences,Information Systems,Information Systems Development Methodologies,080608
Information And Computing Sciences,Information Systems,Information Systems Management,080609
Information And Computing Sciences,Information Systems,Information Systems Organisation,080610
Information And Computing Sciences,Information Systems,Information Systems Theory,080611
Information And Computing Sciences,Information Systems,Interorganisational Information Systems and Web Services,080612
Information And Computing Sciences,Information Systems,Māori Information and Knowledge Systems,080613
Information And Computing Sciences,Information Systems,Pacific Peoples Information and Knowledge Systems,080614
Information And Computing Sciences,Information Systems,Information Systems not elsewhere classified,080699
Information And Computing Sciences,Library And Information Studies,Aboriginal and Torres Strait Islander Knowledge Management,080701
Information And Computing Sciences,Library And Information Studies,Health Informatics,080702
Information And Computing Sciences,Library And Information Studies,Human Information Behaviour,080703
Information And Computing Sciences,Library And Information Studies,Information Retrieval and Web Search,080704
Information And Computing Sciences,Library And Information Studies,Informetrics,080705
Information And Computing Sciences,Library And Information Studies,Librarianship,080706
Information And Computing Sciences,Library And Information Studies,Organisation of Information and Knowledge Resources,080707
Information And Computing Sciences,Library And Information Studies,Records and Information Management (excl. Business Records and Information Management),080708
Information And Computing Sciences,Library And Information Studies,Social and Community Informatics,080709
Information And Computing Sciences,Library And Information Studies,Library and Information Studies not elsewhere classified,080799
Information And Computing Sciences,Other Information And Computing Sciences,Information and Computing Sciences not elsewhere classified,089999
Engineering,Aerospace Engineering,Aerodynamics (excl. Hypersonic Aerodynamics),090101
Engineering,Aerospace Engineering,Aerospace Materials,090102
Engineering,Aerospace Engineering,Aerospace Structures,090103
Engineering,Aerospace Engineering,Aircraft Performance and Flight Control Systems,090104
Engineering,Aerospace Engineering,Avionics,090105
Engineering,Aerospace Engineering,Flight Dynamics,090106
Engineering,Aerospace Engineering,Hypersonic Propulsion and Hypersonic Aerodynamics,090107
Engineering,Aerospace Engineering,"Satellite, Space Vehicle and Missile Design and Testing",090108
Engineering,Aerospace Engineering,Aerospace Engineering not elsewhere classified,090199
Engineering,Automotive Engineering,Automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels),090201
Engineering,Automotive Engineering,Automotive Engineering Materials,090202
Engineering,Automotive Engineering,Automotive Mechatronics,090203
Engineering,Automotive Engineering,Automotive Safety Engineering,090204
Engineering,Automotive Engineering,Hybrid Vehicles and Powertrains,090205
Engineering,Automotive Engineering,Automotive Engineering not elsewhere classified,090299
Engineering,Biomedical Engineering,Biomaterials,090301
Engineering,Biomedical Engineering,Biomechanical Engineering,090302
Engineering,Biomedical Engineering,Biomedical Instrumentation,090303
Engineering,Biomedical Engineering,Medical Devices,090304
Engineering,Biomedical Engineering,Rehabilitation Engineering,090305
Engineering,Biomedical Engineering,Biomedical Engineering not elsewhere classified,090399
Engineering,Chemical Engineering,Carbon Capture Engineering (excl. Sequestration),090401
Engineering,Chemical Engineering,Catalytic Process Engineering,090402
Engineering,Chemical Engineering,Chemical Engineering Design,090403
Engineering,Chemical Engineering,Membrane and Separation Technologies,090404
Engineering,Chemical Engineering,Non-automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels),090405
Engineering,Chemical Engineering,Powder and Particle Technology,090406
Engineering,Chemical Engineering,Process Control and Simulation,090407
Engineering,Chemical Engineering,Rheology,090408
Engineering,Chemical Engineering,Wastewater Treatment Processes,090409
Engineering,Chemical Engineering,Water Treatment Processes,090410
Engineering,Chemical Engineering,Chemical Engineering not elsewhere classified,090499
Engineering,Civil Engineering,Civil Geotechnical Engineering,090501
Engineering,Civil Engineering,Construction Engineering,090502
Engineering,Civil Engineering,Construction Materials,090503
Engineering,Civil Engineering,Earthquake Engineering,090504
Engineering,Civil Engineering,Infrastructure Engineering and Asset Management,090505
Engineering,Civil Engineering,Structural Engineering,090506
Engineering,Civil Engineering,Transport Engineering,090507
Engineering,Civil Engineering,Water Quality Engineering,090508
Engineering,Civil Engineering,Water Resources Engineering,090509
Engineering,Civil Engineering,Civil Engineering not elsewhere classified,090599
Engineering,Electrical And Electronic Engineering,Circuits and Systems,090601
Engineering,Electrical And Electronic Engineering,"Control Systems, Robotics and Automation",090602
Engineering,Electrical And Electronic Engineering,Industrial Electronics,090603
Engineering,Electrical And Electronic Engineering,Microelectronics and Integrated Circuits,090604
Engineering,Electrical And Electronic Engineering,"Photodetectors, Optical Sensors and Solar Cells",090605
Engineering,Electrical And Electronic Engineering,Photonics and Electro-Optical Engineering (excl. Communications),090606
Engineering,Electrical And Electronic Engineering,Power and Energy Systems Engineering (excl. Renewable Power),090607
Engineering,Electrical And Electronic Engineering,Renewable Power and Energy Systems Engineering (excl. Solar Cells),090608
Engineering,Electrical And Electronic Engineering,Signal Processing,090609
Engineering,Electrical And Electronic Engineering,Electrical and Electronic Engineering not elsewhere classified,090699
Engineering,Environmental Engineering,Environmental Engineering Design,090701
Engineering,Environmental Engineering,Environmental Engineering Modelling,090702
Engineering,Environmental Engineering,Environmental Technologies,090703
Engineering,Environmental Engineering,Environmental Engineering not elsewhere classified,090799
Engineering,Food Sciences,Food Chemistry and Molecular Gastronomy (excl. Wine),090801
Engineering,Food Sciences,Food Engineering,090802
Engineering,Food Sciences,Food Nutritional Balance,090803
Engineering,Food Sciences,"Food Packaging, Preservation and Safety",090804
Engineering,Food Sciences,Food Processing,090805
Engineering,Food Sciences,Wine Chemistry and Wine Sensory Science,090806
Engineering,Food Sciences,Food Sciences not elsewhere classified,090899
Engineering,Geomatic Engineering,Cartography,090901
Engineering,Geomatic Engineering,Geodesy,090902
Engineering,Geomatic Engineering,Geospatial Information Systems,090903
Engineering,Geomatic Engineering,Navigation and Position Fixing,090904
Engineering,Geomatic Engineering,Photogrammetry and Remote Sensing,090905
Engineering,Geomatic Engineering,Surveying (incl. Hydrographic Surveying),090906
Engineering,Geomatic Engineering,Geomatic Engineering not elsewhere classified,090999
Engineering,Manufacturing Engineering,CAD/CAM Systems,091001
Engineering,Manufacturing Engineering,Flexible Manufacturing Systems,091002
Engineering,Manufacturing Engineering,Machine Tools,091003
Engineering,Manufacturing Engineering,Machining,091004
Engineering,Manufacturing Engineering,Manufacturing Management,091005
Engineering,Manufacturing Engineering,Manufacturing Processes and Technologies (excl. Textiles),091006
Engineering,Manufacturing Engineering,Manufacturing Robotics and Mechatronics (excl. Automotive Mechatronics),091007
Engineering,Manufacturing Engineering,Manufacturing Safety and Quality,091008
Engineering,Manufacturing Engineering,Microtechnology,091009
Engineering,Manufacturing Engineering,"Packaging, Storage and Transportation",091010
Engineering,Manufacturing Engineering,Precision Engineering,091011
Engineering,Manufacturing Engineering,Textile Technology,091012
Engineering,Manufacturing Engineering,Manufacturing Engineering not elsewhere classified,091099
Engineering,Maritime Engineering,Marine Engineering,091101
Engineering,Maritime Engineering,Naval Architecture,091102
Engineering,Maritime Engineering,Ocean Engineering,091103
Engineering,Maritime Engineering,Ship and Platform Hydrodynamics,091104
Engineering,Maritime Engineering,Ship and Platform Structures,091105
Engineering,Maritime Engineering,Special Vehicles,091106
Engineering,Maritime Engineering,Maritime Engineering not elsewhere classified,091199
Engineering,Materials Engineering,Ceramics,091201
Engineering,Materials Engineering,Composite and Hybrid Materials,091202
Engineering,Materials Engineering,Compound Semiconductors,091203
Engineering,Materials Engineering,Elemental Semiconductors,091204
Engineering,Materials Engineering,Functional Materials,091205
Engineering,Materials Engineering,Glass,091206
Engineering,Materials Engineering,Metals and Alloy Materials,091207
Engineering,Materials Engineering,Organic Semiconductors,091208
Engineering,Materials Engineering,Polymers and Plastics,091209
Engineering,Materials Engineering,"Timber, Pulp and Paper",091210
Engineering,Materials Engineering,Materials Engineering not elsewhere classified,091299
Engineering,Mechanical Engineering,Acoustics and Noise Control (excl. Architectural Acoustics),091301
Engineering,Mechanical Engineering,Automation and Control Engineering,091302
Engineering,Mechanical Engineering,Autonomous Vehicles,091303
Engineering,Mechanical Engineering,"Dynamics, Vibration and Vibration Control",091304
Engineering,Mechanical Engineering,"Energy Generation, Conversion and Storage Engineering",091305
Engineering,Mechanical Engineering,Microelectromechanical Systems (MEMS),091306
Engineering,Mechanical Engineering,Numerical Modelling and Mechanical Characterisation,091307
Engineering,Mechanical Engineering,Solid Mechanics,091308
Engineering,Mechanical Engineering,Tribology,091309
Engineering,Mechanical Engineering,Mechanical Engineering not elsewhere classified,091399
Engineering,Resources Engineering And Extractive Metallurgy,Electrometallurgy,091401
Engineering,Resources Engineering And Extractive Metallurgy,Geomechanics and Resources Geotechnical Engineering,091402
Engineering,Resources Engineering And Extractive Metallurgy,Hydrometallurgy,091403
Engineering,Resources Engineering And Extractive Metallurgy,Mineral Processing/Beneficiation,091404
Engineering,Resources Engineering And Extractive Metallurgy,Mining Engineering,091405
Engineering,Resources Engineering And Extractive Metallurgy,Petroleum and Reservoir Engineering,091406
Engineering,Resources Engineering And Extractive Metallurgy,Pyrometallurgy,091407
Engineering,Resources Engineering And Extractive Metallurgy,Resources Engineering and Extractive Metallurgy not elsewhere classified,091499
Engineering,Interdisciplinary Engineering,Computational Fluid Dynamics,091501
Engineering,Interdisciplinary Engineering,Computational Heat Transfer,091502
Engineering,Interdisciplinary Engineering,Engineering Practice,091503
Engineering,Interdisciplinary Engineering,Fluidisation and Fluid Mechanics,091504
Engineering,Interdisciplinary Engineering,Heat and Mass Transfer Operations,091505
Engineering,Interdisciplinary Engineering,Nuclear Engineering (incl. Fuel Enrichment and Waste Processing and Storage),091506
Engineering,Interdisciplinary Engineering,Risk Engineering (excl. Earthquake Engineering),091507
Engineering,Interdisciplinary Engineering,Turbulent Flows,091508
Engineering,Interdisciplinary Engineering,Interdisciplinary Engineering not elsewhere classified,091599
Engineering,Other Engineering,Agricultural Engineering,099901
Engineering,Other Engineering,Engineering Instrumentation,099902
Engineering,Other Engineering,Engineering not elsewhere classified,099999
Technology,Agricultural Biotechnology,Agricultural Biotechnology Diagnostics (incl. Biosensors),100101
Technology,Agricultural Biotechnology,Agricultural Marine Biotechnology,100102
Technology,Agricultural Biotechnology,Agricultural Molecular Engineering of Nucleic Acids and Proteins,100103
Technology,Agricultural Biotechnology,Genetically Modified Animals,100104
Technology,Agricultural Biotechnology,Genetically Modified Field Crops and Pasture,100105
Technology,Agricultural Biotechnology,Genetically Modified Horticulture Plants,100106
Technology,Agricultural Biotechnology,Genetically Modified Trees,100107
Technology,Agricultural Biotechnology,Livestock cloning,100108
Technology,Agricultural Biotechnology,Transgenesis,100109
Technology,Agricultural Biotechnology,Agricultural Biotechnology not elsewhere classified,100199
Technology,Environmental Biotechnology,Biodiscovery,100201
Technology,Environmental Biotechnology,Biological Control,100202
Technology,Environmental Biotechnology,Bioremediation,100203
Technology,Environmental Biotechnology,Environmental Biotechnology Diagnostics (incl. Biosensors),100204
Technology,Environmental Biotechnology,Environmental Marine Biotechnology,100205
Technology,Environmental Biotechnology,Environmental Molecular Engineering of Nucleic Acids and Proteins,100206
Technology,Environmental Biotechnology,Environmental Biotechnology not elsewhere classified,100299
Technology,Industrial Biotechnology,Biocatalysis and Enzyme Technology,100301
Technology,Industrial Biotechnology,"Bioprocessing, Bioproduction and Bioproducts",100302
Technology,Industrial Biotechnology,Fermentation,100303
Technology,Industrial Biotechnology,Industrial Biotechnology Diagnostics (incl. Biosensors),100304
Technology,Industrial Biotechnology,Industrial Microbiology (incl. Biofeedstocks),100305
Technology,Industrial Biotechnology,Industrial Molecular Engineering of Nucleic Acids and Proteins,100306
Technology,Industrial Biotechnology,Industrial Biotechnology not elsewhere classified,100399
Technology,Medical Biotechnology,Gene and Molecular Therapy,100401
Technology,Medical Biotechnology,Medical Biotechnology Diagnostics (incl. Biosensors),100402
Technology,Medical Biotechnology,Medical Molecular Engineering of Nucleic Acids and Proteins,100403
Technology,Medical Biotechnology,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),100404
Technology,Medical Biotechnology,Medical Biotechnology not elsewhere classified,100499
Technology,Communications Technologies,Antennas and Propagation,100501
Technology,Communications Technologies,Broadband and Modem Technology,100502
Technology,Communications Technologies,Computer Communications Networks,100503
Technology,Communications Technologies,Data Communications,100504
Technology,Communications Technologies,Microwave and Millimetrewave Theory and Technology,100505
Technology,Communications Technologies,Optical Fibre Communications,100506
Technology,Communications Technologies,Optical Networks and Systems,100507
Technology,Communications Technologies,Satellite Communications,100508
Technology,Communications Technologies,Video Communications,100509
Technology,Communications Technologies,Wireless Communications,100510
Technology,Communications Technologies,Communications Technologies not elsewhere classified,100599
Technology,Communications Technologies,Communications Technologies not elsewhere classified,100599
Technology,Computer Hardware,Arithmetic and Logic Structures,100601
Technology,Computer Hardware,"Input, Output and Data Devices",100602
Technology,Computer Hardware,Logic Design,100603
Technology,Computer Hardware,Memory Structures,100604
Technology,Computer Hardware,Performance Evaluation; Testing and Simulation of Reliability,100605
Technology,Computer Hardware,Processor Architectures,100606
Technology,Computer Hardware,Computer Hardware not elsewhere classified,100699
Technology,Nanotechnology,Environmental Nanotechnology,100701
Technology,Nanotechnology,Molecular and Organic Electronics,100702
Technology,Nanotechnology,Nanobiotechnology,100703
Technology,Nanotechnology,Nanoelectromechanical Systems,100704
Technology,Nanotechnology,Nanoelectronics,100705
Technology,Nanotechnology,"Nanofabrication, Growth and Self Assembly",100706
Technology,Nanotechnology,Nanomanufacturing,100707
Technology,Nanotechnology,Nanomaterials,100708
Technology,Nanotechnology,Nanomedicine,100709
Technology,Nanotechnology,Nanometrology,100710
Technology,Nanotechnology,Nanophotonics,100711
Technology,Nanotechnology,Nanoscale Characterisation,100712
Technology,Nanotechnology,"Nanotoxicology, Health and Safety",100713
Technology,Nanotechnology,Nanotechnology not elsewhere classified,100799
Technology,Other Technology,Technology not elsewhere classified,109999
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Medical Biochemistry: Amino Acids and Metabolites,110101
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Medical Biochemistry: Carbohydrates,110102
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Medical Biochemistry: Inorganic Elements and Compounds,110103
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Medical Biochemistry: Lipids,110104
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Medical Biochemistry: Nucleic Acids,110105
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics),110106
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Metabolic Medicine,110107
Medical And Health Sciences,Medical Biochemistry And Metabolomics,Medical Biochemistry and Metabolomics not elsewhere classified,110199
Medical And Health Sciences,Cardiovascular Medicine And Haematology,Cardiology (incl. Cardiovascular Diseases),110201
Medical And Health Sciences,Cardiovascular Medicine And Haematology,Haematology,110202
Medical And Health Sciences,Cardiovascular Medicine And Haematology,Respiratory Diseases,110203
Medical And Health Sciences,Cardiovascular Medicine And Haematology,Cardiovascular Medicine and Haematology not elsewhere classified,110299
Medical And Health Sciences,Clinical Sciences,Anaesthesiology,110301
Medical And Health Sciences,Clinical Sciences,Clinical Chemistry (diagnostics),110302
Medical And Health Sciences,Clinical Sciences,Clinical Microbiology,110303
Medical And Health Sciences,Clinical Sciences,Dermatology,110304
Medical And Health Sciences,Clinical Sciences,Emergency Medicine,110305
Medical And Health Sciences,Clinical Sciences,Endocrinology,110306
Medical And Health Sciences,Clinical Sciences,Gastroenterology and Hepatology,110307
Medical And Health Sciences,Clinical Sciences,Geriatrics and Gerontology,110308
Medical And Health Sciences,Clinical Sciences,Infectious Diseases,110309
Medical And Health Sciences,Clinical Sciences,Intensive Care,110310
Medical And Health Sciences,Clinical Sciences,Medical Genetics (excl. Cancer Genetics),110311
Medical And Health Sciences,Clinical Sciences,Nephrology and Urology,110312
Medical And Health Sciences,Clinical Sciences,Nuclear Medicine,110313
Medical And Health Sciences,Clinical Sciences,Orthopaedics,110314
Medical And Health Sciences,Clinical Sciences,Otorhinolaryngology,110315
Medical And Health Sciences,Clinical Sciences,Pathology,110316
Medical And Health Sciences,Clinical Sciences,Physiotherapy,110317
Medical And Health Sciences,Clinical Sciences,Podiatry,110318
Medical And Health Sciences,Clinical Sciences,Psychiatry (incl. Psychotherapy),110319
Medical And Health Sciences,Clinical Sciences,Radiology and Organ Imaging,110320
Medical And Health Sciences,Clinical Sciences,Rehabilitation and Therapy (excl. Physiotherapy),110321
Medical And Health Sciences,Clinical Sciences,Rheumatology and Arthritis,110322
Medical And Health Sciences,Clinical Sciences,Surgery,110323
Medical And Health Sciences,Clinical Sciences,Venereology,110324
Medical And Health Sciences,Clinical Sciences,Clinical Sciences not elsewhere classified,110399
Medical And Health Sciences,Complementary And Alternative Medicine,Chiropractic,110401
Medical And Health Sciences,Complementary And Alternative Medicine,Naturopathy,110402
Medical And Health Sciences,Complementary And Alternative Medicine,Traditional Aboriginal and Torres Strait Islander Medicine and Treatments,110403
Medical And Health Sciences,Complementary And Alternative Medicine,Traditional Chinese Medicine and Treatments,110404
Medical And Health Sciences,Complementary And Alternative Medicine,Traditional Māori Medicine and Treatments,110405
Medical And Health Sciences,Complementary And Alternative Medicine,Complementary and Alternative Medicine not elsewhere classified,110499
Medical And Health Sciences,Dentistry,Dental Materials and Equipment,110501
Medical And Health Sciences,Dentistry,Dental Materials and Equipment,110501
Medical And Health Sciences,Dentistry,"Dental Therapeutics, Pharmacology and Toxicology ",110502
Medical And Health Sciences,Dentistry,Endodontics,110503
Medical And Health Sciences,Dentistry,Oral and Maxillofacial Surgery,110504
Medical And Health Sciences,Dentistry,Oral Medicine and Pathology,110505
Medical And Health Sciences,Dentistry,Orthodontics and Dentofacial Orthopaedics,110506
Medical And Health Sciences,Dentistry,Paedodontics,110507
Medical And Health Sciences,Dentistry,Periodontics,110508
Medical And Health Sciences,Dentistry,Special Needs Dentistry,110509
Medical And Health Sciences,Dentistry,Dentistry not elsewhere classified,110599
Medical And Health Sciences,Human Movement And Sports Science,Biomechanics,110601
Medical And Health Sciences,Human Movement And Sports Science,Exercise Physiology,110602
Medical And Health Sciences,Human Movement And Sports Science,Motor Control,110603
Medical And Health Sciences,Human Movement And Sports Science,Sports Medicine,110604
Medical And Health Sciences,Human Movement And Sports Science,Human Movement and Sports Science not elsewhere classified,110699
Medical And Health Sciences,Immunology,Allergy,110701
Medical And Health Sciences,Immunology,"Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies)",110702
Medical And Health Sciences,Immunology,Autoimmunity,110703
Medical And Health Sciences,Immunology,Cellular Immunology,110704
Medical And Health Sciences,Immunology,Humoural Immunology and Immunochemistry,110705
Medical And Health Sciences,Immunology,Immunogenetics (incl. Genetic Immunology),110706
Medical And Health Sciences,Immunology,Innate Immunity,110707
Medical And Health Sciences,Immunology,Transplantation Immunology,110708
Medical And Health Sciences,Immunology,Tumour Immunology,110709
Medical And Health Sciences,Immunology,Immunology not elsewhere classified,110799
Medical And Health Sciences,Medical Microbiology,Medical Bacteriology,110801
Medical And Health Sciences,Medical Microbiology,Medical Infection Agents (incl. Prions),110802
Medical And Health Sciences,Medical Microbiology,Medical Parasitology,110803
Medical And Health Sciences,Medical Microbiology,Medical Virology,110804
Medical And Health Sciences,Medical Microbiology,Medical Microbiology not elsewhere classified,110899
Medical And Health Sciences,Neurosciences,Autonomic Nervous System,110901
Medical And Health Sciences,Neurosciences,Cellular Nervous System,110902
Medical And Health Sciences,Neurosciences,Central Nervous System,110903
Medical And Health Sciences,Neurosciences,Neurology and Neuromuscular Diseases,110904
Medical And Health Sciences,Neurosciences,Peripheral Nervous System,110905
Medical And Health Sciences,Neurosciences,Sensory Systems,110906
Medical And Health Sciences,Neurosciences,Neurosciences not elsewhere classified,110999
Medical And Health Sciences,Nursing,Aged Care Nursing,111001
Medical And Health Sciences,Nursing,Clinical Nursing: Primary (Preventative),111002
Medical And Health Sciences,Nursing,Clinical Nursing: Secondary (Acute Care),111003
Medical And Health Sciences,Nursing,Clinical Nursing: Tertiary (Rehabilitative),111004
Medical And Health Sciences,Nursing,Mental Health Nursing,111005
Medical And Health Sciences,Nursing,Midwifery,111006
Medical And Health Sciences,Nursing,Nursing not elsewhere classified,111099
Medical And Health Sciences,Nutrition And Dietetics,Clinical and Sports Nutrition,111101
Medical And Health Sciences,Nutrition And Dietetics,Dietetics and Nutrigenomics,111102
Medical And Health Sciences,Nutrition And Dietetics,Nutritional Physiology,111103
Medical And Health Sciences,Nutrition And Dietetics,Public Nutrition Intervention,111104
Medical And Health Sciences,Nutrition And Dietetics,Nutrition and Dietetics not elsewhere classified,111199
Medical And Health Sciences,Oncology And Carcinogenesis,Cancer Cell Biology,111201
Medical And Health Sciences,Oncology And Carcinogenesis,Cancer Diagnosis,111202
Medical And Health Sciences,Oncology And Carcinogenesis,Cancer Genetics,111203
Medical And Health Sciences,Oncology And Carcinogenesis,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),111204
Medical And Health Sciences,Oncology And Carcinogenesis,Chemotherapy,111205
Medical And Health Sciences,Oncology And Carcinogenesis,Haematological Tumours,111206
Medical And Health Sciences,Oncology And Carcinogenesis,Molecular Targets,111207
Medical And Health Sciences,Oncology And Carcinogenesis,Radiation Therapy,111208
Medical And Health Sciences,Oncology And Carcinogenesis,Solid Tumours,111209
Medical And Health Sciences,Oncology And Carcinogenesis,Oncology and Carcinogenesis not elsewhere classified,111299
Medical And Health Sciences,Ophthalmology And Optometry,Ophthalmology,111301
Medical And Health Sciences,Ophthalmology And Optometry,Optical Technology,111302
Medical And Health Sciences,Ophthalmology And Optometry,Vision Science,111303
Medical And Health Sciences,Ophthalmology And Optometry,Optometry and Ophthalmology not elsewhere classified,111399
Medical And Health Sciences,Paediatrics And Reproductive Medicine,Foetal Development and Medicine,111401
Medical And Health Sciences,Paediatrics And Reproductive Medicine,Obstetrics and Gynaecology,111402
Medical And Health Sciences,Paediatrics And Reproductive Medicine,Paediatrics,111403
Medical And Health Sciences,Paediatrics And Reproductive Medicine,Reproduction,111404
Medical And Health Sciences,Paediatrics And Reproductive Medicine,Paediatrics and Reproductive Medicine not elsewhere classified,111499
Medical And Health Sciences,Pharmacology And Pharmaceutical Sciences,Basic Pharmacology,111501
Medical And Health Sciences,Pharmacology And Pharmaceutical Sciences,Clinical Pharmacology and Therapeutics,111502
Medical And Health Sciences,Pharmacology And Pharmaceutical Sciences,Clinical Pharmacy and Pharmacy Practice,111503
Medical And Health Sciences,Pharmacology And Pharmaceutical Sciences,Pharmaceutical Sciences,111504
Medical And Health Sciences,Pharmacology And Pharmaceutical Sciences,Pharmacogenomics,111505
Medical And Health Sciences,Pharmacology And Pharmaceutical Sciences,Toxicology (incl. Clinical Toxicology),111506
Medical And Health Sciences,Pharmacology And Pharmaceutical Sciences,Pharmacology and Pharmaceutical Sciences not elsewhere classified,111599
Medical And Health Sciences,Medical Physiology,Cell Physiology,111601
Medical And Health Sciences,Medical Physiology,Human Biophysics,111602
Medical And Health Sciences,Medical Physiology,Systems Physiology,111603
Medical And Health Sciences,Medical Physiology,Medical Physiology not elsewhere classified,111699
Medical And Health Sciences,Public Health And Health Services,Aboriginal and Torres Strait Islander Health,111701
Medical And Health Sciences,Public Health And Health Services,Aged Health Care,111702
Medical And Health Sciences,Public Health And Health Services,Care for Disabled,111703
Medical And Health Sciences,Public Health And Health Services,Community Child Health,111704
Medical And Health Sciences,Public Health And Health Services,Environmental and Occupational Health and Safety,111705
Medical And Health Sciences,Public Health And Health Services,Epidemiology,111706
Medical And Health Sciences,Public Health And Health Services,Family Care,111707
Medical And Health Sciences,Public Health And Health Services,Health and Community Services,111708
Medical And Health Sciences,Public Health And Health Services,Health Care Administration,111709
Medical And Health Sciences,Public Health And Health Services,Health Counselling,111710
Medical And Health Sciences,Public Health And Health Services,Health Information Systems (incl. Surveillance),111711
Medical And Health Sciences,Public Health And Health Services,Health Promotion,111712
Medical And Health Sciences,Public Health And Health Services,Māori Health,111713
Medical And Health Sciences,Public Health And Health Services,Mental Health,111714
Medical And Health Sciences,Public Health And Health Services,Pacific Peoples Health,111715
Medical And Health Sciences,Public Health And Health Services,Preventive Medicine,111716
Medical And Health Sciences,Public Health And Health Services,Primary Health Care,111717
Medical And Health Sciences,Public Health And Health Services,Residential Client Care,111718
Medical And Health Sciences,Public Health And Health Services,Public Health and Health Services not elsewhere classified,111799
Medical And Health Sciences,Other Medical And Health Sciences,Medical and Health Sciences not elsewhere classified,119999
Built Environment And Design,Architecture,Architectural Design,120101
Built Environment And Design,Architecture,Architectural Heritage and Conservation,120102
Built Environment And Design,Architecture,Architectural History and Theory,120103
Built Environment And Design,Architecture,"Architectural Science and Technology (incl. Acoustics, Lighting, Structure and Ecologically Sustainable Design)",120104
Built Environment And Design,Architecture,Architecture Management,120105
Built Environment And Design,Architecture,Interior Design,120106
Built Environment And Design,Architecture,Landscape Architecture,120107
Built Environment And Design,Architecture,Architecture not elsewhere classified,120199
Built Environment And Design,Building,Building Construction Management and Project Planning,120201
Built Environment And Design,Building,Building Science and Techniques,120202
Built Environment And Design,Building,Quantity Surveying,120203
Built Environment And Design,Building,Building not elsewhere classified,120299
Built Environment And Design,Design Practice And Management,Design History and Theory,120301
Built Environment And Design,Design Practice And Management,Design Innovation,120302
Built Environment And Design,Design Practice And Management,Design Management and Studio and Professional Practice,120303
Built Environment And Design,Design Practice And Management,Digital and Interaction Design,120304
Built Environment And Design,Design Practice And Management,Industrial Design,120305
Built Environment And Design,Design Practice And Management,Textile and Fashion Design,120306
