Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
Physical Sciences,Other Physical Sciences,Synchrotrons; Accelerators; Instruments and Techniques,029904
Physical Sciences,Other Physical Sciences,Physical Sciences not elsewhere classified,029999
Chemical Sciences,Analytical Chemistry,Analytical Spectrometry,030101
Chemical Sciences,Analytical Chemistry,Electroanalytical Chemistry,030102
Chemical Sciences,Analytical Chemistry,Flow Analysis,030103
Chemical Sciences,Analytical Chemistry,Immunological and Bioassay Methods,030104
Chemical Sciences,Analytical Chemistry,Instrumental Methods (excl. Immunological and Bioassay Methods),030105
Chemical Sciences,Analytical Chemistry,"Quality Assurance, Chemometrics, Traceability and Metrological Chemistry",030106
Chemical Sciences,Analytical Chemistry,Sensor Technology (Chemical aspects),030107
Chemical Sciences,Analytical Chemistry,Separation Science,030108
Chemical Sciences,Analytical Chemistry,Analytical Chemistry not elsewhere classified,030199
Chemical Sciences,Inorganic Chemistry,Bioinorganic Chemistry,030201
Chemical Sciences,Inorganic Chemistry,f-Block Chemistry,030202
Chemical Sciences,Inorganic Chemistry,Inorganic Green Chemistry,030203
Chemical Sciences,Inorganic Chemistry,Main Group Metal Chemistry,030204
Chemical Sciences,Inorganic Chemistry,Non-metal Chemistry,030205
Chemical Sciences,Inorganic Chemistry,Solid State Chemistry,030206
Chemical Sciences,Inorganic Chemistry,Transition Metal Chemistry,030207
Chemical Sciences,Inorganic Chemistry,Inorganic Chemistry not elsewhere classified,030299
Chemical Sciences,Macromolecular And Materials Chemistry,Chemical Characterisation of Materials,030301
Chemical Sciences,Macromolecular And Materials Chemistry,Nanochemistry and Supramolecular Chemistry,030302
Chemical Sciences,Macromolecular And Materials Chemistry,Optical Properties of Materials,030303
Chemical Sciences,Macromolecular And Materials Chemistry,Physical Chemistry of Materials,030304
Chemical Sciences,Macromolecular And Materials Chemistry,Polymerisation Mechanisms,030305
Chemical Sciences,Macromolecular And Materials Chemistry,Synthesis of Materials,030306
Chemical Sciences,Macromolecular And Materials Chemistry,Theory and Design of Materials,030307
Chemical Sciences,Macromolecular And Materials Chemistry,Macromolecular and Materials Chemistry not elsewhere classified,030399
Chemical Sciences,Medicinal And Biomolecular Chemistry,Biologically Active Molecules,030401
Chemical Sciences,Medicinal And Biomolecular Chemistry,Biomolecular Modelling and Design,030402
Chemical Sciences,Medicinal And Biomolecular Chemistry,Characterisation of Biological Macromolecules,030403
Chemical Sciences,Medicinal And Biomolecular Chemistry,Cheminformatics and Quantitative Structure-Activity Relationships,030404
Chemical Sciences,Medicinal And Biomolecular Chemistry,Molecular Medicine,030405
Chemical Sciences,Medicinal And Biomolecular Chemistry,Proteins and Peptides,030406
Chemical Sciences,Medicinal And Biomolecular Chemistry,Medicinal and Biomolecular Chemistry not elsewhere classified,030499
Chemical Sciences,Organic Chemistry,Free Radical Chemistry,030501
Chemical Sciences,Organic Chemistry,Natural Products Chemistry,030502
Chemical Sciences,Organic Chemistry,Organic Chemical Synthesis,030503
Chemical Sciences,Organic Chemistry,Organic Green Chemistry,030504
Chemical Sciences,Organic Chemistry,Physical Organic Chemistry,030505
Chemical Sciences,Organic Chemistry,Organic Chemistry not elsewhere classified,030599
Chemical Sciences,Physical Chemistry (incl. Structural),Catalysis and Mechanisms of Reactions,030601
Chemical Sciences,Physical Chemistry (incl. Structural),Chemical Thermodynamics and Energetics,030602
Chemical Sciences,Physical Chemistry (incl. Structural),Colloid and Surface Chemistry,030603
Chemical Sciences,Physical Chemistry (incl. Structural),Electrochemistry,030604
Chemical Sciences,Physical Chemistry (incl. Structural),Solution Chemistry,030605
Chemical Sciences,Physical Chemistry (incl. Structural),Structural Chemistry and Spectroscopy,030606
Chemical Sciences,Physical Chemistry (incl. Structural),Transport Properties and Non-Equilibrium Processes,030607
Chemical Sciences,Physical Chemistry (incl. Structural),Physical Chemistry not elsewhere classified,030699
Chemical Sciences,Theoretical And Computational Chemistry,Quantum Chemistry,030701
Chemical Sciences,Theoretical And Computational Chemistry,Radiation and Matter,030702
Chemical Sciences,Theoretical And Computational Chemistry,Reaction Kinetics and Dynamics,030703
Chemical Sciences,Theoretical And Computational Chemistry,Statistical Mechanics in Chemistry,030704
Chemical Sciences,Theoretical And Computational Chemistry,Theoretical and Computational Chemistry not elsewhere classified,030799
Chemical Sciences,Other Chemical Sciences,Environmental Chemistry (incl. Atmospheric Chemistry),039901
Chemical Sciences,Other Chemical Sciences,Forensic Chemistry,039902
Chemical Sciences,Other Chemical Sciences,Industrial Chemistry,039903
Chemical Sciences,Other Chemical Sciences,Organometallic Chemistry,039904
Chemical Sciences,Other Chemical Sciences,Chemical Sciences not elsewhere classified,039999
Earth Sciences,Atmospheric Sciences,Atmospheric Aerosols,040101
Earth Sciences,Atmospheric Sciences,Atmospheric Dynamics,040102
Earth Sciences,Atmospheric Sciences,Atmospheric Radiation,040103
Earth Sciences,Atmospheric Sciences,Climate Change Processes,040104
Earth Sciences,Atmospheric Sciences,Climatology (excl. Climate Change Processes),040105
Earth Sciences,Atmospheric Sciences,Cloud Physics,040106
Earth Sciences,Atmospheric Sciences,Meteorology,040107
Earth Sciences,Atmospheric Sciences,Tropospheric and Stratospheric Physics,040108
Earth Sciences,Atmospheric Sciences,Atmospheric Sciences not elsewhere classified,040199
Earth Sciences,Geochemistry,Exploration Geochemistry,040201
Earth Sciences,Geochemistry,Inorganic Geochemistry,040202
Earth Sciences,Geochemistry,Isotope Geochemistry,040203
Earth Sciences,Geochemistry,Organic Geochemistry,040204
Earth Sciences,Geochemistry,Geochemistry not elsewhere classified,040299
Earth Sciences,Geology,Basin Analysis,040301
Earth Sciences,Geology,Extraterrestrial Geology,040302
Earth Sciences,Geology,Geochronology,040303
Earth Sciences,Geology,Igneous and Metamorphic Petrology,040304
Earth Sciences,Geology,Marine Geoscience,040305
Earth Sciences,Geology,Mineralogy and Crystallography,040306
Earth Sciences,Geology,Ore Deposit Petrology,040307
Earth Sciences,Geology,Palaeontology (incl. Palynology),040308
Earth Sciences,Geology,Petroleum and Coal Geology,040309
Earth Sciences,Geology,Sedimentology,040310
Earth Sciences,Geology,Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy),040311
Earth Sciences,Geology,Structural Geology,040312
Earth Sciences,Geology,Tectonics,040313
Earth Sciences,Geology,Volcanology,040314
Earth Sciences,Geology,Geology not elsewhere classified,040399
Earth Sciences,Geophysics,Electrical and Electromagnetic Methods in Geophysics,040401
Earth Sciences,Geophysics,Geodynamics,040402
Earth Sciences,Geophysics,Geophysical Fluid Dynamics,040403
Earth Sciences,Geophysics,Geothermics and Radiometrics,040404
Earth Sciences,Geophysics,Gravimetrics,040405
Earth Sciences,Geophysics,Magnetism and Palaeomagnetism,040406
Earth Sciences,Geophysics,Seismology and Seismic Exploration,040407
Earth Sciences,Geophysics,Geophysics not elsewhere classified,040499
Earth Sciences,Oceanography,Biological Oceanography,040501
Earth Sciences,Oceanography,Chemical Oceanography,040502
Earth Sciences,Oceanography,Physical Oceanography,040503
Earth Sciences,Oceanography,Oceanography not elsewhere classified,040599
Earth Sciences,Physical Geography And Environmental Geoscience,Geomorphology and Regolith and Landscape Evolution,040601
Earth Sciences,Physical Geography And Environmental Geoscience,Glaciology,040602
Earth Sciences,Physical Geography And Environmental Geoscience,Hydrogeology,040603
Earth Sciences,Physical Geography And Environmental Geoscience,Natural Hazards,040604
Earth Sciences,Physical Geography And Environmental Geoscience,Palaeoclimatology,040605
Earth Sciences,Physical Geography And Environmental Geoscience,Quaternary Environments,040606
Earth Sciences,Physical Geography And Environmental Geoscience,Surface Processes,040607
Earth Sciences,Physical Geography And Environmental Geoscience,Surfacewater Hydrology,040608
Earth Sciences,Physical Geography And Environmental Geoscience,Physical Geography and Environmental Geoscience not elsewhere classified,040699
Earth Sciences,Other Earth Sciences,Earth Sciences not elsewhere classified,049999
Environmental Sciences,Ecological Applications,Ecological Impacts of Climate Change,050101
Environmental Sciences,Ecological Applications,Ecosystem Function,050102
Environmental Sciences,Ecological Applications,Invasive Species Ecology,050103
Environmental Sciences,Ecological Applications,Landscape Ecology,050104
Environmental Sciences,Ecological Applications,Ecological Applications not elsewhere classified,050199
Environmental Sciences,Environmental Science And Management,Aboriginal and Torres Strait Islander Environmental Knowledge,050201
Environmental Sciences,Environmental Science And Management,Conservation and Biodiversity,050202
Environmental Sciences,Environmental Science And Management,Environmental Education and Extension,050203
Environmental Sciences,Environmental Science And Management,Environmental Impact Assessment,050204
Environmental Sciences,Environmental Science And Management,Environmental Management,050205
Environmental Sciences,Environmental Science And Management,Environmental Monitoring,050206
Environmental Sciences,Environmental Science And Management,Environmental Rehabilitation (excl. Bioremediation),050207
Environmental Sciences,Environmental Science And Management,Māori Environmental Knowledge,050208
Environmental Sciences,Environmental Science And Management,Natural Resource Management,050209
Environmental Sciences,Environmental Science And Management,Pacific Peoples Environmental Knowledge,050210
Environmental Sciences,Environmental Science And Management,Wildlife and Habitat Management,050211
Environmental Sciences,Environmental Science And Management,Environmental Science and Management not elsewhere classified,050299
Environmental Sciences,Soil Sciences,Carbon Sequestration Science,050301
Environmental Sciences,Soil Sciences,Land Capability and Soil Degradation,050302
Environmental Sciences,Soil Sciences,Soil Biology,050303
Environmental Sciences,Soil Sciences,Soil Chemistry (excl. Carbon Sequestration Science),050304
Environmental Sciences,Soil Sciences,Soil Physics,050305
Environmental Sciences,Soil Sciences,Soil Sciences not elsewhere classified,050399
Environmental Sciences,Other Environmental Sciences,Environmental Sciences not elsewhere classified,059999
Biological Sciences,Biochemistry And Cell Biology,Analytical Biochemistry,060101
Biological Sciences,Biochemistry And Cell Biology,Bioinformatics,060102
Biological Sciences,Biochemistry And Cell Biology,"Cell Development, Proliferation and Death",060103
Biological Sciences,Biochemistry And Cell Biology,Cell Metabolism,060104
Biological Sciences,Biochemistry And Cell Biology,Cell Neurochemistry,060105
Biological Sciences,Biochemistry And Cell Biology,"Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)",060106
Biological Sciences,Biochemistry And Cell Biology,Enzymes,060107
Biological Sciences,Biochemistry And Cell Biology,Protein Trafficking,060108
Biological Sciences,Biochemistry And Cell Biology,Proteomics and Intermolecular Interactions (excl. Medical Proteomics),060109
Biological Sciences,Biochemistry And Cell Biology,Receptors and Membrane Biology,060110
Biological Sciences,Biochemistry And Cell Biology,Signal Transduction,060111
Biological Sciences,Biochemistry And Cell Biology,Structural Biology (incl. Macromolecular Modelling),060112
Biological Sciences,Biochemistry And Cell Biology,Synthetic Biology,060113
Biological Sciences,Biochemistry And Cell Biology,Systems Biology,060114
Biological Sciences,Biochemistry And Cell Biology,Biochemistry and Cell Biology not elsewhere classified,060199
Biological Sciences,Ecology,Behavioural Ecology,060201
Biological Sciences,Ecology,Community Ecology,060202
Biological Sciences,Ecology,Ecological Physiology,060203
Biological Sciences,Ecology,Freshwater Ecology,060204
Biological Sciences,Ecology,Marine and Estuarine Ecology (incl. Marine Ichthyology),060205
Biological Sciences,Ecology,Palaeoecology,060206
Biological Sciences,Ecology,Population Ecology,060207
Biological Sciences,Ecology,Terrestrial Ecology,060208
Biological Sciences,Ecology,Ecology not elsewhere classified,060299
Biological Sciences,Evolutionary Biology,Animal Systematics and Taxonomy,060301
Biological Sciences,Evolutionary Biology,Biogeography and Phylogeography,060302
