,"Australian Bureau of Statistics Statistics New Zealand",,
"010504","Mathematical Aspects of General Relativity","240201p","Theoretical Physics"
"010504","Mathematical Aspects of General Relativity","249999p","Physical Sciences not elsewhere classified "
"010505","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory","230199p","Mathematics not elsewhere classified "
"010505","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory","239999p","Mathematical Sciences not elsewhere classified "
"010505","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory","240101p","Astronomy and Astrophysics "
"010505","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory","240199p","Astronomical Sciences not elsewhere classified "
"010505","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory","240201p","Theoretical Physics"
"010505","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory","249999p","Physical Sciences not elsewhere classified "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","230101p","Mathematical Logic, Set Theory, Lattices and Combinatorics "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","230199p","Mathematics not elsewhere classified "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","239999p","Mathematical Sciences not elsewhere classified "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","240201p","Theoretical Physics"
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","240202p","Condensed Matter Physics - Structural Properties "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","240203p","Condensed Matter Physics - Electronic and Magnetic Properties; Superconductivity"
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","240204p","Condensed Matter Physics - Other "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","240503p","Thermodynamics and Statistical Physics "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","249999p","Physical Sciences not elsewhere classified "
"010506","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter","250602p","Statistical Mechanics"
"010599","Mathematical Physics not elsewhere classified","230199p","Mathematics not elsewhere classified "
"010599","Mathematical Physics not elsewhere classified","239999p","Mathematical Sciences not elsewhere classified "
"010599","Mathematical Physics not elsewhere classified","240201p","Theoretical Physics"
"010599","Mathematical Physics not elsewhere classified","249999p","Physical Sciences not elsewhere classified "
"019999","Mathematical Sciences not elsewhere classified ","239904","Theory of Graduation "
"019999","Mathematical Sciences not elsewhere classified ","230107p","Differential, Difference and Integral Equations"
"019999","Mathematical Sciences not elsewhere classified ","239999p","Mathematical Sciences not elsewhere classified "
"020101","Astrobiology","240101p","Astronomy and Astrophysics "
"020102","Astronomical and Space Instrumentation","240101p","Astronomy and Astrophysics "
"020103","Cosmology and Extragalactic Astronomy","240101p","Astronomy and Astrophysics "
"020104","Galactic Astronomy","240101p","Astronomy and Astrophysics "
"020105","General Relativity and Gravitational Waves","240101p","Astronomy and Astrophysics "
