,"Australian Bureau of Statistics Statistics New Zealand",,
"060309","Phylogeny and Comparative Analysis","270501p","Animal Systematics, Taxonomy and Phylogeny "
"060309","Phylogeny and Comparative Analysis","270799p","Ecology and Evolution not elsewhere classified "
"060310","Plant Systematics and Taxonomy","270401p","Plant Systematics, Taxonomy and Phylogeny"
"060311","Speciation and Extinction","270799p","Ecology and Evolution not elsewhere classified "
"060399","Evolutionary Biology not elsewhere classified","270308p","Microbial Systematics, Taxonomy and Phylogeny"
"060399","Evolutionary Biology not elsewhere classified","270799p","Ecology and Evolution not elsewhere classified "
"060401","Anthropological Genetics ","270204","Anthropological Genetics "
"060402","Cell and Nuclear Division","270209","Meiosis and Recombination"
"060403","Developmental Genetics (incl. Sex Determination)","270205","Genetic Development (incl. Sex Determination)"
"060404","Epigenetics (incl. Genome Methylation and Epigenomics)","270299p","Genetics not elsewhere classified"
"060405","Gene Expression (incl. Microarray and other genome-wide approaches)","270201","Gene Expression"
"060405","Gene Expression (incl. Microarray and other genome-wide approaches)","270299p","Genetics not elsewhere classified"
"060406","Genetic Immunology ","270206","Genetic Immunology "
"060407","Genome Structure and Regulation","270202","Genome Structure "
"060407","Genome Structure and Regulation","270299p","Genetics not elsewhere classified"
"060408","Genomics","270299p","Genetics not elsewhere classified"
"060409","Molecular Evolution","270208","Molecular Evolution"
"060410","Neurogenetics","270210","Neurogenetics"
"060411","Population, Ecological and Evolutionary Genetics","270203","Population and Ecological Genetics "
"060411","Population, Ecological and Evolutionary Genetics","270299p","Genetics not elsewhere classified"
"060412","Quantitative Genetics (incl. Disease and Trait Mapping Genetics)","270207","Quantitative Genetics"
"060499","Genetics not elsewhere classified","270299p","Genetics not elsewhere classified"
"060501","Bacteriology ","270301","Bacteriology "
"060502","Infectious Agents","270304","Infectious Agents"
"060503","Microbial Genetics ","270306","Microbial Genetics "
"060504","Microbial Ecology","270307","Microbial Ecology"
"060505","Mycology ","270305","Mycology "
"060506","Virology ","270303","Virology "
"060599","Microbiology not elsewhere classified","270302","Archaebacteriology "
"060599","Microbiology not elsewhere classified","270399","Microbiology not elsewhere classified"
"060601","Animal Physiology - Biophysics ","270601","Animal Physiology - Biophysics "
"060602","Animal Physiology - Cell ","270602","Animal Physiology - Cell "
"060603","Animal Physiology - Systems","270603","Animal Physiology - Systems"
"060604","Comparative Physiology ","270604","Comparative Physiology "
"060699","Physiology not elsewhere classified","270699","Physiology not elsewhere classified"
"060701","Phycology (incl. Marine Grasses)","270404","Phycology"
"060702","Plant Cell and Molecular Biology","270499p","Botany not elsewhere classified"
"060703","Plant Developmental and Reproductive Biology","270499p","Botany not elsewhere classified"
"060704","Plant Pathology","270403","Plant Pathology"
"060705","Plant Physiology ","270402","Plant Physiology "
"060799","Plant Biology not elsewhere classified","270499p","Botany not elsewhere classified"
"060801","Animal Behaviour","270599p","Zoology not elsewhere classified "
"060802","Animal Cell and Molecular Biology","270599p","Zoology not elsewhere classified "
"060803","Animal Developmental and Reproductive Biology","270599p","Zoology not elsewhere classified "
"060804","Animal Immunology","270599p","Zoology not elsewhere classified "
"060805","Animal Neurobiology ","270502","Neurobiology "
"060806","Animal Physiological Ecology","270599p","Zoology not elsewhere classified "
"060807","Animal Structure and Function","270503","Animal Anatomy and Histology "
"060808","Invertebrate Biology ","270504","Invertebrate Biology "
"060809","Vertebrate Biology","270599p","Zoology not elsewhere classified "
"060899","Zoology not elsewhere classified ","270599p","Zoology not elsewhere classified "
"069901","Forensic Biology","279999p","Biological Sciences not elsewhere classified "
"069902","Global Change Biology","279901","Global Change Biology"
"069999","Biological Sciences not elsewhere classified ","279999p","Biological Sciences not elsewhere classified "
"070101","Agricultural Land Management","300902p","Land and Parks Management"
"070102","Agricultural Land Planning","300999p","Land, Parks and Agriculture Management not elsewhere classified"
"070103","Agricultural Production Systems Simulation","300999p","Land, Parks and Agriculture Management not elsewhere classified"
"070104","Agricultural Spatial Analysis and Modelling","300999p","Land, Parks and Agriculture Management not elsewhere classified"
"070105","Agricultural Systems Analysis and Modelling","300999p","Land, Parks and Agriculture Management not elsewhere classified"
"070106","Farm Management, Rural Management and Agribusiness","300901","Farm Management, Rural Management and Agribusiness "
"070107","Farming Systems Research","300999p","Land, Parks and Agriculture Management not elsewhere classified"
"070108","Sustainable Agricultural Development","300903","Sustainable Development"
"070199","Agriculture, Land and Farm Management not elsewhere classified","300999p","Land, Parks and Agriculture Management not elsewhere classified"
"070201","Animal Breeding","300401","Animal Breeding"
"070202","Animal Growth and Development","300406","Animal Growth and Development"
"070203","Animal Management","300404","Animal Husbandry "
"070204","Animal Nutrition ","300403","Animal Nutrition "
"070205","Animal Protection (Pests and Pathogens)","300405","Animal Protection (Pests and Pathogens)"
"070206","Animal Reproduction","300402","Animal Reproduction"
"070207","Humane Animal Treatment","300499p","Animal Production not elsewhere classified "
"070299","Animal Production not elsewhere classified","300499p","Animal Production not elsewhere classified "
"070301","Agro-ecosystem Function and Prediction","300299p","Crop and Pasture Production not elsewhere classified "
"070302","Agronomy ","300205","Agronomy "
"070303","Crop and Pasture Biochemistry and Physiology","300201","Plant Biochemistry and Physiology"
"070304","Crop and Pasture Biomass and Bioproducts","300299p","Crop and Pasture Production not elsewhere classified "
"070305","Crop and Pasture Improvement (Selection and Breeding)","300203p","Plant Improvement (Selection, Breeding and Genetic Engineering)"
"070306","Crop and Pasture Nutrition","300202","Plant Nutrition"
"070307","Crop and Pasture Post Harvest Technologies (incl. Transportation and Storage)","300206","Post Harvest Technologies (Transportation and Storage) "
"070308","Crop and Pasture Protection (Pests, Diseases and Weeds)","300204","Plant Protection (Pests, Diseases and Weeds) "
"070399","Crop and Pasture Production not elsewhere classified","300299p","Crop and Pasture Production not elsewhere classified "
"070401","Aquaculture","300703","Aquaculture"
"070402","Aquatic Ecosystem Studies and Stock Assessment","300704","Ecosystem Studies and Stock Assessment "
"070403","Fisheries Management","300705","Evaluation of Management Strategies"
"070403","Fisheries Management","300799p","Fisheries Sciences not elsewhere classified"
"070404","Fish Pests and Diseases","300702","Pests and Diseases "
"070405","Fish Physiology and Genetics","300701","Physiology and Genetics"
"070406","Post-Harvest Fisheries Technologies (incl. Transportation)","300799p","Fisheries Sciences not elsewhere classified"
"070499","Fisheries Sciences not elsewhere classified","300799p","Fisheries Sciences not elsewhere classified"
"070501","Agroforestry ","300606","Agroforestry "
"070502","Forestry Biomass and Bioproducts","300699p","Forestry Sciences not elsewhere classified "
"070503","Forestry Fire Management","300605","Fire Management"
"070504","Forestry Management and Environment","300604","Management and Environment "
"070505","Forestry Pests, Health and Diseases","300603","Pests, Health and Diseases "
"070506","Forestry Product Quality Assessment","300699p","Forestry Sciences not elsewhere classified "
"070507","Tree Improvement (Selection and Breeding) ","300602p","Tree Improvement (Selection, Breeding and Genetic Engineering) "
"070508","Tree Nutrition and Physiology","300601","Nutrition and Physiology "
"070509","Wood Fibre Processing","300699p","Forestry Sciences not elsewhere classified "
"070510","Wood Processing","300699p","Forestry Sciences not elsewhere classified "
"070599","Forestry Sciences not elsewhere classified","300699p","Forestry Sciences not elsewhere classified "
"070601","Horticultural Crop Growth and Development","300302","Plant Growth and Development "
"070602","Horticultural Crop Improvement (Selection and Breeding)","300301p","Plant Improvement (Selection, Breeding and Genetic Engineering)"
"070603","Horticultural Crop Protection (Pests, Diseases and Weeds)","300303","Plant Protection (Pests, Diseases and Weeds) "
"070604","Oenology and Viticulture ","300305","Oenology and Viticulture "
"070605","Post Harvest Horticultural Technologies (incl. Transportation and Storage)","300304","Post Harvest Technologies"
"070699","Horticultural Production not elsewhere classified","300399","Horticulture not elsewhere classified"
"070701","Veterinary Anaesthesiology and Intensive Care","300502","Anaesthesiology and Intensive Care"
"070702","Veterinary Anatomy and Physiology ","300505","Anatomy and Physiology "
"070703","Veterinary Diagnosis and Diagnostics","300599p","Veterinary Sciences not elsewhere classified "
"070704","Veterinary Epidemiology","300503","Epidemiology "
"070705","Veterinary Immunology","300504","Immunology "
"070706","Veterinary Medicine","300501","Veterinary Medicine"
"070707","Veterinary Microbiology (excl. Virology)","300507","Microbiology (excl. Virology)"
"070708","Veterinary Parasitology","300508","Parasitology "
"070709","Veterinary Pathology","300506","Pathology"
"070710","Veterinary Pharmacology","300512","Pharmacology "
"070711","Veterinary Surgery","300511","Surgery"
"070712","Veterinary Virology","300510","Virology "
"070799","Veterinary Sciences not elsewhere classified","300509","Radiology and Imaging"
"070799","Veterinary Sciences not elsewhere classified","300599p","Veterinary Sciences not elsewhere classified "
"079901","Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)","300105","Applied Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)"
"079902","Fertilisers and Agrochemicals (incl. Application) ","309901","Fertilisers and Agrochemicals (Application etc.) "
"079999","Agricultural and Veterinary Sciences not elsewhere classified","309999p","Agricultural, Veterinary and Environmental Sciences not elsewhere classified"
"080101","Adaptive Agents and Intelligent Robotics","280209","Intelligent Robotics "
"080101","Adaptive Agents and Intelligent Robotics","280213p","Other Artificial Intelligence"
"080102","Artificial Life","280213p","Other Artificial Intelligence"
"080103","Computer Graphics","280202","Computer Graphics"
"080104","Computer Vision","280208","Computer Vision"
"080105","Expert Systems ","280201","Expert Systems "
"080106","Image Processing ","280203","Image Processing "
"080107","Natural Language Processing","280205","Text Processing"
"080107","Natural Language Processing","280206","Speech Recognition "
"080108","Neural, Evolutionary and Fuzzy Computation","280212","Neural Networks, Genetic Algorithms and Fuzzy Logic"
"080109","Pattern Recognition and Data Mining","280207","Pattern Recognition"
"080109","Pattern Recognition and Data Mining","280213p","Other Artificial Intelligence"
"080110","Simulation and Modelling ","280210","Simulation and Modelling "
"080111","Virtual Reality and Related Simulation ","280211","Virtual Reality and Related Simulation "
"080199","Artificial Intelligence and Image Processing not elsewhere classified","280213p","Other Artificial Intelligence"
"080201","Analysis of Algorithms and Complexity","280401","Analysis of Algorithms and Complexity"
"080202","Applied Discrete Mathematics ","280405p","Discrete Mathematics "
"080203","Computational Logic and Formal Languages","280402","Mathematical Logic and Formal Languages"
"080204","Mathematical Software","280406","Mathematical Software"
"080205","Numerical Computation","280404p","Numerical Analysis "
"080299","Computation Theory and Mathematics not elsewhere classified","280403","Logics and Meanings of Programs"
"080299","Computation Theory and Mathematics not elsewhere classified","280499","Computation Theory and Mathematics not elsewhere classified"
"080301","Bioinformatics Software","280399p","Computer Software not elsewhere classified "
"080302","Computer System Architecture","280399p","Computer Software not elsewhere classified "
"080303","Computer System Security","280399p","Computer Software not elsewhere classified "
"080304","Concurrent Programming","280399p","Computer Software not elsewhere classified "
"080305","Multimedia Programming ","280305","Multimedia Programming "
"080306","Open Software","280399p","Computer Software not elsewhere classified "
"080307","Operating Systems","280304","Operating Systems"
"080308","Programming Languages","280303","Programming Languages"
"080309","Software Engineering ","280302","Software Engineering "
"080399","Computer Software not elsewhere classified ","280301","Programming Techniques "
"080399","Computer Software not elsewhere classified ","280399p","Computer Software not elsewhere classified "
"080401","Coding and Information Theory","280506","Coding and Information Theory"
"080402","Data Encryption","280504","Data Encryption"
"080403","Data Structures","280501","Data Structures"
"080404","Markup Languages","280599p","Data Format not elsewhere classified "
"080499","Data Format not elsewhere classified ","280502","Data Storage Representations "
"080499","Data Format not elsewhere classified ","280503","Files"
"080499","Data Format not elsewhere classified ","280505","Data Security"
"080499","Data Format not elsewhere classified ","280599p","Data Format not elsewhere classified "
"080501","Distributed and Grid Systems","289999p","Other Information, Computing and Communication Sciences"
"080502","Mobile Technologies","289999p","Other Information, Computing and Communication Sciences"
"080503","Networking and Communications","289999p","Other Information, Computing and Communication Sciences"
"080504","Ubiquitous Computing","289999p","Other Information, Computing and Communication Sciences"
"080505","Web Technologies (excl. Web Search)","289999p","Other Information, Computing and Communication Sciences"
"080599","Distributed Computing not elsewhere classified","289999p","Other Information, Computing and Communication Sciences"
"080601","Aboriginal and Torres Strait Islander Information and Knowledge Systems","280199p","Information Systems not elsewhere classified "
"080602","Computer-Human Interaction ","280104","Computer-Human Interaction "
"080603","Conceptual Modelling ","280111","Conceptual Modelling "
"080604","Database Management","280108","Database Management"
"080605","Decision Support and Group Support Systems ","280109","Decision Support and Group Support Systems "
"080606","Global Information Systems ","280107","Global Information Systems "
"080607","Information Engineering and Theory","280199p","Information Systems not elsewhere classified "
"080608","Information Systems Development Methodologies","280112","Information Systems Development Methodologies"
"080609","Information Systems Management ","280102","Information Systems Management "
"080610","Information Systems Organisation ","280101","Information Systems Organisation "
"080611","Information Systems Theory ","280110","Systems Theory "
"080612","Interorganisational Information Systems and Web Services","280106","Interorganisational Information Systems"
"080612","Interorganisational Information Systems and Web Services","280199p","Information Systems not elsewhere classified "
"080613","Māori Information and Knowledge Systems","280199p","Information Systems not elsewhere classified "
"080614","Pacific Peoples Information and Knowledge Systems","280199p","Information Systems not elsewhere classified "
"080699","Information Systems not elsewhere classified ","280105","Interfaces and Presentation (excl. Computer-Human Interaction) "
"080699","Information Systems not elsewhere classified ","280199p","Information Systems not elsewhere classified "
"080701","Aboriginal and Torres Strait Islander Knowledge Management","289999p","Other Information, Computing and Communication Sciences"
"080702","Health Informatics","289999p","Other Information, Computing and Communication Sciences"
"080703","Human Information Behaviour","289999p","Other Information, Computing and Communication Sciences"
"080704","Information Retrieval and Web Search","280103p","Information Storage, Retrieval and Management"
"080705","Informetrics","289999p","Other Information, Computing and Communication Sciences"
"080706","Librarianship","400201","Librarianship"
"080707","Organisation of Information and Knowledge Resources","289999p","Other Information, Computing and Communication Sciences"
"080708","Records and Information Management (excl. Business Records and Information Management)","280103p","Information Storage, Retrieval and Management"
"080709","Social and Community Informatics","289999p","Other Information, Computing and Communication Sciences"
"080799","Library and Information Studies not elsewhere classified","289999p","Other Information, Computing and Communication Sciences"
"089999","Information and Computing Sciences not elsewhere classified","289999p","Other Information, Computing and Communication Sciences"
"089999","Information and Computing Sciences not elsewhere classified","409999p","Other Journalism, Librarianship and Curatorial Studies"
"090101","Aerodynamics (excl. Hypersonic Aerodynamics) ","290201p","Aerodynamics "
"090102","Aerospace Materials","290299p","Aerospace Engineering not elsewhere classified"
"090103","Aerospace Structures ","290203","Aerospace Structures "
"090104","Aircraft Performance and Flight Control Systems","290204","Aircraft Performance "
"090104","Aircraft Performance and Flight Control Systems","290205","Flight Control Systems "
"090105","Avionics","290299p","Aerospace Engineering not elsewhere classified"
"090106","Flight Dynamics","290202","Flight Dynamics"
"090107","Hypersonic Propulsion and Hypersonic Aerodynamics","290201p","Aerodynamics "
"090108","Satellite, Space Vehicle and Missile Design and Testing","290207","Satellite, Space Vehicle and Missile Design"
"090108","Satellite, Space Vehicle and Missile Design and Testing","290299p","Aerospace Engineering not elsewhere classified"
"090199","Aerospace Engineering not elsewhere classified","290206","Aerospace Electrical Systems "
"090199","Aerospace Engineering not elsewhere classified","290299p","Aerospace Engineering not elsewhere classified"
"090201","Automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)","299902p","Combustion and Fuel Engineering"
"090202","Automotive Engineering Materials ","290401p","Automotive Engineering"
"090203","Automotive Mechatronics","290301p","Robotics and Mechatronics"
"090203","Automotive Mechatronics","290401p","Automotive Engineering"
"090204","Automotive Safety Engineering","290401p","Automotive Engineering"
"090205","Hybrid Vehicles and Powertrains","290401p","Automotive Engineering"
"090299","Automotive Engineering not elsewhere classified","290401p","Automotive Engineering"
"090301","Biomaterials ","291503","Biomaterials "
"090302","Biomechanical Engineering","291504","Biomechanical Engineering"
"090303","Biomedical Instrumentation","291501p","Clinical Engineering "
"090304","Medical Devices","291501p","Clinical Engineering "
"090305","Rehabilitation Engineering ","291502","Rehabilitation Engineering "
"090399","Biomedical Engineering not elsewhere classified","291599","Biomedical Engineering not elsewhere classified"
"090401","Carbon Capture Engineering (excl. Sequestration)","290699p","Chemical Engineering not elsewhere classified"
"090402","Catalytic Process Engineering","290699p","Chemical Engineering not elsewhere classified"
"090403","Chemical Engineering Design","290601","Chemical Engineering Design"
"090405","Non-automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)","299902p","Combustion and Fuel Engineering"
"090404","Membrane and Separation Technologies","290603","Membrane and Separation Technologies"
"090406","Powder and Particle Technology","290699p","Chemical Engineering not elsewhere classified"
"090407","Process Control and Simulation ","290602","Process Control and Simulation "
"090408","Rheology","290699p","Chemical Engineering not elsewhere classified"
"090409","Wastewater Treatment Processes","290699p","Chemical Engineering not elsewhere classified"
"090410","Water Treatment Processes","290699p","Chemical Engineering not elsewhere classified"
"090499","Chemical Engineering not elsewhere classified","290699p","Chemical Engineering not elsewhere classified"
"090501","Civil Geotechnical Engineering ","290805p","Geotechnical Engineering "
"090502","Construction Engineering ","290804","Construction Engineering "
"090503","Construction Materials","290899p","Civil Engineering not elsewhere classified "
"090504","Earthquake Engineering","290899p","Civil Engineering not elsewhere classified "
"090505","Infrastructure Engineering and Asset Management","290899p","Civil Engineering not elsewhere classified "
"090506","Structural Engineering ","290801","Structural Engineering "
"090507","Transport Engineering","290803","Transport Engineering"
"090508","Water Quality Engineering","290802p","Water and Sanitary Engineering "
"090509","Water Resources Engineering ","290802p","Water and Sanitary Engineering "
"090599","Civil Engineering not elsewhere classified ","290899p","Civil Engineering not elsewhere classified "
"090601","Circuits and Systems","290902p","Integrated Circuits"
"090601","Circuits and Systems","290903p","Other Electronic Engineering "
"090602","Control Systems, Robotics and Automation","290301p","Robotics and Mechatronics"
"090602","Control Systems, Robotics and Automation","290901p","Electrical Engineering "
"090603","Industrial Electronics","290902p","Integrated Circuits"
"090603","Industrial Electronics","290903p","Other Electronic Engineering "
"090604","Microelectronics and Integrated Circuits","290902p","Integrated Circuits"
"090605","Photodetectors, Optical Sensors and Solar Cells","290901p","Electrical Engineering "
"090606","Photonics and Electro-Optical Engineering (excl. Communications)","290901p","Electrical Engineering "
"090607","Power and Energy Systems Engineering (excl. Renewable Power)","290901p","Electrical Engineering "
"090608","Renewable Power and Energy Systems Engineering (excl. Solar Cells)","290901p","Electrical Engineering "
"090609","Signal Processing","280204","Signal Processing"
"090699","Electrical and Electronic Engineering not elsewhere classified","290903p","Other Electronic Engineering "
"090701","Environmental Engineering Design ","291103","Environmental Engineering Design "
"090702","Environmental Engineering Modelling","291101","Environmental Engineering Modelling"
"090703","Environmental Technologies ","291104","Environmental Technologies "
"090799","Environmental Engineering not elsewhere classified","291199","Environmental Engineering not elsewhere classified"
"090801","Food Chemistry and Molecular Gastronomy (excl. Wine)","290104p","Other Food Sciences"
"090802","Food Engineering ","290102","Food Engineering "
"090803","Food Nutritional Balance","290104p","Other Food Sciences"
"090804","Food Packaging, Preservation and Safety","290104p","Other Food Sciences"
"090805","Food Processing","290103","Food Processing"
"090806","Wine Chemistry and Wine Sensory Science","290104p","Other Food Sciences"
"090899","Food Sciences not elsewhere classified","290104p","Other Food Sciences"
"090901","Cartography","291006","Cartography"
"090902","Geodesy","291001","Geodesy"
"090903","Geospatial Information Systems","291004","Spatial Information Systems"
"090904","Navigation and Position Fixing ","291005","Navigation and Position Fixing "
"090905","Photogrammetry and Remote Sensing","291003","Photogrammetry and Remote Sensing"
"090906","Surveying (incl. Hydrographic Surveying)","291002","Surveying"
"090906","Surveying (incl. Hydrographic Surveying)","291099p","Geomatic Engineering not elsewhere classified"
"090999","Geomatic Engineering not elsewhere classified","291099p","Geomatic Engineering not elsewhere classified"
"091001","CAD/CAM Systems","290303","CAD/CAM Systems"
"091002","Flexible Manufacturing Systems ","290302","Flexible Manufacturing Systems "
"091003","Machine Tools","290399p","Manufacturing Engineering not elsewhere classified"
"091004","Machining","290399p","Manufacturing Engineering not elsewhere classified"
"091005","Manufacturing Management","290399p","Manufacturing Engineering not elsewhere classified"
"091006","Manufacturing Processes and Technologies (excl. Textiles)","290305","Welding Technology "
"091006","Manufacturing Processes and Technologies (excl. Textiles)","290307","Printing Technology"
"091007","Manufacturing Robotics and Mechatronics (excl. Automotive Mechatronics)","290301p","Robotics and Mechatronics"
"091008","Manufacturing Safety and Quality ","290309","Safety and Quality "
"091009","Microtechnology","290399p","Manufacturing Engineering not elsewhere classified"
"091010","Packaging, Storage and Transportation (excl. Food and Agricultural Products)","290308","Packaging, Storage and Transportation"
"091011","Precision Engineering","290399p","Manufacturing Engineering not elsewhere classified"
"091012","Textile Technology ","290306","Textile Technology "
"091099","Manufacturing Engineering not elsewhere classified","290399p","Manufacturing Engineering not elsewhere classified"
"091101","Marine Engineering ","291204","Marine Engineering "
"091102","Naval Architecture ","291201","Naval Architecture "
"091103","Ocean Engineering","291205","Ocean Engineering"
"091104","Ship and Platform Hydrodynamics","291202","Ship and Platform Hydrodynamics"
"091105","Ship and Platform Structures ","291203","Ship and Platform Structures "
"091106","Special Vehicles ","291206","Special Vehicles "
"091199","Maritime Engineering not elsewhere classified","291299","Maritime Engineering not elsewhere classified"
"091201","Ceramics ","291404","Ceramics "
"091202","Composite and Hybrid Materials","291402","Composite Materials"
"091202","Composite and Hybrid Materials","291499p","Materials Engineering not elsewhere classified "
"091203","Compound Semiconductors","291499p","Materials Engineering not elsewhere classified "
"091204","Elemental Semiconductors","291499p","Materials Engineering not elsewhere classified "
"091205","Functional Materials","291499p","Materials Engineering not elsewhere classified "
"091206","Glass","291499p","Materials Engineering not elsewhere classified "
"091207","Metals and Alloy Materials","291302","Physical Metallurgy"
"091207","Metals and Alloy Materials","291403","Alloy Materials"
"091208","Organic Semiconductors","291499p","Materials Engineering not elsewhere classified "
"091209","Polymers and Plastics","291401","Polymers "
"091209","Polymers and Plastics","291407","Plastics "
"091210","Timber, Pulp and Paper","291405","Timber "
"091210","Timber, Pulp and Paper","291406","Pulp and Paper "
"091299","Materials Engineering not elsewhere classified ","291499p","Materials Engineering not elsewhere classified "
"091301","Acoustics and Noise Control (excl. Architectural Acoustics)","290501p","Mechanical Engineering "
"091301","Acoustics and Noise Control (excl. Architectural Acoustics)","290502p","Industrial Engineering "
"091302","Automation and Control Engineering","290304","Control Engineering"
"091302","Automation and Control Engineering","290501p","Mechanical Engineering "
"091302","Automation and Control Engineering","290502p","Industrial Engineering "
"091303","Autonomous Vehicles","290501p","Mechanical Engineering "
"091303","Autonomous Vehicles","290502p","Industrial Engineering "
"091304","Dynamics, Vibration and Vibration Control","290501p","Mechanical Engineering "
"091304","Dynamics, Vibration and Vibration Control","290502p","Industrial Engineering "
"091305","Energy Generation, Conversion and Storage Engineering","290501p","Mechanical Engineering "
"091305","Energy Generation, Conversion and Storage Engineering","290502p","Industrial Engineering "
"091306","Microelectromechanical Systems (MEMS)","290501p","Mechanical Engineering "
"091306","Microelectromechanical Systems (MEMS)","290502p","Industrial Engineering "
"091307","Numerical Modelling and Mechanical Characterisation","290501p","Mechanical Engineering "
"091307","Numerical Modelling and Mechanical Characterisation","290502p","Industrial Engineering "
"091308","Solid Mechanics","290501p","Mechanical Engineering "
"091308","Solid Mechanics","290502p","Industrial Engineering "
"091309","Tribology","290501p","Mechanical Engineering "
"091309","Tribology","290502p","Industrial Engineering "
"091399","Mechanical Engineering not elsewhere classified","290501p","Mechanical Engineering "
"091399","Mechanical Engineering not elsewhere classified","290502p","Industrial Engineering "
"091401","Electrometallurgy","291301p","Process Metallurgy "
"091402","Geomechanics and Resources Geotechnical Engineering ","290704","Geomechanics "
"091402","Geomechanics and Resources Geotechnical Engineering ","290805p","Geotechnical Engineering "
"091403","Hydrometallurgy","291301p","Process Metallurgy "
"091404","Mineral Processing/Beneficiation","290702","Mineral Processing "
"091405","Mining Engineering ","290701","Mining Engineering "
"091406","Petroleum and Reservoir Engineering","290703","Petroleum and Reservoir Engineering"
"091407","Pyrometallurgy","291301p","Process Metallurgy "
"091499","Resources Engineering and Extractive Metallurgy not elsewhere classified","290799","Resources Engineering not elsewhere classified"
"091501","Computational Fluid Dynamics","291899p","Interdisciplinary Engineering not elsewhere classified"
"091502","Computational Heat Transfer","291899p","Interdisciplinary Engineering not elsewhere classified"
"091503","Engineering Practice","291899p","Interdisciplinary Engineering not elsewhere classified"
"091504","Fluidisation and Fluid Mechanics ","291801","Fluidization and Fluid Mechanics "
"091505","Heat and Mass Transfer Operations","291802","Heat and Mass Transfer Operations"
"091506","Nuclear Engineering (incl. Fuel Enrichment and Waste Processing and Storage)","291899p","Interdisciplinary Engineering not elsewhere classified"
"091507","Risk Engineering (excl. Earthquake Engineering)","291899p","Interdisciplinary Engineering not elsewhere classified"
"091508","Turbulent Flows","291803","Turbulent Flows"
"091599","Interdisciplinary Engineering not elsewhere classified ","291899p","Interdisciplinary Engineering not elsewhere classified"
"099901","Agricultural Engineering ","299901","Agricultural Engineering "
"099902","Engineering Instrumentation ","299904p","Engineering/Technology Instrumentation "
"099999","Engineering not elsewhere classified","299999p","Engineering and Technology not elsewhere classified"
"100101","Agricultural Biotechnology Diagnostics (incl. Biosensors)","250405p","Sensor (Chemical and Bio-) Technology"
"100101","Agricultural Biotechnology Diagnostics (incl. Biosensors)","270802p","Diagnostic Applications"
"100101","Agricultural Biotechnology Diagnostics (incl. Biosensors)","299903p","Biosensor Technologies"
"100102","Agricultural Marine Biotechnology","270899p","Biotechnology not elsewhere classified "
"100103","Agricultural Molecular Engineering of Nucleic Acids and Proteins","270804p","Genetic Technologies: Transformation, Site-directed Mutagenesis, etc."
"100103","Agricultural Molecular Engineering of Nucleic Acids and Proteins","270899p","Biotechnology not elsewhere classified "
"100104","Genetically Modified Animals","270805p","Genetic Engineering and Enzyme Technology"
"100104","Genetically Modified Animals","270899p","Biotechnology not elsewhere classified "
"100104","Genetically Modified Animals","300499p","Animal Production not elsewhere classified "
"100105","Genetically Modified Field Crops and Pasture","270805p","Genetic Engineering and Enzyme Technology"
"100105","Genetically Modified Field Crops and Pasture","300203p","Plant Improvement (Selection, Breeding and Genetic Engineering)"
"100106","Genetically Modified Horticulture Plants","270805p","Genetic Engineering and Enzyme Technology"
"100106","Genetically Modified Horticulture Plants","300301p","Plant Improvement (Selection, Breeding and Genetic Engineering)"
"100107","Genetically Modified Trees","270805p","Genetic Engineering and Enzyme Technology"
"100107","Genetically Modified Trees","300602p","Tree Improvement (Selection, Breeding and Genetic Engineering) "
"100108","Livestock cloning","270899p","Biotechnology not elsewhere classified "
"100108","Livestock cloning","300499p","Animal Production not elsewhere classified "
"100109","Transgenesis ","270803","Transgenesis "
"100199","Agricultural Biotechnology not elsewhere classified","270899p","Biotechnology not elsewhere classified "
"100201","Biodiscovery","270899p","Biotechnology not elsewhere classified "
"100202","Biological Control","270899p","Biotechnology not elsewhere classified "
"100203","Bioremediation","291102","Bio-remediation"
"100204","Environmental Biotechnology Diagnostics (incl. Biosensors)","250405p","Sensor (Chemical and Bio-) Technology"
"100204","Environmental Biotechnology Diagnostics (incl. Biosensors)","270802p","Diagnostic Applications"
"100204","Environmental Biotechnology Diagnostics (incl. Biosensors)","299903p","Biosensor Technologies"
"100205","Environmental Marine Biotechnology","270899p","Biotechnology not elsewhere classified "
"100206","Environmental Molecular Engineering of Nucleic Acids and Proteins","270804p","Genetic Technologies: Transformation, Site-directed Mutagenesis, etc."
"100206","Environmental Molecular Engineering of Nucleic Acids and Proteins","270899p","Biotechnology not elsewhere classified "
"100299","Environmental Biotechnology not elsewhere classified","270899p","Biotechnology not elsewhere classified "
"100301","Biocatalysis and Enzyme Technology","270805p","Genetic Engineering and Enzyme Technology"
"100301","Biocatalysis and Enzyme Technology","290105p","Other Industrial Biotechnology "
"100302","Bioprocessing, Bioproduction and Bioproducts","290101p","Fermentation, Biotechnology and Industrial Microbiology"
"100302","Bioprocessing, Bioproduction and Bioproducts","290105p","Other Industrial Biotechnology "
"100303","Fermentation","290101p","Fermentation, Biotechnology and Industrial Microbiology"
"100304","Industrial Biotechnology Diagnostics (incl. Biosensors)","250405p","Sensor (Chemical and Bio-) Technology"
