,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"860101","Bakery Products","670107p","Grain Mill Products, Starch and Starch Products (incl. Sugar, Bakery Products)"
"860102","Beverages (excl. Fruit Juices)",670108,"Beverages (e.g. Alcohol, Wines, Soft Drinks, excl. Fruit Juices)"
"860103","Carcass Meat (incl. Fish and Seafood)",670101,"Carcass Meat"
"860104","Flour Mill and Cereal Food","670107p","Grain Mill Products, Starch and Starch Products (incl. Sugar, Bakery Products)"
"860105","Nutraceuticals and Functional foods","670199p","Processed Food Products and Beverages not elsewhere classified"
"860106","Oils and Fats (incl. Margarines)",670106,"Oils and Fats (incl. Margarines)"
"860107","Processed Fish and Seafood Products",670103,"Fish Products"
"860108","Processed Fruit and Vegetable Products (incl. Fruit Juices)",670104,"Fruit and Vegetable Products (incl. Fruit Juices)"
"860109","Processed Meat Products",670102,"Meat Products"
"860110","Soy Products","670199p","Processed Food Products and Beverages not elsewhere classified"
"860111","Sugar and Confectionery Products","670107p","Grain Mill Products, Starch and Starch Products (incl. Sugar, Bakery Products)"
"860199","Processed Food Products and Beverages (excl. Dairy Products) not elsewhere classified","670199p","Processed Food Products and Beverages not elsewhere classified"
"860201","Butter and Milk-Derived Fats and Oils (excl. Cream)","670105p","Dairy Products"
"860202","Casein","670105p","Dairy Products"
"860203","Cheese","670105p","Dairy Products"
"860204","Processed Milk and Cream (incl. Powder, Evaporated and Condensed)","670105p","Dairy Products"
"860205","Whey","670105p","Dairy Products"
"860299","Dairy Products not elsewhere classified","670105p","Dairy Products"
"860301","Essential Oils (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)","671699p","Manufactured Products not elsewhere classified"
"860302","Organic Fertilisers","671699p","Manufactured Products not elsewhere classified"
"860303","Plant Extracts (e.g. Pyrethrum, Alkaloids, Jojoba Oil)","671699p","Manufactured Products not elsewhere classified"
"860304","Prepared Animal Feed","671699p","Manufactured Products not elsewhere classified"
"860399","Processed Non-Food Agricultural Products (excl. Wood, Paper and Fibre) not elsewhere classified",671601,"Tobacco Products"
"860399","Processed Non-Food Agricultural Products (excl. Wood, Paper and Fibre) not elsewhere classified","671699p","Manufactured Products not elsewhere classified"
"860401","Clothing",670207,"Clothing"
"860402","Cotton Ginning",670201,"Cotton Ginning"
"860403","Natural Fibres, Yarns and Fabrics",670203,"Natural Fibres, Yarns and Fabrics"
"860404","Non-Fabric Textiles (e.g. Felt)","670205p","Other Fibre Processing and Textiles"
"860405","Processed Skins, Leather and Leather Products",670206,"Processed Skins, Leather and Leather Products not elsewhere classified"
"860406","Synthetic Fibres, Yarns and Fabrics",670204,"Synthetic Fibres, Yarns and Fabrics"
"860407","Wool Scouring and Top Making",670202,"Wool Scouring and Top Making"
"860499","Leather Products, Fibre Processing and Textiles not elsewhere classified","670205p","Other Fibre Processing and Textiles"
"860499","Leather Products, Fibre Processing and Textiles not elsewhere classified",670208,"Footwear"
"860499","Leather Products, Fibre Processing and Textiles not elsewhere classified",670299,"Other"
"860501","Paper Products (incl. Coated Paper)",670307,"Paper Products"
"860501","Paper Products (incl. Coated Paper)","670399p","Other"
"860502","Printing and Publishing Processes",670308,"Printing and Publishing Processes"
"860503","Pulp and Paper",670303,"Pulp and Paper"
"860504","Reconstituted Timber Products (e.g. Chipboard, Particleboard)",670304,"Reconstituted Timber Products (e.g. Chipboard, Particleboard)"
"860505","Wood Sawing and Veneer",670301,"Hardwood Sawing and Veneer"
"860505","Wood Sawing and Veneer",670302,"Softwood Sawing and Veneer"
"860599","Wood, Wood Products and Paper not elsewhere classified",670305,"Woodchips"
"860599","Wood, Wood Products and Paper not elsewhere classified",670306,"Wood Products not elsewhere classified"
"860599","Wood, Wood Products and Paper not elsewhere classified","670399p","Other"
"860601","Industrial Gases",670701,"Industrial Gases"
"860602","Inorganic Industrial Chemicals",670707,"Inorganic Industrial Chemicals"
"860603","Lubricants",670711,"Lubricants"
"860604","Organic Industrial Chemicals (excl. Resins, Rubber and Plastics)",670706,"Organic Industrial Chemicals not elsewhere classified"
"860605","Paints",670708,"Paints"
"860606","Plastics in Primary Forms",670704,"Plastics in Primary Forms"
"860607","Plastic Products (incl. Construction Materials)",670705,"Plastic Products (incl. Construction Materials)"
"860609","Soaps and Cosmetics",670709,"Soaps and Cosmetics"
"860608","Rubber and Synthetic Resins",670702,"Synthetic Resins and Rubber"
"860608","Rubber and Synthetic Resins",670703,"Rubber Products"
"860699","Industrial Chemicals and Related Products not elsewhere classified",670710,"Bituminous Products"
"860699","Industrial Chemicals and Related Products not elsewhere classified",670799,"Other"
"860701","Animal Protection Chemicals","670602p","Crop and Animal Protection Chemicals"
"860702","Chemical Fertilisers",670601,"Chemical Fertilisers"
"860703","Crop Protection Chemicals","670602p","Crop and Animal Protection Chemicals"
"860799","Agricultural Chemicals not elsewhere classified",670699,"Agricultural Chemicals not elsewhere classified"
"860801","Human Biological Preventatives (e.g. Vaccines)",670401,"Prevention - Biologicals (e.g. Vaccines)"
"860802","Human Diagnostics",670402,"Diagnostics"
"860803","Human Pharmaceutical Treatments (e.g. Antibiotics)",670403,"Treatments (e.g. Chemicals, Antibiotics)"
"860899","Human Pharmaceutical Products not elsewhere classified",670499,"Other"
"860901","Veterinary Biological Preventatives (e.g. Vaccines)",670501,"Prevention - Biologicals (e.g. Vaccines)"
"860902","Veterinary Diagnostics",670502,"Diagnostics"
"860903","Veterinary Pharmaceutical Treatments (e.g. Antibiotics)",670503,"Treatments (e.g. Chemicals, Antibiotics)"
"860999","Veterinary Pharmaceutical Products not elsewhere classified",670599,"Other (incl. Production Enhancement)"
"861001","Cement Products and Concrete Materials",670904,"Cement and Concrete Materials"
"861002","Ceramics",670901,"Ceramics"
"861003","Clay Products",670903,"Clay Products"
"861004","Plaster and Plaster Products","670999p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"861005","Structural Glass and Glass Products",670902,"Structural Glass and Glass Products"
"861099","Ceramics, Glass and Industrial Mineral Products not elsewhere classified","670999p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"861101","Basic Aluminium Products",670802,"Aluminium"
"861102","Basic Copper Products","670899p","Other Non-Ferrous Metals (e.g. Copper, Zinc)"
"861103","Basic Iron and Steel Products",670801,"Iron and Steel (e.g. Ingots, Bars, Rods, Shapes and Sections)"
"861104","Basic Precious Metal Products",670803,"Precious Metals (e.g. Refined Bullion, Wire and Strip)"
"861105","Basic Zinc Products","670899p","Other Non-Ferrous Metals (e.g. Copper, Zinc)"
"861199","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding) not elsewhere classified","670899p","Other Non-Ferrous Metals (e.g. Copper, Zinc)"
"861201","Coated Metal and Metal-Coated Products","671099p","Fabricated Metal Products not elsewhere classified"
"861202","Machined Metal Products",671005,"Machined Products"
"861203","Metal Castings",671004,"Castings"
"861204","Semi-Finished Metal Products",671003,"Semi-Finished Metal Products"
"861205","Sheet Metal Products",671002,"Sheet Metal Products"
"861206","Structural Metal Products",671001,"Structural Metal Products"
"861299","Fabricated Metal Products not elsewhere classified","671099p","Fabricated Metal Products not elsewhere classified"
"861301","Aerospace Equipment",671104,"Aerospace Equipment"
"861302","Automotive Equipment",671101,"Automotive Equipment"
"861303","Nautical Equipment (excl. Yachts)","671103p","Nautical Equipment"
"861304","Rail Equipment",671102,"Rail Equipment"
"861305","Yachts","671103p","Nautical Equipment"
"861399","Transport Equipment not elsewhere classified",671199,"Transport Equipment not elsewhere classified"
"861401","Agricultural Machinery and Equipment",671501,"Agricultural Machinery and Equipment"
"861402","Appliances and Electrical Machinery and Equipment",671503,"Appliances and Electrical Machinery and Equipment"
"861403","Industrial Machinery and Equipment",671504,"Industrial Machinery and Equipment"
"861404","Mining Machinery and Equipment",671502,"Mining Machinery and Equipment"
"861499","Machinery and Equipment not elsewhere classified",671505,"Construction Machinery and Equipment"
"861499","Machinery and Equipment not elsewhere classified",671599,"Machinery and Equipment not elsewhere classified"
"861501","Industrial Instruments",671403,"Industrial Instrumentation"
"861502","Medical Instruments",671402,"Medical Instrumentation"
"861503","Scientific Instruments",671401,"Scientific Instrumentation"
"861599","Instrumentation not elsewhere classified",671404,"Photographic Equipment"
"861599","Instrumentation not elsewhere classified",671499,"Instrumentation not elsewhere classified"
"861601","Computer and Electronic Office Equipment",671204,"Electronic Office Equipment"
"861601","Computer and Electronic Office Equipment",671205,"Computer Equipment"
"861602","Consumer Electronic Equipment (excl. Communication Equipment)","671299p","Computer Hardware and Electronic Equipment not elsewhere classified"
"861603","Integrated Circuits and Devices",671201,"Integrated Circuits and Devices"
"861604","Integrated Systems",671206,"Integrated Systems"
"861605","Processor Modules",671202,"Modules - Special and Attached Processors"
"861605","Processor Modules",671203,"Modules - Other Processes"
"861606","Satellite Navigation Equipment","671299p","Computer Hardware and Electronic Equipment not elsewhere classified"
"861699","Computer Hardware and Electronic Equipment not elsewhere classified","671299p","Computer Hardware and Electronic Equipment not elsewhere classified"
"861701","Network Infrastructure Equipment",671305,"Network Transmission Equipment"
"861701","Network Infrastructure Equipment",671306,"Network Switching Equipment"
"861702","Telemetry Equipment","671399p","Communication Equipment not elsewhere classified"
"861703","Voice and Data Equipment",671303,"Voice Equipment"
"861703","Voice and Data Equipment",671304,"Data, Image and Text Equipment"
"861799","Communication Equipment not elsewhere classified",671301,"Broadcasting Equipment"
"861799","Communication Equipment not elsewhere classified",671302,"Postal Equipment"
"861799","Communication Equipment not elsewhere classified","671399p","Communication Equipment not elsewhere classified"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671701p","Processed Food Products and Beverages"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671702p","Fibre Processing and Textiles; Footwear and Leather Products"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671703p","Wood, Wood Products and Paper"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671704p","Human Pharmaceutical Products"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671705p","Veterinary Pharmaceutical Products"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671706p","Agricultural Chemicals"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671707p","Industrial Chemicals and Related Products"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671708p","Basic Metal Products (incl. Smelting)"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671709p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671710p","Fabricated Metal Products"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671711p","Transport Equipment"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671712p","Computer Hardware and Electronic Equipment"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671713p","Communication Equipment"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671714p","Instrumentation"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671715p","Machinery and Equipment"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)","671716p","Other Manufactured Products"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671701p","Processed Food Products and Beverages"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671702p","Fibre Processing and Textiles; Footwear and Leather Products"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671703p","Wood, Wood Products and Paper"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671704p","Human Pharmaceutical Products"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671705p","Veterinary Pharmaceutical Products"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671706p","Agricultural Chemicals"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671707p","Industrial Chemicals and Related Products"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671708p","Basic Metal Products (incl. Smelting)"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671709p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671710p","Fabricated Metal Products"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671711p","Transport Equipment"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671712p","Computer Hardware and Electronic Equipment"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671713p","Communication Equipment"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671714p","Instrumentation"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671715p","Machinery and Equipment"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities","671716p","Other Manufactured Products"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671701p","Processed Food Products and Beverages"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671702p","Fibre Processing and Textiles; Footwear and Leather Products"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671703p","Wood, Wood Products and Paper"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671704p","Human Pharmaceutical Products"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671705p","Veterinary Pharmaceutical Products"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671706p","Agricultural Chemicals"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671707p","Industrial Chemicals and Related Products"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671708p","Basic Metal Products (incl. Smelting)"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671709p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671710p","Fabricated Metal Products"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671711p","Transport Equipment"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671712p","Computer Hardware and Electronic Equipment"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671713p","Communication Equipment"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671714p","Instrumentation"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671715p","Machinery and Equipment"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)","671716p","Other Manufactured Products"
"869804","Management of Solid Waste from Manufacturing Activities","671701p","Processed Food Products and Beverages"
"869804","Management of Solid Waste from Manufacturing Activities","671702p","Fibre Processing and Textiles; Footwear and Leather Products"
"869804","Management of Solid Waste from Manufacturing Activities","671703p","Wood, Wood Products and Paper"
"869804","Management of Solid Waste from Manufacturing Activities","671704p","Human Pharmaceutical Products"
"869804","Management of Solid Waste from Manufacturing Activities","671705p","Veterinary Pharmaceutical Products"
"869804","Management of Solid Waste from Manufacturing Activities","671706p","Agricultural Chemicals"
"869804","Management of Solid Waste from Manufacturing Activities","671707p","Industrial Chemicals and Related Products"
"869804","Management of Solid Waste from Manufacturing Activities","671708p","Basic Metal Products (incl. Smelting)"
"869804","Management of Solid Waste from Manufacturing Activities","671709p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"869804","Management of Solid Waste from Manufacturing Activities","671710p","Fabricated Metal Products"
"869804","Management of Solid Waste from Manufacturing Activities","671711p","Transport Equipment"
"869804","Management of Solid Waste from Manufacturing Activities","671712p","Computer Hardware and Electronic Equipment"
"869804","Management of Solid Waste from Manufacturing Activities","671713p","Communication Equipment"
"869804","Management of Solid Waste from Manufacturing Activities","671714p","Instrumentation"
"869804","Management of Solid Waste from Manufacturing Activities","671715p","Machinery and Equipment"
"869804","Management of Solid Waste from Manufacturing Activities","671716p","Other Manufactured Products"
"869805","Management of Water Consumption by Manufacturing Activities","671701p","Processed Food Products and Beverages"
"869805","Management of Water Consumption by Manufacturing Activities","671702p","Fibre Processing and Textiles; Footwear and Leather Products"
"869805","Management of Water Consumption by Manufacturing Activities","671703p","Wood, Wood Products and Paper"
"869805","Management of Water Consumption by Manufacturing Activities","671704p","Human Pharmaceutical Products"
"869805","Management of Water Consumption by Manufacturing Activities","671705p","Veterinary Pharmaceutical Products"
"869805","Management of Water Consumption by Manufacturing Activities","671706p","Agricultural Chemicals"
"869805","Management of Water Consumption by Manufacturing Activities","671707p","Industrial Chemicals and Related Products"
"869805","Management of Water Consumption by Manufacturing Activities","671708p","Basic Metal Products (incl. Smelting)"
"869805","Management of Water Consumption by Manufacturing Activities","671709p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"869805","Management of Water Consumption by Manufacturing Activities","671710p","Fabricated Metal Products"
"869805","Management of Water Consumption by Manufacturing Activities","671711p","Transport Equipment"
"869805","Management of Water Consumption by Manufacturing Activities","671712p","Computer Hardware and Electronic Equipment"
"869805","Management of Water Consumption by Manufacturing Activities","671713p","Communication Equipment"
"869805","Management of Water Consumption by Manufacturing Activities","671714p","Instrumentation"
"869805","Management of Water Consumption by Manufacturing Activities","671715p","Machinery and Equipment"
"869805","Management of Water Consumption by Manufacturing Activities","671716p","Other Manufactured Products"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671701p","Processed Food Products and Beverages"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671702p","Fibre Processing and Textiles; Footwear and Leather Products"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671703p","Wood, Wood Products and Paper"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671704p","Human Pharmaceutical Products"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671705p","Veterinary Pharmaceutical Products"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671706p","Agricultural Chemicals"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671707p","Industrial Chemicals and Related Products"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671708p","Basic Metal Products (incl. Smelting)"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671709p","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671710p","Fabricated Metal Products"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671711p","Transport Equipment"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671712p","Computer Hardware and Electronic Equipment"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671713p","Communication Equipment"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671714p","Instrumentation"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671715p","Machinery and Equipment"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified","671716p","Other Manufactured Products"
"869901","Furniture",671602,"Furniture"
"869999","Manufacturing not elsewhere classified",671603,"Prefabricated Buildings"
"869999","Manufacturing not elsewhere classified","671699p","Manufactured Products not elsewhere classified"
"870101","Civil Construction Planning",680103,"Civil"
"870102","Commercial Construction Planning",680102,"Commercial"
"870103","Regional Planning","680199p","Other"
"870103","Regional Planning",750804,"Regional Planning"
"870104","Residential Construction Planning",680101,"Housing"
"870105","Urban Planning","680199p","Other"
"870105","Urban Planning",750803,"Urban Planning"
"870199","Construction Planning not elsewhere classified",680104,"Industrial"
"870199","Construction Planning not elsewhere classified","680199p","Other"
"870201","Civil Construction Design",680203,"Civil"
"870202","Commercial Construction Design",680202,"Commercial"
"870203","Industrial Construction Design",680204,"Industrial"
"870204","Residential Construction Design",680201,"Housing"
"870299","Construction Design not elsewhere classified","680299p","Other"
"870301","Cement and Concrete Materials",680302,"Cement and Concrete Materials"
"870302","Metals (e.g. Composites, Coatings, Bonding)",680305,"Metals (Composites, Coatings, Bonding, etc.)"
"870303","Polymeric Materials (e.g. Paints)",680303,"Polymeric Materials (e.g. Paints)"
"870304","Stone, Ceramics and Clay Materials",680301,"Stone, Ceramics and Clay Materials"
"870305","Timber Materials",680304,"Timber Materials"
"870399","Construction Materials Performance and Processes not elsewhere classified","680399p","Other"
"870401","Civil Construction Processes",680403,"Civil"
"870402","Commercial Construction Processes",680402,"Commercial"
"870403","Industrial Construction Processes",680404,"Industrial"
"870404","Residential Construction Processes",680401,"Housing"
"870499","Construction Processes not elsewhere classified","680499p","Other"
"870501","Civil Building Management and Services",680503,"Civil"
"870502","Commercial Building Management and Services",680502,"Commercial"
"870503","Residential Building Management and Services",680501,"Housing"
"870599","Building Management and Services not elsewhere classified",680504,"Industrial"
"870599","Building Management and Services not elsewhere classified","680599p","Other"
"879801","Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases)","680601p","Planning"
"879801","Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases)","680602p","Design"
"879801","Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases)","680603p","Materials Performance and Processes"
"879801","Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases)","680604p","Construction Processes"
"879801","Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases)","680605p","Building Management and Services"
"879802","Management of Greenhouse Gas Emissions from Construction Activities","680601p","Planning"
"879802","Management of Greenhouse Gas Emissions from Construction Activities","680602p","Design"
"879802","Management of Greenhouse Gas Emissions from Construction Activities","680603p","Materials Performance and Processes"
"879802","Management of Greenhouse Gas Emissions from Construction Activities","680604p","Construction Processes"
"879802","Management of Greenhouse Gas Emissions from Construction Activities","680605p","Building Management and Services"
"879803","Management of Liquid Waste from Construction Activities (excl. Water)","680601p","Planning"
"879803","Management of Liquid Waste from Construction Activities (excl. Water)","680602p","Design"
"879803","Management of Liquid Waste from Construction Activities (excl. Water)","680603p","Materials Performance and Processes"
"879803","Management of Liquid Waste from Construction Activities (excl. Water)","680604p","Construction Processes"
"879803","Management of Liquid Waste from Construction Activities (excl. Water)","680605p","Building Management and Services"
"879804","Management of Solid Waste from Construction Activities","680601p","Planning"
"879804","Management of Solid Waste from Construction Activities","680602p","Design"
"879804","Management of Solid Waste from Construction Activities","680603p","Materials Performance and Processes"
"879804","Management of Solid Waste from Construction Activities","680604p","Construction Processes"
"879804","Management of Solid Waste from Construction Activities","680605p","Building Management and Services"
"879805","Management of Water Consumption by Construction Activities","680601p","Planning"
"879805","Management of Water Consumption by Construction Activities","680602p","Design"
"879805","Management of Water Consumption by Construction Activities","680603p","Materials Performance and Processes"
"879805","Management of Water Consumption by Construction Activities","680604p","Construction Processes"
"879805","Management of Water Consumption by Construction Activities","680605p","Building Management and Services"
"879899","Environmentally Sustainable Construction not elsewhere classified","680601p","Planning"
"879899","Environmentally Sustainable Construction not elsewhere classified","680602p","Design"
"879899","Environmentally Sustainable Construction not elsewhere classified","680603p","Materials Performance and Processes"
"879899","Environmentally Sustainable Construction not elsewhere classified","680604p","Construction Processes"
"879899","Environmentally Sustainable Construction not elsewhere classified","680605p","Building Management and Services"
"879999","Construction not elsewhere classified","680199p","Other"
"879999","Construction not elsewhere classified","680299p","Other"
"879999","Construction not elsewhere classified","680399p","Other"
"879999","Construction not elsewhere classified","680499p","Other"
"879999","Construction not elsewhere classified","680599p","Other"
"880101","Rail Freight","690103p","Rail Transport"
"880102","Rail Infrastructure and Networks","690103p","Rail Transport"
"880102","Rail Infrastructure and Networks","690199p","Ground Transport not elsewhere classified"
"880103","Rail Passenger Movements","690103p","Rail Transport"
"880104","Rail Safety","690103p","Rail Transport"
"880104","Rail Safety","690199p","Ground Transport not elsewhere classified"
"880105","Road Freight","690102p","Other Road Transport"
"880106","Road Infrastructure and Networks","690102p","Other Road Transport"
"880106","Road Infrastructure and Networks","690199p","Ground Transport not elsewhere classified"
"880107","Road Passenger Movements (excl. Public Transport)","690102p","Other Road Transport"
"880108","Road Public Transport","690102p","Other Road Transport"
"880109","Road Safety",690101,"Road Safety"
"880199","Ground Transport not elsewhere classified","690199p","Ground Transport not elsewhere classified"
"880201","Coastal Sea Freight Transport","690202p","Coastal Water Transport"
"880202","International Sea Freight Transport (excl. Live Animal Transport)","690201p","International Sea Transport"
"880203","International Sea Transport of Live Animals","690201p","International Sea Transport"
"880204","Passenger Water Transport","690201p","International Sea Transport"
"880204","Passenger Water Transport","690202p","Coastal Water Transport"
"880204","Passenger Water Transport","690203p","Inland Water Transport"
"880205","Port Infrastructure and Management","690499p","Transport not elsewhere classified"
"880206","Water Safety","690201p","International Sea Transport"
"880206","Water Safety","690202p","Coastal Water Transport"
"880206","Water Safety","690203p","Inland Water Transport"
"880206","Water Safety","690499p","Transport not elsewhere classified"
"880299","Water Transport not elsewhere classified","690499p","Transport not elsewhere classified"
"880301","Air Freight","690301p","Air Transport"
"880302","Air Passenger Transport","690301p","Air Transport"
"880303","Air Safety","690301p","Air Transport"
"880303","Air Safety","690499p","Transport not elsewhere classified"
"880304","Air Terminal Infrastructure and Management","690499p","Transport not elsewhere classified"
"880305","Space Transport",690302,"Space Transport"
"880399","Aerospace Transport not elsewhere classified","690499p","Transport not elsewhere classified"
"889801","Management of Gaseous Waste from Transport Activities (excl. Greenhouse Gases)","690501p","Ground Transport"
"889801","Management of Gaseous Waste from Transport Activities (excl. Greenhouse Gases)","690502p","Water Transport"
"889801","Management of Gaseous Waste from Transport Activities (excl. Greenhouse Gases)","690503p","Air Transport"
"889801","Management of Gaseous Waste from Transport Activities (excl. Greenhouse Gases)","690504p","Other Transport"
"889802","Management of Greenhouse Gas Emissions from Transport Activities","690501p","Ground Transport"
"889802","Management of Greenhouse Gas Emissions from Transport Activities","690502p","Water Transport"
"889802","Management of Greenhouse Gas Emissions from Transport Activities","690503p","Air Transport"
"889802","Management of Greenhouse Gas Emissions from Transport Activities","690504p","Other Transport"
"889803","Management of Liquid Waste from Transport Activities (excl. Water)","690501p","Ground Transport"
"889803","Management of Liquid Waste from Transport Activities (excl. Water)","690502p","Water Transport"
"889803","Management of Liquid Waste from Transport Activities (excl. Water)","690503p","Air Transport"
"889803","Management of Liquid Waste from Transport Activities (excl. Water)","690504p","Other Transport"
"889804","Management of Noise and Vibration from Transport Activities","690501p","Ground Transport"
"889804","Management of Noise and Vibration from Transport Activities","690502p","Water Transport"
"889804","Management of Noise and Vibration from Transport Activities","690503p","Air Transport"
"889804","Management of Noise and Vibration from Transport Activities","690504p","Other Transport"
"889805","Management of Solid Waste from Transport Activities","690501p","Ground Transport"
"889805","Management of Solid Waste from Transport Activities","690502p","Water Transport"
"889805","Management of Solid Waste from Transport Activities","690503p","Air Transport"
"889805","Management of Solid Waste from Transport Activities","690504p","Other Transport"
"889806","Management of Water Consumption by Transport Activities","690501p","Ground Transport"
"889806","Management of Water Consumption by Transport Activities","690502p","Water Transport"
"889806","Management of Water Consumption by Transport Activities","690503p","Air Transport"
"889806","Management of Water Consumption by Transport Activities","690504p","Other Transport"
"889899","Environmentally Sustainable Transport not elsewhere classified","690501p","Ground Transport"
"889899","Environmentally Sustainable Transport not elsewhere classified","690502p","Water Transport"
"889899","Environmentally Sustainable Transport not elsewhere classified","690503p","Air Transport"
"889899","Environmentally Sustainable Transport not elsewhere classified","690504p","Other Transport"
"889901","Intermodal Materials Handling",690402,"Intermodal Materials Handling"
"889902","Multimodal Transport",690401,"Multimodal Transport"
"889903","Pipeline Transport","690499p","Transport not elsewhere classified"
"889904","Postal and Package Services (incl. Courier Services)","690499p","Transport not elsewhere classified"
"889904","Postal and Package Services (incl. Courier Services)",700303,"Postal Communications"
"889999","Transport not elsewhere classified","690499p","Transport not elsewhere classified"
"890101","Fixed Line Data Networks and Services","700302p","Telecommunications"
"890102","Fixed Line Telephone Networks and Services","700302p","Telecommunications"
