,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"829899","Environmentally Sustainable Plant Production not elsewhere classified","620501p","Field Crops"
"829899","Environmentally Sustainable Plant Production not elsewhere classified","620502p","Horticultural Crops"
"829899","Environmentally Sustainable Plant Production not elsewhere classified","620503p","Forestry"
"829899","Environmentally Sustainable Plant Production not elsewhere classified","620504p","Primary Products from Plants"
"829901","Forest Product Traceability and Quality Assurance","620399p","Forestry not elsewhere classified"
"829901","Forest Product Traceability and Quality Assurance","620499p","Primary Plant Products not elsewhere classified"
"829902","Plant Product Traceability and Quality Assurance (excl. Forest Products)","620199p","Field Crops not elsewhere classified"
"829902","Plant Product Traceability and Quality Assurance (excl. Forest Products)","620299p","Horticultural Crops not elsewhere classified"
"829902","Plant Product Traceability and Quality Assurance (excl. Forest Products)","620499p","Primary Plant Products not elsewhere classified"
"829999","Plant Production and Plant Primary Products not elsewhere classified","620199p","Field Crops not elsewhere classified"
"829999","Plant Production and Plant Primary Products not elsewhere classified","620299p","Horticultural Crops not elsewhere classified"
"829999","Plant Production and Plant Primary Products not elsewhere classified","620399p","Forestry not elsewhere classified"
"829999","Plant Production and Plant Primary Products not elsewhere classified","620499p","Primary Plant Products not elsewhere classified"
"830101","Aquaculture Crustaceans (excl. Rock Lobster and Prawns)","630303p","Aquaculture"
"830102","Aquaculture Fin Fish (excl. Tuna)","630303p","Aquaculture"
"830103","Aquaculture Molluscs (excl. Oysters)","630303p","Aquaculture"
"830104","Aquaculture Oysters","630303p","Aquaculture"
"830105","Aquaculture Prawns","630303p","Aquaculture"
"830106","Aquaculture Rock Lobster","630303p","Aquaculture"
"830107","Aquaculture Tuna","630303p","Aquaculture"
"830199","Fisheries - Aquaculture not elsewhere classified","630303p","Aquaculture"
"830201","Fisheries - Recreational",630302,"Fisheries - Recreational"
"830202","Wild Caught Crustaceans (excl. Rock Lobster and Prawns)","630301p","Fisheries - Commercial"
"830203","Wild Caught Edible Molluscs","630301p","Fisheries - Commercial"
"830204","Wild Caught Fin Fish (excl. Tuna)","630301p","Fisheries - Commercial"
