,"Australian Bureau of Statistics Statistics New Zealand",,
270602,"Animal Physiology - Cell ","060602","Animal Physiology - Cell "
270603,"Animal Physiology - Systems","060603","Animal Physiology - Systems"
270604,"Comparative Physiology ","060604","Comparative Physiology "
270699,"Physiology not elsewhere classified","060699","Physiology not elsewhere classified"
270701,"Freshwater Ecology ","060204","Freshwater Ecology "
270702,"Marine and Estuarine Ecology (incl. Marine Ichthyology)","060205","Marine and Estuarine Ecology (incl. Marine Ichthyology)"
270703,"Terrestrial Ecology","060208","Terrestrial Ecology "
270704,"Landscape Ecology","050104","Landscape Ecology"
270705,"Palaeoecology","060206","Palaeoecology"
270706,"Life Histories (incl. Population Ecology)","060207","Population Ecology "
270706,"Life Histories (incl. Population Ecology)","060308","Life Histories"
270707,"Sociobiology and Behavioural Ecology ","060201","Behavioural Ecology"
270707,"Sociobiology and Behavioural Ecology ","060304p","Ethology and Sociobiology"
270708,"Conservation and Biodiversity","050202p","Conservation and Biodiversity "
270709,"Biogeography ","060302p","Biogeography and Phylogeography"
270799,"Ecology and Evolution not elsewhere classified ","050101","Ecological Impacts of Climate Change"
270799,"Ecology and Evolution not elsewhere classified ","050102","Ecosystem Function"
270799,"Ecology and Evolution not elsewhere classified ","050103","Invasive Species Ecology"
270799,"Ecology and Evolution not elsewhere classified ","050199","Ecological Applications not elsewhere classified"
270799,"Ecology and Evolution not elsewhere classified ","060202","Community Ecology (excl. Invasive Species Ecology)"
270799,"Ecology and Evolution not elsewhere classified ","060203","Ecological Physiology"
270799,"Ecology and Evolution not elsewhere classified ","060299","Ecology not elsewhere classified"
270799,"Ecology and Evolution not elsewhere classified ","060302p","Biogeography and Phylogeography"
270799,"Ecology and Evolution not elsewhere classified ","060303","Biological Adaptation"
270799,"Ecology and Evolution not elsewhere classified ","060304p","Ethology and Sociobiology"
270799,"Ecology and Evolution not elsewhere classified ","060305","Evolution of Developmental Systems"
270799,"Ecology and Evolution not elsewhere classified ","060306","Evolutionary Impacts of Climate Change"
270799,"Ecology and Evolution not elsewhere classified ","060307","Host-Parasite Interactions"
270799,"Ecology and Evolution not elsewhere classified ","060309p","Phylogeny and Comparative Analysis"
270799,"Ecology and Evolution not elsewhere classified ","060311","Speciation and Extinction"
270799,"Ecology and Evolution not elsewhere classified ","060399p","Evolutionary Biology not elsewhere classified"
270801,"Gene Therapy ","100401p","Gene and Molecular Therapy "
270802,"Diagnostic Applications","100101p","Agricultural Biotechnology Diagnostics (incl. Biosensors)"
270802,"Diagnostic Applications","100204p","Environmental Biotechnology Diagnostics (incl. Biosensors)"
270802,"Diagnostic Applications","100304p","Industrial Biotechnology Diagnostics (incl. Biosensors)"
270802,"Diagnostic Applications","100402p","Medical Biotechnology Diagnostics (incl. Biosensors)"
270803,"Transgenesis ","100109","Transgenesis "
270804,"Genetic Technologies: Transformation, Site-directed Mutagenesis, etc.","100103p","Agricultural Molecular Engineering of Nucleic Acids and Proteins"
270804,"Genetic Technologies: Transformation, Site-directed Mutagenesis, etc.","100206p","Environmental Molecular Engineering of Nucleic Acids and Proteins"
270804,"Genetic Technologies: Transformation, Site-directed Mutagenesis, etc.","100306p","Industrial Molecular Engineering of Nucleic Acids and Proteins"
270804,"Genetic Technologies: Transformation, Site-directed Mutagenesis, etc.","100403p","Medical Molecular Engineering of Nucleic Acids and Proteins"
270805,"Genetic Engineering and Enzyme Technology","100104p","Genetically Modified Animals"
270805,"Genetic Engineering and Enzyme Technology","100105p","Genetically Modified Field Crops and Pasture"
270805,"Genetic Engineering and Enzyme Technology","100106p","Genetically Modified Horticulture Plants"
270805,"Genetic Engineering and Enzyme Technology","100107p","Genetically Modified Trees"
270805,"Genetic Engineering and Enzyme Technology","100301p","Biocatalysis and Enzyme Technology"
270899,"Biotechnology not elsewhere classified ","100102","Agricultural Marine Biotechnology"
270899,"Biotechnology not elsewhere classified ","100103p","Agricultural Molecular Engineering of Nucleic Acids and Proteins"
270899,"Biotechnology not elsewhere classified ","100104p","Genetically Modified Animals"
270899,"Biotechnology not elsewhere classified ","100108p","Livestock cloning"
270899,"Biotechnology not elsewhere classified ","100199","Agricultural Biotechnology not elsewhere classified"
270899,"Biotechnology not elsewhere classified ","100201","Biodiscovery"
270899,"Biotechnology not elsewhere classified ","100202","Biological Control"
270899,"Biotechnology not elsewhere classified ","100205","Environmental Marine Biotechnology"
270899,"Biotechnology not elsewhere classified ","100206p","Environmental Molecular Engineering of Nucleic Acids and Proteins"
270899,"Biotechnology not elsewhere classified ","100299","Environmental Biotechnology not elsewhere classified"
270899,"Biotechnology not elsewhere classified ","100306p","Industrial Molecular Engineering of Nucleic Acids and Proteins"
270899,"Biotechnology not elsewhere classified ","100403p","Medical Molecular Engineering of Nucleic Acids and Proteins"
270899,"Biotechnology not elsewhere classified ","100404p","Regenerative Medicine (incl. Stem Cells and Tissue Engineering)"
270899,"Biotechnology not elsewhere classified ","100499p","Medical Biotechnology not elsewhere classified"
279901,"Global Change Biology","069902","Global Change Biology"
279999,"Biological Sciences not elsewhere classified ","069901","Forensic Biology"
279999,"Biological Sciences not elsewhere classified ","069999","Biological Sciences not elsewhere classified "
280101,"Information Systems Organisation ","080610","Information Systems Organisation "
280102,"Information Systems Management ","080609","Information Systems Management "
280103,"Information Storage, Retrieval and Management","080704","Information Retrieval and Web Search"
280103,"Information Storage, Retrieval and Management","080708","Records and Information Management (excl. Business Records and Information Management)"
280103,"Information Storage, Retrieval and Management","150301p","Business Information Management (incl. Records, Knowledge and Information Management, and Intelligence)"
280104,"Computer-Human Interaction ","080602","Computer-Human Interaction "
280105,"Interfaces and Presentation (excl. Computer-Human Interaction) ","080699p","Information Systems not elsewhere classified "
280106,"Interorganisational Information Systems","080612p","Interorganisational Information Systems and Web Services"
280107,"Global Information Systems ","080606","Global Information Systems "
280108,"Database Management","080604","Database Management"
280109,"Decision Support and Group Support Systems ","080605","Decision Support and Group Support Systems "
280110,"Systems Theory ","080611","Information Systems Theory "
280111,"Conceptual Modelling ","080603","Conceptual Modelling "
280112,"Information Systems Development Methodologies","080608","Information Systems Development Methodologies"
280199,"Information Systems not elsewhere classified ","080601","Aboriginal and Torres Strait Islander Information and Knowledge Systems"
280199,"Information Systems not elsewhere classified ","080607","Information Engineering and Theory"
280199,"Information Systems not elsewhere classified ","080612p","Interorganisational Information Systems and Web Services"
280199,"Information Systems not elsewhere classified ","080613","Māori Information and Knowledge Systems"
280199,"Information Systems not elsewhere classified ","080614","Pacific Peoples Information and Knowledge Systems"
280199,"Information Systems not elsewhere classified ","080699p","Information Systems not elsewhere classified "
280201,"Expert Systems ","080105","Expert Systems "
280202,"Computer Graphics","080103","Computer Graphics"
280203,"Image Processing ","080106","Image Processing "
280204,"Signal Processing","090609","Signal Processing"
280205,"Text Processing","080107p","Natural Language Processing"
280206,"Speech Recognition ","080107p","Natural Language Processing"
280207,"Pattern Recognition","080109p","Pattern Recognition and Data Mining"
280208,"Computer Vision","080104","Computer Vision"
280209,"Intelligent Robotics ","080101p","Adaptive Agents and Intelligent Robotics"
280210,"Simulation and Modelling ","080110","Simulation and Modelling "
280211,"Virtual Reality and Related Simulation ","080111","Virtual Reality and Related Simulation "
280212,"Neural Networks, Genetic Algorithms and Fuzzy Logic","080108","Neural, Evolutionary and Fuzzy Computation"
280213,"Other Artificial Intelligence","080101p","Adaptive Agents and Intelligent Robotics"
280213,"Other Artificial Intelligence","080102","Artificial Life"
280213,"Other Artificial Intelligence","080109p","Pattern Recognition and Data Mining"
280213,"Other Artificial Intelligence","080199","Artificial Intelligence and Image Processing not elsewhere classified"
280301,"Programming Techniques ","080399p","Computer Software not elsewhere classified "
280302,"Software Engineering ","080309","Software Engineering "
280303,"Programming Languages","080308","Programming Languages"
280304,"Operating Systems","080307","Operating Systems"
280305,"Multimedia Programming ","080305","Multimedia Programming "
280399,"Computer Software not elsewhere classified ","080301","Bioinformatics Software"
280399,"Computer Software not elsewhere classified ","080302","Computer System Architecture"
280399,"Computer Software not elsewhere classified ","080303","Computer System Security"
280399,"Computer Software not elsewhere classified ","080304","Concurrent Programming"
280399,"Computer Software not elsewhere classified ","080306","Open Software"
280399,"Computer Software not elsewhere classified ","080399p","Computer Software not elsewhere classified "
280401,"Analysis of Algorithms and Complexity","080201","Analysis of Algorithms and Complexity"
280402,"Mathematical Logic and Formal Languages","080203","Computational Logic and Formal Languages"
280403,"Logics and Meanings of Programs","080299p","Computation Theory and Mathematics not elsewhere classified"
280404,"Numerical Analysis ","010301p","Numerical Analysis "
280404,"Numerical Analysis ","080205","Numerical Computation"
280405,"Discrete Mathematics ","010104p","Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)"
280405,"Discrete Mathematics ","080202","Applied Discrete Mathematics "
280406,"Mathematical Software","080204","Mathematical Software"
280499,"Computation Theory and Mathematics not elsewhere classified","080299p","Computation Theory and Mathematics not elsewhere classified"
280501,"Data Structures","080403","Data Structures"
280502,"Data Storage Representations ","080499p","Data Format not elsewhere classified "
280503,"Files","080499p","Data Format not elsewhere classified "
280504,"Data Encryption","080402","Data Encryption"
280505,"Data Security","080499p","Data Format not elsewhere classified "
280506,"Coding and Information Theory","080401","Coding and Information Theory"
280599,"Data Format not elsewhere classified ","080404","Markup Languages"
280599,"Data Format not elsewhere classified ","080499p","Data Format not elsewhere classified "
289999,"Other Information, Computing and Communication Sciences","080501","Distributed and Grid Systems"
289999,"Other Information, Computing and Communication Sciences","080502","Mobile Technologies"
289999,"Other Information, Computing and Communication Sciences","080503","Networking and Communications"
289999,"Other Information, Computing and Communication Sciences","080504","Ubiquitous Computing"
289999,"Other Information, Computing and Communication Sciences","080505","Web Technologies (excl. Web Search)"
289999,"Other Information, Computing and Communication Sciences","080599","Distributed Computing not elsewhere classified"
289999,"Other Information, Computing and Communication Sciences","080701","Aboriginal and Torres Strait Islander Knowledge Management"
289999,"Other Information, Computing and Communication Sciences","080702","Health Informatics"
289999,"Other Information, Computing and Communication Sciences","080703","Human Information Behaviour"
289999,"Other Information, Computing and Communication Sciences","080705","Informetrics"
289999,"Other Information, Computing and Communication Sciences","080707","Organisation of Information and Knowledge Resources"
289999,"Other Information, Computing and Communication Sciences","080709","Social and Community Informatics"
289999,"Other Information, Computing and Communication Sciences","080799","Library and Information Studies not elsewhere classified"
289999,"Other Information, Computing and Communication Sciences","089999p","Information and Computing Sciences not elsewhere classified"
290101,"Fermentation, Biotechnology and Industrial Microbiology","100302p","Bioprocessing, Bioproduction and Bioproducts"
290101,"Fermentation, Biotechnology and Industrial Microbiology","100303","Fermentation"
290101,"Fermentation, Biotechnology and Industrial Microbiology","100305","Industrial Microbiology (incl. Biofeedstocks)"
290102,"Food Engineering ","090802","Food Engineering "
290103,"Food Processing","090805","Food Processing"
290104,"Other Food Sciences","090801","Food Chemistry and Molecular Gastronomy (excl. Wine)"
290104,"Other Food Sciences","090803","Food Nutritional Balance"
290104,"Other Food Sciences","090804","Food Packaging, Preservation and Safety"
290104,"Other Food Sciences","090806","Wine Chemistry and Wine Sensory Science"
290104,"Other Food Sciences","090899","Food Sciences not elsewhere classified"
290105,"Other Industrial Biotechnology ","100301p","Biocatalysis and Enzyme Technology"
290105,"Other Industrial Biotechnology ","100302p","Bioprocessing, Bioproduction and Bioproducts"
290105,"Other Industrial Biotechnology ","100306p","Industrial Molecular Engineering of Nucleic Acids and Proteins"
290105,"Other Industrial Biotechnology ","100399","Industrial Biotechnology not elsewhere classified"
290201,"Aerodynamics ","090101","Aerodynamics (excl. Hypersonic Aerodynamics) "
290201,"Aerodynamics ","090107","Hypersonic Propulsion and Hypersonic Aerodynamics"
290202,"Flight Dynamics","090106","Flight Dynamics"
290203,"Aerospace Structures ","090103","Aerospace Structures "
290204,"Aircraft Performance ","090104p","Aircraft Performance and Flight Control Systems"
290205,"Flight Control Systems ","090104p","Aircraft Performance and Flight Control Systems"
290206,"Aerospace Electrical Systems ","090199p","Aerospace Engineering not elsewhere classified"
290207,"Satellite, Space Vehicle and Missile Design","090108p","Satellite, Space Vehicle and Missile Design and Testing"
290299,"Aerospace Engineering not elsewhere classified","090102","Aerospace Materials"
290299,"Aerospace Engineering not elsewhere classified","090105","Avionics"
290299,"Aerospace Engineering not elsewhere classified","090108p","Satellite, Space Vehicle and Missile Design and Testing"
290299,"Aerospace Engineering not elsewhere classified","090199p","Aerospace Engineering not elsewhere classified"
290301,"Robotics and Mechatronics","090203p","Automotive Mechatronics"
290301,"Robotics and Mechatronics","090602p","Control Systems, Robotics and Automation"
290301,"Robotics and Mechatronics","091007","Manufacturing Robotics and Mechatronics (excl. Automotive Mechatronics)"
290302,"Flexible Manufacturing Systems ","091002","Flexible Manufacturing Systems "
290303,"CAD/CAM Systems","091001","CAD/CAM Systems"
290304,"Control Engineering","091302p","Automation and Control Engineering"
290305,"Welding Technology ","091006p","Manufacturing Processes and Technologies (excl. Textiles)"
290306,"Textile Technology ","091012","Textile Technology "
290307,"Printing Technology","091006p","Manufacturing Processes and Technologies (excl. Textiles)"
290308,"Packaging, Storage and Transportation","091010","Packaging, Storage and Transportation (excl. Food and Agricultural Products)"
290309,"Safety and Quality ","091008","Manufacturing Safety and Quality "
290399,"Manufacturing Engineering not elsewhere classified","091003","Machine Tools"
290399,"Manufacturing Engineering not elsewhere classified","091004","Machining"
290399,"Manufacturing Engineering not elsewhere classified","091005","Manufacturing Management"
290399,"Manufacturing Engineering not elsewhere classified","091009","Microtechnology"
290399,"Manufacturing Engineering not elsewhere classified","091011","Precision Engineering"
290399,"Manufacturing Engineering not elsewhere classified","091099","Manufacturing Engineering not elsewhere classified"
290401,"Automotive Engineering","090202","Automotive Engineering Materials "
290401,"Automotive Engineering","090203p","Automotive Mechatronics"
290401,"Automotive Engineering","090204","Automotive Safety Engineering"
290401,"Automotive Engineering","090205","Hybrid Vehicles and Powertrains"
290401,"Automotive Engineering","090299","Automotive Engineering not elsewhere classified"
290501,"Mechanical Engineering ","091301p","Acoustics and Noise Control (excl. Architectural Acoustics)"
290501,"Mechanical Engineering ","091302p","Automation and Control Engineering"
290501,"Mechanical Engineering ","091303p","Autonomous Vehicles"
290501,"Mechanical Engineering ","091304p","Dynamics, Vibration and Vibration Control"
290501,"Mechanical Engineering ","091305p","Energy Generation, Conversion and Storage Engineering"
290501,"Mechanical Engineering ","091306p","Microelectromechanical Systems (MEMS)"
290501,"Mechanical Engineering ","091307p","Numerical Modelling and Mechanical Characterisation"
290501,"Mechanical Engineering ","091308p","Solid Mechanics"
290501,"Mechanical Engineering ","091309p","Tribology"
290501,"Mechanical Engineering ","091399p","Mechanical Engineering not elsewhere classified"
290502,"Industrial Engineering ","091301p","Acoustics and Noise Control (excl. Architectural Acoustics)"
290502,"Industrial Engineering ","091302p","Automation and Control Engineering"
290502,"Industrial Engineering ","091303p","Autonomous Vehicles"
290502,"Industrial Engineering ","091304p","Dynamics, Vibration and Vibration Control"
290502,"Industrial Engineering ","091305p","Energy Generation, Conversion and Storage Engineering"
290502,"Industrial Engineering ","091306p","Microelectromechanical Systems (MEMS)"
290502,"Industrial Engineering ","091307p","Numerical Modelling and Mechanical Characterisation"
290502,"Industrial Engineering ","091308p","Solid Mechanics"
290502,"Industrial Engineering ","091309p","Tribology"
290502,"Industrial Engineering ","091399p","Mechanical Engineering not elsewhere classified"
290601,"Chemical Engineering Design","090403","Chemical Engineering Design"
290602,"Process Control and Simulation ","090407","Process Control and Simulation "
290603,"Membrane and Separation Technologies","090404","Membrane and Separation Technologies"
290699,"Chemical Engineering not elsewhere classified","090401","Carbon Capture Engineering (excl. Sequestration)"
290699,"Chemical Engineering not elsewhere classified","090402","Catalytic Process Engineering"
290699,"Chemical Engineering not elsewhere classified","090406","Powder and Particle Technology"
290699,"Chemical Engineering not elsewhere classified","090408","Rheology"
290699,"Chemical Engineering not elsewhere classified","090409","Wastewater Treatment Processes"
290699,"Chemical Engineering not elsewhere classified","090410","Water Treatment Processes"
290699,"Chemical Engineering not elsewhere classified","090499","Chemical Engineering not elsewhere classified"
290701,"Mining Engineering ","091405","Mining Engineering "
290702,"Mineral Processing ","091404","Mineral Processing/Beneficiation"
290703,"Petroleum and Reservoir Engineering","091406","Petroleum and Reservoir Engineering"
290704,"Geomechanics ","091402p","Geomechanics and Resources Geotechnical Engineering "
290799,"Resources Engineering not elsewhere classified","091499","Resources Engineering and Extractive Metallurgy not elsewhere classified"
290801,"Structural Engineering ","090506","Structural Engineering "
290802,"Water and Sanitary Engineering ","090508","Water Quality Engineering"
290802,"Water and Sanitary Engineering ","090509","Water Resources Engineering "
290803,"Transport Engineering","090507","Transport Engineering"
290804,"Construction Engineering ","090502","Construction Engineering "
290805,"Geotechnical Engineering ","090501","Civil Geotechnical Engineering "
290805,"Geotechnical Engineering ","091402p","Geomechanics and Resources Geotechnical Engineering "
290899,"Civil Engineering not elsewhere classified ","090503","Construction Materials"
290899,"Civil Engineering not elsewhere classified ","090504","Earthquake Engineering"
290899,"Civil Engineering not elsewhere classified ","090505","Infrastructure Engineering and Asset Management"
290899,"Civil Engineering not elsewhere classified ","090599","Civil Engineering not elsewhere classified "
290901,"Electrical Engineering ","090602p","Control Systems, Robotics and Automation"
290901,"Electrical Engineering ","090605","Photodetectors, Optical Sensors and Solar Cells"
290901,"Electrical Engineering ","090606","Photonics and Electro-Optical Engineering (excl. Communications)"
290901,"Electrical Engineering ","090607","Power and Energy Systems Engineering (excl. Renewable Power)"
290901,"Electrical Engineering ","090608","Renewable Power and Energy Systems Engineering (excl. Solar Cells)"
290902,"Integrated Circuits","090601p","Circuits and Systems"
290902,"Integrated Circuits","090603p","Industrial Electronics"
290902,"Integrated Circuits","090604","Microelectronics and Integrated Circuits"
290903,"Other Electronic Engineering ","090601p","Circuits and Systems"
290903,"Other Electronic Engineering ","090603p","Industrial Electronics"
290903,"Other Electronic Engineering ","090699","Electrical and Electronic Engineering not elsewhere classified"
291001,"Geodesy","090902","Geodesy"
291002,"Surveying","090906p","Surveying (incl. Hydrographic Surveying)"
291003,"Photogrammetry and Remote Sensing","090905","Photogrammetry and Remote Sensing"
291004,"Spatial Information Systems","090903","Geospatial Information Systems"
291005,"Navigation and Position Fixing ","090904","Navigation and Position Fixing "
291006,"Cartography","090901","Cartography"
291099,"Geomatic Engineering not elsewhere classified","090906p","Surveying (incl. Hydrographic Surveying)"
291099,"Geomatic Engineering not elsewhere classified","090999","Geomatic Engineering not elsewhere classified"
291101,"Environmental Engineering Modelling","090702","Environmental Engineering Modelling"
291102,"Bio-remediation","100203","Bioremediation"
291103,"Environmental Engineering Design ","090701","Environmental Engineering Design "
291104,"Environmental Technologies ","090703","Environmental Technologies "
291199,"Environmental Engineering not elsewhere classified","090799","Environmental Engineering not elsewhere classified"
291201,"Naval Architecture ","091102","Naval Architecture "
291202,"Ship and Platform Hydrodynamics","091104","Ship and Platform Hydrodynamics"
291203,"Ship and Platform Structures ","091105","Ship and Platform Structures "
291204,"Marine Engineering ","091101","Marine Engineering "
291205,"Ocean Engineering","091103","Ocean Engineering"
291206,"Special Vehicles ","091106","Special Vehicles "
291299,"Maritime Engineering not elsewhere classified","091199","Maritime Engineering not elsewhere classified"
291301,"Process Metallurgy ","091401","Electrometallurgy"
291301,"Process Metallurgy ","091403","Hydrometallurgy"
291301,"Process Metallurgy ","091407","Pyrometallurgy"
291302,"Physical Metallurgy","091207p","Metals and Alloy Materials"
291401,"Polymers ","091209p","Polymers and Plastics"
291402,"Composite Materials","091202p","Composite and Hybrid Materials"
291403,"Alloy Materials","091207p","Metals and Alloy Materials"
291404,"Ceramics ","091201","Ceramics "
291405,"Timber ","091210p","Timber, Pulp and Paper"
291406,"Pulp and Paper ","091210p","Timber, Pulp and Paper"
291407,"Plastics ","091209p","Polymers and Plastics"
291499,"Materials Engineering not elsewhere classified ","091202p","Composite and Hybrid Materials"
291499,"Materials Engineering not elsewhere classified ","091203","Compound Semiconductors"
291499,"Materials Engineering not elsewhere classified ","091204","Elemental Semiconductors"
291499,"Materials Engineering not elsewhere classified ","091205","Functional Materials"
291499,"Materials Engineering not elsewhere classified ","091206","Glass"
291499,"Materials Engineering not elsewhere classified ","091208","Organic Semiconductors"
291499,"Materials Engineering not elsewhere classified ","091299","Materials Engineering not elsewhere classified "
291501,"Clinical Engineering ","090303","Biomedical Instrumentation"
291501,"Clinical Engineering ","090304","Medical Devices"
291502,"Rehabilitation Engineering ","090305","Rehabilitation Engineering "
291503,"Biomaterials ","090301","Biomaterials "
291504,"Biomechanical Engineering","090302","Biomechanical Engineering"
291599,"Biomedical Engineering not elsewhere classified","090399","Biomedical Engineering not elsewhere classified"
291601,"Arithmetic and Logic Structures","100601","Arithmetic and Logic Structures"
291602,"Memory Structures","100604","Memory Structures"
291603,"Input, Output and Data Devices ","100602","Input, Output and Data Devices"
291604,"Logic Design","100603","Logic Design"
291605,"Processor Architectures","100606","Processor Architectures"
291699,"Computer Hardware not elsewhere classified","100605","Performance Evaluation; Testing and Simulation of Reliability"
291699,"Computer Hardware not elsewhere classified","100699","Computer Hardware not elsewhere classified"
291701,"Antenna Technology ","100501p","Antennas and Propagation"
291702,"Optical and Photonic Systems ","100506","Optical Fibre Communications "
291702,"Optical and Photonic Systems ","100507","Optical Networks and Systems"
291703,"Digital Systems","100504","Data Communications"
291703,"Digital Systems","100509","Video Communications"
291703,"Digital Systems","100510","Wireless Communications"
291704,"Computer Communications Networks","100503","Computer Communications Networks"
291705,"Microwave and Millimetrewave Technology","100505p","Microwave and Millimetrewave Theory and Technology "
291706,"Broadband Network Technology ","100502p","Broadband and Modem Technology"
291707,"Modem Technology ","100502p","Broadband and Modem Technology"
"291708","Baseband Technology","100599","Communications Technologies not elsewhere classified"
291709,"Satellite Communications ","100508","Satellite Communications "
291710,"Radio Communications and Broadcasting not elsewhere classified","100599p","Communications Technologies not elsewhere classified"
291799,"Communications Technologies not elsewhere classified","100501p","Antennas and Propagation"
291799,"Communications Technologies not elsewhere classified","100505p","Microwave and Millimetrewave Theory and Technology "
291799,"Communications Technologies not elsewhere classified","100599p","Communications Technologies not elsewhere classified"
291801,"Fluidization and Fluid Mechanics ","091504","Fluidisation and Fluid Mechanics "
291802,"Heat and Mass Transfer Operations","091505","Heat and Mass Transfer Operations"
291803,"Turbulent Flows","091508","Turbulent Flows"
291804,"Nanotechnology","100701","Environmental Nanotechnology"
291804,"Nanotechnology","100702","Molecular and Organic Electronics"
291804,"Nanotechnology","100703","Nanobiotechnology"
291804,"Nanotechnology","100704","Nanoelectromechanical Systems"
291804,"Nanotechnology","100705","Nanoelectronics"
291804,"Nanotechnology","100706","Nanofabrication, Growth and Self Assembly"
291804,"Nanotechnology","100707","Nanomanufacturing"
291804,"Nanotechnology","100708","Nanomaterials"
291804,"Nanotechnology","100709","Nanomedicine"
291804,"Nanotechnology","100710","Nanometrology"
291804,"Nanotechnology","100711","Nanophotonics"
291804,"Nanotechnology","100712","Nanoscale Characterisation"
291804,"Nanotechnology","100713","Nanotoxicology, Health and Safety"
291804,"Nanotechnology","100799","Nanotechnology not elsewhere classified"
291899,"Interdisciplinary Engineering not elsewhere classified","091501","Computational Fluid Dynamics"
291899,"Interdisciplinary Engineering not elsewhere classified","091502","Computational Heat Transfer"
291899,"Interdisciplinary Engineering not elsewhere classified","091503","Engineering Practice"
291899,"Interdisciplinary Engineering not elsewhere classified","091506","Nuclear Engineering (incl. Fuel Enrichment and Waste Processing and Storage)"
291899,"Interdisciplinary Engineering not elsewhere classified","091507","Risk Engineering (excl. Earthquake Engineering)"
291899,"Interdisciplinary Engineering not elsewhere classified","091599","Interdisciplinary Engineering not elsewhere classified "
299901,"Agricultural Engineering ","099901","Agricultural Engineering "
299902,"Combustion and Fuel Engineering","090201","Automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)"
299902,"Combustion and Fuel Engineering","090405","Non-automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)"
299903,"Biosensor Technologies","100101p","Agricultural Biotechnology Diagnostics (incl. Biosensors)"
299903,"Biosensor Technologies","100204p","Environmental Biotechnology Diagnostics (incl. Biosensors)"
299903,"Biosensor Technologies","100304p","Industrial Biotechnology Diagnostics (incl. Biosensors)"
299903,"Biosensor Technologies","100402p","Medical Biotechnology Diagnostics (incl. Biosensors)"
299904,"Engineering/Technology Instrumentation ","099902","Engineering Instrumentation "
299904,"Engineering/Technology Instrumentation ","109999p","Technology not elsewhere classified"
299999,"Engineering and Technology not elsewhere classified","099999","Engineering not elsewhere classified"
299999,"Engineering and Technology not elsewhere classified","109999p","Technology not elsewhere classified"
299999,"Engineering and Technology not elsewhere classified","120401p","Engineering Design Empirical Studies"
299999,"Engineering and Technology not elsewhere classified","120402p","Engineering Design Knowledge"
299999,"Engineering and Technology not elsewhere classified","120403p","Engineering Design Methods"
299999,"Engineering and Technology not elsewhere classified","120404p","Engineering Systems Design"
299999,"Engineering and Technology not elsewhere classified","120405p","Models of Engineering Design"
299999,"Engineering and Technology not elsewhere classified","120499p","Engineering Design not elsewhere classified"
299999,"Engineering and Technology not elsewhere classified","129999p","Built Environment and Design not elsewhere classified"
300101,"Soil Physics ","050305","Soil Physics "
300102,"Soil Biology ","050303","Soil Biology "
300103,"Soil Chemistry ","050304","Soil Chemistry (excl. Carbon Sequestration Science)"
300104,"Land Capability and Soil Degradation ","050302","Land Capability and Soil Degradation"
300105,"Applied Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)","079901","Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)"
300199,"Soil and Water Sciences not elsewhere classified","050301","Carbon Sequestration Science"
300199,"Soil and Water Sciences not elsewhere classified","050399","Soil Sciences not elsewhere classified"
300201,"Plant Biochemistry and Physiology","070303","Crop and Pasture Biochemistry and Physiology"
300202,"Plant Nutrition","070306","Crop and Pasture Nutrition"
300203,"Plant Improvement (Selection, Breeding and Genetic Engineering)","070305","Crop and Pasture Improvement (Selection and Breeding)"
300203,"Plant Improvement (Selection, Breeding and Genetic Engineering)","100105p","Genetically Modified Field Crops and Pasture"
300204,"Plant Protection (Pests, Diseases and Weeds) ","070308","Crop and Pasture Protection (Pests, Diseases and Weeds)"
300205,"Agronomy ","070302","Agronomy "
300206,"Post Harvest Technologies (Transportation and Storage) ","070307","Crop and Pasture Post Harvest Technologies (incl. Transportation and Storage)"
300299,"Crop and Pasture Production not elsewhere classified ","070301","Agro-ecosystem Function and Prediction"
300299,"Crop and Pasture Production not elsewhere classified ","070304","Crop and Pasture Biomass and Bioproducts"
300299,"Crop and Pasture Production not elsewhere classified ","070399","Crop and Pasture Production not elsewhere classified"
300301,"Plant Improvement (Selection, Breeding and Genetic Engineering)","070602","Horticultural Crop Improvement (Selection and Breeding)"
300301,"Plant Improvement (Selection, Breeding and Genetic Engineering)","100106p","Genetically Modified Horticulture Plants"
300302,"Plant Growth and Development ","070601","Horticultural Crop Growth and Development"
300303,"Plant Protection (Pests, Diseases and Weeds) ","070603","Horticultural Crop Protection (Pests, Diseases and Weeds)"
300304,"Post Harvest Technologies","070605","Post Harvest Horticultural Technologies (incl. Transportation and Storage)"
300305,"Oenology and Viticulture ","070604","Oenology and Viticulture "
300399,"Horticulture not elsewhere classified","070699","Horticultural Production not elsewhere classified"
300401,"Animal Breeding","070201","Animal Breeding"
300402,"Animal Reproduction","070206","Animal Reproduction"
300403,"Animal Nutrition ","070204","Animal Nutrition "
300404,"Animal Husbandry ","070203","Animal Management"
300405,"Animal Protection (Pests and Pathogens)","070205","Animal Protection (Pests and Pathogens)"
300406,"Animal Growth and Development","070202","Animal Growth and Development"
300499,"Animal Production not elsewhere classified ","070207","Humane Animal Treatment"
300499,"Animal Production not elsewhere classified ","070299","Animal Production not elsewhere classified"
300499,"Animal Production not elsewhere classified ","100104p","Genetically Modified Animals"
