,"Australian Bureau of Statistics Statistics New Zealand",,
240101,"Astronomy and Astrophysics ","020107p","Mesospheric, Ionospheric and Magnetospheric Physics"
240101,"Astronomy and Astrophysics ","020108","Planetary Science (excl. Extraterrestrial Geology)"
240101,"Astronomy and Astrophysics ","020109","Space and Solar Physics"
240101,"Astronomy and Astrophysics ","020110","Stellar Astronomy and Planetary Systems"
240102,"Cosmic Ray Physics ","020106p","High Energy Astrophysics; Cosmic Rays"
240199,"Astronomical Sciences not elsewhere classified ","010504p","Mathematical Aspects of General Relativity"
240199,"Astronomical Sciences not elsewhere classified ","010505p","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory"
240199,"Astronomical Sciences not elsewhere classified ","020199p","Astronomical and Space Sciences not elsewhere classified "
240199,"Astronomical Sciences not elsewhere classified ","020602p","Field Theory and String Theory"
240201,"Theoretical Physics","010501p","Algebraic Structures in Mathematical Physics"
240201,"Theoretical Physics","010502p","Integrable Systems (Classical and Quantum)"
240201,"Theoretical Physics","010503p","Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory"
240201,"Theoretical Physics","010504p","Mathematical Aspects of General Relativity"
240201,"Theoretical Physics","010505p","Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory"
240201,"Theoretical Physics","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
240201,"Theoretical Physics","010599p","Mathematical Physics not elsewhere classified"
240201,"Theoretical Physics","020199p","Astronomical and Space Sciences not elsewhere classified "
240201,"Theoretical Physics","020299p","Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified"
240201,"Theoretical Physics","020399p","Classical Physics not elsewhere classified "
240201,"Theoretical Physics","020499p","Condensed Matter Physics not elsewhere classified"
240201,"Theoretical Physics","020599p","Optical Physics not elsewhere classified "
240201,"Theoretical Physics","020601p","Degenerate Quantum Gases and Atom Optics"
240201,"Theoretical Physics","020602p","Field Theory and String Theory"
240201,"Theoretical Physics","020603p","Quantum Information, Computation and Communication"
240201,"Theoretical Physics","020699p","Quantum Physics not elsewhere classified"
240201,"Theoretical Physics","029999p","Physical Sciences not elsewhere classified "
240202,"Condensed Matter Physics - Structural Properties ","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
240202,"Condensed Matter Physics - Structural Properties ","020406","Surfaces and Structural Properties of Condensed Matter"
240203,"Condensed Matter Physics - Electronic and Magnetic Properties; Superconductivity","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
240203,"Condensed Matter Physics - Electronic and Magnetic Properties; Superconductivity","020404","Electronic and Magnetic Properties of Condensed Matter; Superconductivity"
240204,"Condensed Matter Physics - Other ","010506p","Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
240204,"Condensed Matter Physics - Other ","020401","Condensed Matter Characterisation Technique Development"
240204,"Condensed Matter Physics - Other ","020402","Condensed Matter Imaging"
240204,"Condensed Matter Physics - Other ","020403","Condensed Matter Modelling and Density Functional Theory"
240204,"Condensed Matter Physics - Other ","020405","Soft Condensed Matter"
240204,"Condensed Matter Physics - Other ","020499p","Condensed Matter Physics not elsewhere classified"
240301,"Atomic and Molecular Physics ","020201","Atomic and Molecular Physics "
240302,"Nuclear and Particle Physics ","020202","Nuclear Physics"
240302,"Nuclear and Particle Physics ","020203","Particle Physics"
240303,"Plasmas and Electrical Discharges","020204p","Plasma Physics; Fusion Plasmas; Electrical Discharges"
240304,"Other Plasma Physics ","020204p","Plasma Physics; Fusion Plasmas; Electrical Discharges"
240304,"Other Plasma Physics ","020299p","Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified"
240401,"Optics and Opto-electronic Physics ","020501p","Classical and Physical Optics"
240401,"Optics and Opto-electronic Physics ","020503p","Nonlinear Optics and Spectroscopy"
240401,"Optics and Opto-electronic Physics ","020504p","Photonics, Optoelectronics and Optical Communications"
240402,"Quantum Optics and Lasers","020502p","Lasers and Quantum Electronics"
240402,"Quantum Optics and Lasers","020603p","Quantum Information, Computation and Communication"
240402,"Quantum Optics and Lasers","020604","Quantum Optics"
240499,"Optical Physics not elsewhere classified ","020501p","Classical and Physical Optics"
240499,"Optical Physics not elsewhere classified ","020502p","Lasers and Quantum Electronics"
